trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,header.started,plus.started,minus.started,win_lose.started,polygon_green.started,polygon_red.started,plus.numClicks,plus.timesOn,plus.timesOff,minus.numClicks,minus.timesOn,minus.timesOff,green.response,red.response,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,5.705579800000123,5.705579800000123,5.705579800000123,5.705579800000123,5.705579800000123,5.705579800000123,1,[0.8861624000019219],[0.8861660000002303],0,,,None,None,986622,001,2023-05-09_20h26.37.667,pb,2022.2.5,234.4066815349924,
1,0,1,0,6.5768465000001015,6.5768465000001015,6.5768465000001015,6.5768465000001015,6.5768465000001015,6.5768465000001015,2,"[0.8861624000019219, 0.1885636999977578]","[0.06072900000071968, 0.1885666999987734]",0,,,None,None,986622,001,2023-05-09_20h26.37.667,pb,2022.2.5,234.4066815349924,
2,0,2,0,6.798401799998828,6.798401799998828,6.798401799998828,6.798401799998828,6.798401799998828,6.798401799998828,3,"[0.8861624000019219, 0.1885636999977578, 0.15874189999885857]","[0.06072900000071968, 0.00012579999747686088, 0.15874479999911273]",0,,,None,None,986622,001,2023-05-09_20h26.37.667,pb,2022.2.5,234.4066815349924,
3,0,3,0,6.972236900001008,6.972236900001008,6.972236900001008,6.972236900001008,6.972236900001008,6.972236900001008,4,"[0.8861624000019219, 0.1885636999977578, 0.15874189999885857, 0.12517139999908977]","[0.06072900000071968, 0.00012579999747686088, 0.00011269999959040433, 0.12517469999875175]",0,,,None,None,986622,001,2023-05-09_20h26.37.667,pb,2022.2.5,234.4066815349924,
4,0,4,0,7.11546190000081,7.11546190000081,7.11546190000081,7.11546190000081,7.11546190000081,7.11546190000081,4,"[0.8861624000019219, 0.1885636999977578, 0.15874189999885857, 0.12517139999908977]","[0.06072900000071968, 0.00012579999747686088, 0.00011269999959040433, 0.00011310000263620168]",1,[0.28514560000257916],[0.2851488000014797],None,None,986622,001,2023-05-09_20h26.37.667,pb,2022.2.5,234.4066815349924,
5,0,5,0,7.416055599998799,7.416055599998799,7.416055599998799,7.416055599998799,7.416055599998799,7.416055599998799,4,"[0.8861624000019219, 0.1885636999977578, 0.15874189999885857, 0.12517139999908977]","[0.06072900000071968, 0.00012579999747686088, 0.00011269999959040433, 0.00011310000263620168]",2,"[0.28514560000257916, 0.1277851999984705]","[0.00010639999891282059, 0.12778830000024755]",None,None,986622,001,2023-05-09_20h26.37.667,pb,2022.2.5,234.4066815349924,
6,0,6,0,7.558280900000682,7.558280900000682,7.558280900000682,7.558280900000682,7.558280900000682,7.558280900000682,4,"[0.8861624000019219, 0.1885636999977578, 0.15874189999885857, 0.12517139999908977]","[0.06072900000071968, 0.00012579999747686088, 0.00011269999959040433, 0.00011310000263620168]",3,"[0.28514560000257916, 0.1277851999984705, 0.2056174999997893]","[0.00010639999891282059, 0.04766820000077132, 0.20562060000156634]",None,None,986622,001,2023-05-09_20h26.37.667,pb,2022.2.5,234.4066815349924,
7,0,7,0,7.779253400000016,7.779253400000016,7.779253400000016,7.779253400000016,7.779253400000016,7.779253400000016,4,"[0.8861624000019219, 0.1885636999977578, 0.15874189999885857, 0.12517139999908977]","[0.06072900000071968, 0.00012579999747686088, 0.00011269999959040433, 0.00011310000263620168]",4,"[0.28514560000257916, 0.1277851999984705, 0.2056174999997893, 0.15927729999748408]","[0.00010639999891282059, 0.04766820000077132, 8.370000068680383e-05, 0.15928039999926114]",None,None,986622,001,2023-05-09_20h26.37.667,pb,2022.2.5,234.4066815349924,
8,0,8,0,7.953221799998573,7.953221799998573,7.953221799998573,7.953221799998573,7.953221799998573,7.953221799998573,4,"[0.8861624000019219, 0.1885636999977578, 0.15874189999885857, 0.12517139999908977]","[0.06072900000071968, 0.00012579999747686088, 0.00011269999959040433, 0.00011310000263620168]",5,"[0.28514560000257916, 0.1277851999984705, 0.2056174999997893, 0.15927729999748408, 0.1426791999983834]","[0.00010639999891282059, 0.04766820000077132, 8.370000068680383e-05, 8.759999764151871e-05, 0.1426824999980454]",None,None,986622,001,2023-05-09_20h26.37.667,pb,2022.2.5,234.4066815349924,
9,0,9,0,8.111359700000321,8.111359700000321,8.111359700000321,8.111359700000321,8.111359700000321,8.111359700000321,4,"[0.8861624000019219, 0.1885636999977578, 0.15874189999885857, 0.12517139999908977]","[0.06072900000071968, 0.00012579999747686088, 0.00011269999959040433, 0.00011310000263620168]",6,"[0.28514560000257916, 0.1277851999984705, 0.2056174999997893, 0.15927729999748408, 0.1426791999983834, 0.15688260000024457]","[0.00010639999891282059, 0.04766820000077132, 8.370000068680383e-05, 8.759999764151871e-05, 0.04705969999849913, 0.15688569999838364]",None,None,986622,001,2023-05-09_20h26.37.667,pb,2022.2.5,234.4066815349924,
10,0,10,0,8.270108900000196,8.270108900000196,8.270108900000196,8.270108900000196,8.270108900000196,8.270108900000196,4,"[0.8861624000019219, 0.1885636999977578, 0.15874189999885857, 0.12517139999908977]","[0.06072900000071968, 0.00012579999747686088, 0.00011269999959040433, 0.00011310000263620168]",7,"[0.28514560000257916, 0.1277851999984705, 0.2056174999997893, 0.15927729999748408, 0.1426791999983834, 0.15688260000024457, 0.1442644000017026]","[0.00010639999891282059, 0.04766820000077132, 8.370000068680383e-05, 8.759999764151871e-05, 0.04705969999849913, 0.03311530000064522, 0.1442674000027182]",None,None,986622,001,2023-05-09_20h26.37.667,pb,2022.2.5,234.4066815349924,
11,0,11,0,8.428437599999597,8.428437599999597,8.428437599999597,8.428437599999597,8.428437599999597,8.428437599999597,5,"[0.8861624000019219, 0.1885636999977578, 0.15874189999885857, 0.12517139999908977, 0.29912399999739137]","[0.06072900000071968, 0.00012579999747686088, 0.00011269999959040433, 0.00011310000263620168, 0.29912729999705334]",7,"[0.28514560000257916, 0.1277851999984705, 0.2056174999997893, 0.15927729999748408, 0.1426791999983834, 0.15688260000024457, 0.1442644000017026]","[0.00010639999891282059, 0.04766820000077132, 8.370000068680383e-05, 8.759999764151871e-05, 0.04705969999849913, 0.03311530000064522, 0.031520000000455184]",None,None,986622,001,2023-05-09_20h26.37.667,pb,2022.2.5,234.4066815349924,
12,0,12,0,8.759881800000585,8.759881800000585,8.759881800000585,8.759881800000585,8.759881800000585,8.759881800000585,6,"[0.8861624000019219, 0.1885636999977578, 0.15874189999885857, 0.12517139999908977, 0.29912399999739137, 0.1596121000002313]","[0.06072900000071968, 0.00012579999747686088, 0.00011269999959040433, 0.00011310000263620168, 0.04803209999954561, 0.15961520000200835]",7,"[0.28514560000257916, 0.1277851999984705, 0.2056174999997893, 0.15927729999748408, 0.1426791999983834, 0.15688260000024457, 0.1442644000017026]","[0.00010639999891282059, 0.04766820000077132, 8.370000068680383e-05, 8.759999764151871e-05, 0.04705969999849913, 0.03311530000064522, 0.031520000000455184]",None,None,986622,001,2023-05-09_20h26.37.667,pb,2022.2.5,234.4066815349924,
13,0,13,0,8.936043000001519,8.936043000001519,8.936043000001519,8.936043000001519,8.936043000001519,8.936043000001519,7,"[0.8861624000019219, 0.1885636999977578, 0.15874189999885857, 0.12517139999908977, 0.29912399999739137, 0.1596121000002313, 0.18988770000214572]","[0.06072900000071968, 0.00012579999747686088, 0.00011269999959040433, 0.00011310000263620168, 0.04803209999954561, 0.04954420000285609, 0.1898908000002848]",7,"[0.28514560000257916, 0.1277851999984705, 0.2056174999997893, 0.15927729999748408, 0.1426791999983834, 0.15688260000024457, 0.1442644000017026]","[0.00010639999891282059, 0.04766820000077132, 8.370000068680383e-05, 8.759999764151871e-05, 0.04705969999849913, 0.03311530000064522, 0.031520000000455184]",None,None,986622,001,2023-05-09_20h26.37.667,pb,2022.2.5,234.4066815349924,
,,,,9.140612999999576,9.140612999999576,9.140612999999576,9.140612999999576,9.140612999999576,9.140612999999576,,,,,,,,,,,,,,,
