trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,header.started,plus.started,minus.started,win_lose.started,plus.numClicks,plus.timesOn,plus.timesOff,minus.numClicks,minus.timesOn,minus.timesOff,green.response,red.response,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,5.1404605000006995,5.1404605000006995,5.1404605000006995,5.1404605000006995,1,[1.071411499999158],[1.0714150999992853],0,,,None,None,719687,001,2023-05-05_16h51.23.823,pb,2022.2.5,241.70644752035133,
1,0,1,0,6.222283200000675,6.222283200000675,6.222283200000675,6.222283200000675,1,[1.071411499999158],[0.00012259999857633375],1,[0.6078342999990127],[0.6078379999999015],None,None,719687,001,2023-05-05_16h51.23.823,pb,2022.2.5,241.70644752035133,
2,0,2,0,6.84197900000072,6.84197900000072,6.84197900000072,6.84197900000072,2,"[1.071411499999158, 0.32026440000117873]","[0.00012259999857633375, 0.32026779999978316]",1,[0.6078342999990127],[0.05452119999972638],None,None,719687,001,2023-05-05_16h51.23.823,pb,2022.2.5,241.70644752035133,
,,,,7.177689100000862,7.177689100000862,7.177689100000862,7.177689100000862,,,,,,,,,,,,,,,
