trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,header.started,plus.started,minus.started,win_lose.started,polygon_green.started,polygon_red.started,plus.numClicks,plus.timesOn,plus.timesOff,minus.numClicks,minus.timesOn,minus.timesOff,green.response,red.response,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,5.986571500001446,5.986571500001446,5.986571500001446,5.986571500001446,5.986571500001446,5.986571500001446,0,,,1,[0.5005191000018385],[0.500523400001839],None,None,408434,001,2023-05-09_20h30.38.507,pb,2022.2.5,234.12843347810892,
1,0,1,0,6.491823399999703,6.491823399999703,6.491823399999703,6.491823399999703,6.491823399999703,6.491823399999703,0,,,2,"[0.5005191000018385, 0.1446438000020862]","[0.02853510000204551, 0.14464829999997164]",None,None,408434,001,2023-05-09_20h30.38.507,pb,2022.2.5,234.12843347810892,
2,0,2,0,6.651565500000288,6.651565500000288,6.651565500000288,6.651565500000288,6.651565500000288,6.651565500000288,0,,,3,"[0.5005191000018385, 0.1446438000020862, 0.17122329999983776]","[0.02853510000204551, 0.027479799999127863, 0.1712273000011919]",None,None,408434,001,2023-05-09_20h30.38.507,pb,2022.2.5,234.12843347810892,
3,0,3,0,6.838440999999875,6.838440999999875,6.838440999999875,6.838440999999875,6.838440999999875,6.838440999999875,0,,,4,"[0.5005191000018385, 0.1446438000020862, 0.17122329999983776, 0.11126950000107172]","[0.02853510000204551, 0.027479799999127863, 0.02713710000170977, 0.11127350000242586]",None,None,408434,001,2023-05-09_20h30.38.507,pb,2022.2.5,234.12843347810892,
4,0,4,0,6.968621500000154,6.968621500000154,6.968621500000154,6.968621500000154,6.968621500000154,6.968621500000154,0,,,5,"[0.5005191000018385, 0.1446438000020862, 0.17122329999983776, 0.11126950000107172, 0.14343219999864232]","[0.02853510000204551, 0.027479799999127863, 0.02713710000170977, 0.05909389999942505, 0.14343649999864283]",None,None,408434,001,2023-05-09_20h30.38.507,pb,2022.2.5,234.12843347810892,
5,0,5,0,7.12518529999943,7.12518529999943,7.12518529999943,7.12518529999943,7.12518529999943,7.12518529999943,0,,,6,"[0.5005191000018385, 0.1446438000020862, 0.17122329999983776, 0.11126950000107172, 0.14343219999864232, 0.1366517999995267]","[0.02853510000204551, 0.027479799999127863, 0.02713710000170977, 0.05909389999942505, 0.05712929999936023, 0.13665589999800432]",None,None,408434,001,2023-05-09_20h30.38.507,pb,2022.2.5,234.12843347810892,
6,0,6,0,7.27934390000155,7.27934390000155,7.27934390000155,7.27934390000155,7.27934390000155,7.27934390000155,0,,,7,"[0.5005191000018385, 0.1446438000020862, 0.17122329999983776, 0.11126950000107172, 0.14343219999864232, 0.1366517999995267, 0.1391336999986379]","[0.02853510000204551, 0.027479799999127863, 0.02713710000170977, 0.05909389999942505, 0.05712929999936023, 0.05545219999839901, 0.1391379999986384]",None,None,408434,001,2023-05-09_20h30.38.507,pb,2022.2.5,234.12843347810892,
7,0,7,0,7.437187700001232,7.437187700001232,7.437187700001232,7.437187700001232,7.437187700001232,7.437187700001232,0,,,8,"[0.5005191000018385, 0.1446438000020862, 0.17122329999983776, 0.11126950000107172, 0.14343219999864232, 0.1366517999995267, 0.1391336999986379, 0.14353400000254624]","[0.02853510000204551, 0.027479799999127863, 0.02713710000170977, 0.05909389999942505, 0.05712929999936023, 0.05545219999839901, 0.060151800000312505, 0.1435380000002624]",None,None,408434,001,2023-05-09_20h30.38.507,pb,2022.2.5,234.12843347810892,
8,0,8,0,7.5923492000001715,7.5923492000001715,7.5923492000001715,7.5923492000001715,7.5923492000001715,7.5923492000001715,0,,,9,"[0.5005191000018385, 0.1446438000020862, 0.17122329999983776, 0.11126950000107172, 0.14343219999864232, 0.1366517999995267, 0.1391336999986379, 0.14353400000254624, 0.13692270000319695]","[0.02853510000204551, 0.027479799999127863, 0.02713710000170977, 0.05909389999942505, 0.05712929999936023, 0.05545219999839901, 0.060151800000312505, 0.057548300002963515, 0.13692680000167456]",None,None,408434,001,2023-05-09_20h30.38.507,pb,2022.2.5,234.12843347810892,
9,0,9,0,7.745458900000813,7.745458900000813,7.745458900000813,7.745458900000813,7.745458900000813,7.745458900000813,0,,,10,"[0.5005191000018385, 0.1446438000020862, 0.17122329999983776, 0.11126950000107172, 0.14343219999864232, 0.1366517999995267, 0.1391336999986379, 0.14353400000254624, 0.13692270000319695, 0.1867999999994936]","[0.02853510000204551, 0.027479799999127863, 0.02713710000170977, 0.05909389999942505, 0.05712929999936023, 0.05545219999839901, 0.060151800000312505, 0.057548300002963515, 0.05470509999940987, 0.1868042999994941]",None,None,408434,001,2023-05-09_20h30.38.507,pb,2022.2.5,234.12843347810892,
10,0,10,0,7.949297900002421,7.949297900002421,7.949297900002421,7.949297900002421,7.949297900002421,7.949297900002421,0,,,11,"[0.5005191000018385, 0.1446438000020862, 0.17122329999983776, 0.11126950000107172, 0.14343219999864232, 0.1366517999995267, 0.1391336999986379, 0.14353400000254624, 0.13692270000319695, 0.1867999999994936, 0.13833200000226498]","[0.02853510000204551, 0.027479799999127863, 0.02713710000170977, 0.05909389999942505, 0.05712929999936023, 0.05545219999839901, 0.060151800000312505, 0.057548300002963515, 0.05470509999940987, 0.029627600000821985, 0.13833620000150404]",None,None,408434,001,2023-05-09_20h30.38.507,pb,2022.2.5,234.12843347810892,
11,0,11,0,8.099993700001505,8.099993700001505,8.099993700001505,8.099993700001505,8.099993700001505,8.099993700001505,0,,,12,"[0.5005191000018385, 0.1446438000020862, 0.17122329999983776, 0.11126950000107172, 0.14343219999864232, 0.1366517999995267, 0.1391336999986379, 0.14353400000254624, 0.13692270000319695, 0.1867999999994936, 0.13833200000226498, 0.13468310000098427]","[0.02853510000204551, 0.027479799999127863, 0.02713710000170977, 0.05909389999942505, 0.05712929999936023, 0.05545219999839901, 0.060151800000312505, 0.057548300002963515, 0.05470509999940987, 0.029627600000821985, 0.056055600001855055, 0.13468730000022333]",None,None,408434,001,2023-05-09_20h30.38.507,pb,2022.2.5,234.12843347810892,
12,0,12,0,8.250973000001977,8.250973000001977,8.250973000001977,8.250973000001977,8.250973000001977,8.250973000001977,0,,,13,"[0.5005191000018385, 0.1446438000020862, 0.17122329999983776, 0.11126950000107172, 0.14343219999864232, 0.1366517999995267, 0.1391336999986379, 0.14353400000254624, 0.13692270000319695, 0.1867999999994936, 0.13833200000226498, 0.13468310000098427, 0.16345089999958873]","[0.02853510000204551, 0.027479799999127863, 0.02713710000170977, 0.05909389999942505, 0.05712929999936023, 0.05545219999839901, 0.060151800000312505, 0.057548300002963515, 0.05470509999940987, 0.029627600000821985, 0.056055600001855055, 0.055905700002767844, 0.16345500000170432]",None,None,408434,001,2023-05-09_20h30.38.507,pb,2022.2.5,234.12843347810892,
13,0,13,0,8.428255500002706,8.428255500002706,8.428255500002706,8.428255500002706,8.428255500002706,8.428255500002706,1,[0.27357430000120075],[0.2735787000019627],13,"[0.5005191000018385, 0.1446438000020862, 0.17122329999983776, 0.11126950000107172, 0.14343219999864232, 0.1366517999995267, 0.1391336999986379, 0.14353400000254624, 0.13692270000319695, 0.1867999999994936, 0.13833200000226498, 0.13468310000098427, 0.16345089999958873]","[0.02853510000204551, 0.027479799999127863, 0.02713710000170977, 0.05909389999942505, 0.05712929999936023, 0.05545219999839901, 0.060151800000312505, 0.057548300002963515, 0.05470509999940987, 0.029627600000821985, 0.056055600001855055, 0.055905700002767844, 0.05579070000021602]",None,None,408434,001,2023-05-09_20h30.38.507,pb,2022.2.5,234.12843347810892,
14,0,14,0,8.717267700001685,8.717267700001685,8.717267700001685,8.717267700001685,8.717267700001685,8.717267700001685,2,"[0.27357430000120075, 0.24416109999947366]","[0.05571779999809223, 0.24416519999795128]",13,"[0.5005191000018385, 0.1446438000020862, 0.17122329999983776, 0.11126950000107172, 0.14343219999864232, 0.1366517999995267, 0.1391336999986379, 0.14353400000254624, 0.13692270000319695, 0.1867999999994936, 0.13833200000226498, 0.13468310000098427, 0.16345089999958873]","[0.02853510000204551, 0.027479799999127863, 0.02713710000170977, 0.05909389999942505, 0.05712929999936023, 0.05545219999839901, 0.060151800000312505, 0.057548300002963515, 0.05470509999940987, 0.029627600000821985, 0.056055600001855055, 0.055905700002767844, 0.05579070000021602]",None,None,408434,001,2023-05-09_20h30.38.507,pb,2022.2.5,234.12843347810892,
15,0,15,0,8.97619130000021,8.97619130000021,8.97619130000021,8.97619130000021,8.97619130000021,8.97619130000021,3,"[0.27357430000120075, 0.24416109999947366, 0.16444500000216067]","[0.05571779999809223, 0.027078099999926053, 0.16444889999911538]",13,"[0.5005191000018385, 0.1446438000020862, 0.17122329999983776, 0.11126950000107172, 0.14343219999864232, 0.1366517999995267, 0.1391336999986379, 0.14353400000254624, 0.13692270000319695, 0.1867999999994936, 0.13833200000226498, 0.13468310000098427, 0.16345089999958873]","[0.02853510000204551, 0.027479799999127863, 0.02713710000170977, 0.05909389999942505, 0.05712929999936023, 0.05545219999839901, 0.060151800000312505, 0.057548300002963515, 0.05470509999940987, 0.029627600000821985, 0.056055600001855055, 0.055905700002767844, 0.05579070000021602]",None,None,408434,001,2023-05-09_20h30.38.507,pb,2022.2.5,234.12843347810892,
16,0,16,0,9.155568199999834,9.155568199999834,9.155568199999834,9.155568199999834,9.155568199999834,9.155568199999834,4,"[0.27357430000120075, 0.24416109999947366, 0.16444500000216067, 0.1385950000003504]","[0.05571779999809223, 0.027078099999926053, 0.05566289999842411, 0.13859909999882802]",13,"[0.5005191000018385, 0.1446438000020862, 0.17122329999983776, 0.11126950000107172, 0.14343219999864232, 0.1366517999995267, 0.1391336999986379, 0.14353400000254624, 0.13692270000319695, 0.1867999999994936, 0.13833200000226498, 0.13468310000098427, 0.16345089999958873]","[0.02853510000204551, 0.027479799999127863, 0.02713710000170977, 0.05909389999942505, 0.05712929999936023, 0.05545219999839901, 0.060151800000312505, 0.057548300002963515, 0.05470509999940987, 0.029627600000821985, 0.056055600001855055, 0.055905700002767844, 0.05579070000021602]",None,None,408434,001,2023-05-09_20h30.38.507,pb,2022.2.5,234.12843347810892,
17,0,17,0,9.308699100001832,9.308699100001832,9.308699100001832,9.308699100001832,9.308699100001832,9.308699100001832,5,"[0.27357430000120075, 0.24416109999947366, 0.16444500000216067, 0.1385950000003504, 0.1890903999992588]","[0.05571779999809223, 0.027078099999926053, 0.05566289999842411, 0.05597219999981462, 0.18909459999849787]",13,"[0.5005191000018385, 0.1446438000020862, 0.17122329999983776, 0.11126950000107172, 0.14343219999864232, 0.1366517999995267, 0.1391336999986379, 0.14353400000254624, 0.13692270000319695, 0.1867999999994936, 0.13833200000226498, 0.13468310000098427, 0.16345089999958873]","[0.02853510000204551, 0.027479799999127863, 0.02713710000170977, 0.05909389999942505, 0.05712929999936023, 0.05545219999839901, 0.060151800000312505, 0.057548300002963515, 0.05470509999940987, 0.029627600000821985, 0.056055600001855055, 0.055905700002767844, 0.05579070000021602]",None,None,408434,001,2023-05-09_20h30.38.507,pb,2022.2.5,234.12843347810892,
18,0,18,0,9.51441270000214,9.51441270000214,9.51441270000214,9.51441270000214,9.51441270000214,9.51441270000214,6,"[0.27357430000120075, 0.24416109999947366, 0.16444500000216067, 0.1385950000003504, 0.1890903999992588, 0.1382473999983631]","[0.05571779999809223, 0.027078099999926053, 0.05566289999842411, 0.05597219999981462, 0.028672299999016104, 0.1382577999975183]",13,"[0.5005191000018385, 0.1446438000020862, 0.17122329999983776, 0.11126950000107172, 0.14343219999864232, 0.1366517999995267, 0.1391336999986379, 0.14353400000254624, 0.13692270000319695, 0.1867999999994936, 0.13833200000226498, 0.13468310000098427, 0.16345089999958873]","[0.02853510000204551, 0.027479799999127863, 0.02713710000170977, 0.05909389999942505, 0.05712929999936023, 0.05545219999839901, 0.060151800000312505, 0.057548300002963515, 0.05470509999940987, 0.029627600000821985, 0.056055600001855055, 0.055905700002767844, 0.05579070000021602]",None,None,408434,001,2023-05-09_20h30.38.507,pb,2022.2.5,234.12843347810892,
