trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,header.started,plus.started,minus.started,win_lose.started,polygon_red.started,plus.numClicks,plus.timesOn,plus.timesOff,minus.numClicks,minus.timesOn,minus.timesOff,green.response,red.response,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,5.545981799998117,5.545981799998117,5.545981799998117,5.545981799998117,5.545981799998117,1,[1.5798489000007976],[1.5798527000006288],0,,,None,None,371993,001,2023-05-09_20h19.55.682,pb,2022.2.5,235.52631888485243,
1,0,1,0,7.127438899999106,7.127438899999106,7.127438899999106,7.127438899999106,7.127438899999106,2,"[1.5798489000007976, 0.34509320000142907]","[0.00012740000238409266, 0.34509629999956815]",0,,,None,None,371993,001,2023-05-09_20h19.55.682,pb,2022.2.5,235.52631888485243,
2,0,2,0,7.475578999998106,7.475578999998106,7.475578999998106,7.475578999998106,7.475578999998106,3,"[1.5798489000007976, 0.34509320000142907, 0.20646550000310526]","[0.00012740000238409266, 0.06347650000316207, 0.2064687000020058]",0,,,None,None,371993,001,2023-05-09_20h19.55.682,pb,2022.2.5,235.52631888485243,
3,0,3,0,7.711399899999378,7.711399899999378,7.711399899999378,7.711399899999378,7.711399899999378,3,"[1.5798489000007976, 0.34509320000142907, 0.20646550000310526]","[0.00012740000238409266, 0.06347650000316207, 0.00013309999849298038]",1,[0.47548860000097193],[0.47549179999987246],None,None,371993,001,2023-05-09_20h19.55.682,pb,2022.2.5,235.52631888485243,
4,0,4,0,8.204569800000172,8.204569800000172,8.204569800000172,8.204569800000172,8.204569800000172,3,"[1.5798489000007976, 0.34509320000142907, 0.20646550000310526]","[0.00012740000238409266, 0.06347650000316207, 0.00013309999849298038]",2,"[0.47548860000097193, 0.15709739999874728]","[0.048889399997278815, 0.1571005999976478]",None,None,371993,001,2023-05-09_20h19.55.682,pb,2022.2.5,235.52631888485243,
5,0,5,0,8.360502699997596,8.360502699997596,8.360502699997596,8.360502699997596,8.360502699997596,3,"[1.5798489000007976, 0.34509320000142907, 0.20646550000310526]","[0.00012740000238409266, 0.06347650000316207, 0.00013309999849298038]",3,"[0.47548860000097193, 0.15709739999874728, 0.17597639999803505]","[0.048889399997278815, 0.032831599997734884, 0.1759794999998121]",None,None,371993,001,2023-05-09_20h19.55.682,pb,2022.2.5,235.52631888485243,
6,0,6,0,8.551342099999601,8.551342099999601,8.551342099999601,8.551342099999601,8.551342099999601,3,"[1.5798489000007976, 0.34509320000142907, 0.20646550000310526]","[0.00012740000238409266, 0.06347650000316207, 0.00013309999849298038]",4,"[0.47548860000097193, 0.15709739999874728, 0.17597639999803505, 0.19247620000169263]","[0.048889399997278815, 0.032831599997734884, 0.06463580000126967, 0.19247919999907026]",None,None,371993,001,2023-05-09_20h19.55.682,pb,2022.2.5,235.52631888485243,
7,0,7,0,8.77442329999758,8.77442329999758,8.77442329999758,8.77442329999758,8.77442329999758,3,"[1.5798489000007976, 0.34509320000142907, 0.20646550000310526]","[0.00012740000238409266, 0.06347650000316207, 0.00013309999849298038]",5,"[0.47548860000097193, 0.15709739999874728, 0.17597639999803505, 0.19247620000169263, 0.42698749999908614]","[0.048889399997278815, 0.032831599997734884, 0.06463580000126967, 0.07839849999800208, 0.4269959999983257]",None,None,371993,001,2023-05-09_20h19.55.682,pb,2022.2.5,235.52631888485243,
8,0,8,0,9.218104699997639,9.218104699997639,9.218104699997639,9.218104699997639,9.218104699997639,3,"[1.5798489000007976, 0.34509320000142907, 0.20646550000310526]","[0.00012740000238409266, 0.06347650000316207, 0.00013309999849298038]",6,"[0.47548860000097193, 0.15709739999874728, 0.17597639999803505, 0.19247620000169263, 0.42698749999908614, 0.1583844999986468]","[0.048889399997278815, 0.032831599997734884, 0.06463580000126967, 0.07839849999800208, 0.047934999998688, 0.15838769999754732]",None,None,371993,001,2023-05-09_20h19.55.682,pb,2022.2.5,235.52631888485243,
9,0,9,0,9.375262999998085,9.375262999998085,9.375262999998085,9.375262999998085,9.375262999998085,4,"[1.5798489000007976, 0.34509320000142907, 0.20646550000310526, 0.2995322999995551]","[0.00012740000238409266, 0.06347650000316207, 0.00013309999849298038, 0.29953529999693274]",6,"[0.47548860000097193, 0.15709739999874728, 0.17597639999803505, 0.19247620000169263, 0.42698749999908614, 0.1583844999986468]","[0.048889399997278815, 0.032831599997734884, 0.06463580000126967, 0.07839849999800208, 0.047934999998688, 0.03046639999956824]",None,None,371993,001,2023-05-09_20h19.55.682,pb,2022.2.5,235.52631888485243,
10,0,10,0,9.70818909999798,9.70818909999798,9.70818909999798,9.70818909999798,9.70818909999798,5,"[1.5798489000007976, 0.34509320000142907, 0.20646550000310526, 0.2995322999995551, 0.19181919999755337]","[0.00012740000238409266, 0.06347650000316207, 0.00013309999849298038, 0.04893729999821517, 0.19182229999933043]",6,"[0.47548860000097193, 0.15709739999874728, 0.17597639999803505, 0.19247620000169263, 0.42698749999908614, 0.1583844999986468]","[0.048889399997278815, 0.032831599997734884, 0.06463580000126967, 0.07839849999800208, 0.047934999998688, 0.03046639999956824]",None,None,371993,001,2023-05-09_20h19.55.682,pb,2022.2.5,235.52631888485243,
11,0,11,0,9.914321799999016,9.914321799999016,9.914321799999016,9.914321799999016,9.914321799999016,6,"[1.5798489000007976, 0.34509320000142907, 0.20646550000310526, 0.2995322999995551, 0.19181919999755337, 0.19033269999999902]","[0.00012740000238409266, 0.06347650000316207, 0.00013309999849298038, 0.04893729999821517, 0.048646999999618856, 0.19033570000101463]",6,"[0.47548860000097193, 0.15709739999874728, 0.17597639999803505, 0.19247620000169263, 0.42698749999908614, 0.1583844999986468]","[0.048889399997278815, 0.032831599997734884, 0.06463580000126967, 0.07839849999800208, 0.047934999998688, 0.03046639999956824]",None,None,371993,001,2023-05-09_20h19.55.682,pb,2022.2.5,235.52631888485243,
12,0,12,0,10.103829799998493,10.103829799998493,10.103829799998493,10.103829799998493,10.103829799998493,6,"[1.5798489000007976, 0.34509320000142907, 0.20646550000310526, 0.2995322999995551, 0.19181919999755337, 0.19033269999999902]","[0.00012740000238409266, 0.06347650000316207, 0.00013309999849298038, 0.04893729999821517, 0.048646999999618856, 0.033445500001107575]",7,"[0.47548860000097193, 0.15709739999874728, 0.17597639999803505, 0.19247620000169263, 0.42698749999908614, 0.1583844999986468, 0.27126189999762573]","[0.048889399997278815, 0.032831599997734884, 0.06463580000126967, 0.07839849999800208, 0.047934999998688, 0.03046639999956824, 0.27126510000016424]",None,None,371993,001,2023-05-09_20h19.55.682,pb,2022.2.5,235.52631888485243,
13,0,13,0,10.404664599998796,10.404664599998796,10.404664599998796,10.404664599998796,10.404664599998796,6,"[1.5798489000007976, 0.34509320000142907, 0.20646550000310526, 0.2995322999995551, 0.19181919999755337, 0.19033269999999902]","[0.00012740000238409266, 0.06347650000316207, 0.00013309999849298038, 0.04893729999821517, 0.048646999999618856, 0.033445500001107575]",8,"[0.47548860000097193, 0.15709739999874728, 0.17597639999803505, 0.19247620000169263, 0.42698749999908614, 0.1583844999986468, 0.27126189999762573, 0.14135709999754908]","[0.048889399997278815, 0.032831599997734884, 0.06463580000126967, 0.07839849999800208, 0.047934999998688, 0.03046639999956824, 0.04648040000029141, 0.14135999999780324]",None,None,371993,001,2023-05-09_20h19.55.682,pb,2022.2.5,235.52631888485243,
,,,,10.54668429999947,10.54668429999947,10.54668429999947,10.54668429999947,10.54668429999947,,,,,,,,,,,,,,,
