trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,plus.started,minus.started,win_lose.started,plus.numClicks,plus.timesOn,plus.timesOff,minus.numClicks,minus.timesOn,minus.timesOff,green.response,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,6.58095830000093,6.58095830000093,6.58095830000093,6.58095830000093,1,[2.428125700000237],[2.428129200001422],0,,,None,802726,001,2023-05-05_16h44.17.041,pb,2022.2.5,240.31356112670684,
1,0,1,0,9.015357300000687,9.015357300000687,9.015357300000687,9.015357300000687,1,[2.428125700000237],[0.06411660000048869],1,[0.3318822999990516],[0.3318858000002365],None,802726,001,2023-05-05_16h44.17.041,pb,2022.2.5,240.31356112670684,
2,0,2,0,9.363413099999889,9.363413099999889,9.363413099999889,9.363413099999889,1,[2.428125700000237],[0.06411660000048869],2,"[0.3318822999990516, 0.18072589999974298]","[0.06485629999951925, 0.1807293000001664]",None,802726,001,2023-05-05_16h44.17.041,pb,2022.2.5,240.31356112670684,
3,0,3,0,9.55735679999998,9.55735679999998,9.55735679999998,9.55735679999998,2,"[2.428125700000237, 0.30374330000086047]","[0.06411660000048869, 0.30374650000158]",2,"[0.3318822999990516, 0.18072589999974298]","[0.06485629999951925, 0.06661559999884048]",None,802726,001,2023-05-05_16h44.17.041,pb,2022.2.5,240.31356112670684,
,,,,9.872255500000392,9.872255500000392,9.872255500000392,9.872255500000392,,,,,,,,,,,,,,
