trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,header.started,plus.started,minus.started,win_lose.started,plus.numClicks,plus.timesOn,plus.timesOff,minus.numClicks,minus.timesOn,minus.timesOff,green.response,red.response,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,5.2819314999997005,5.2819314999997005,5.2819314999997005,5.2819314999997005,1,[1.477164099998845],[1.4771731999990152],0,,,None,None,167753,001,2023-05-05_16h47.06.862,pb,2022.2.5,240.2714105821735,
1,0,1,0,6.766134800000145,6.766134800000145,6.766134800000145,6.766134800000145,1,[1.477164099998845],[0.05427889999918989],1,[0.3967078000005131],[0.39671070000076725],None,None,167753,001,2023-05-05_16h47.06.862,pb,2022.2.5,240.2714105821735,
,,,,7.177258100000472,7.177258100000472,7.177258100000472,7.177258100000472,,,,,,,,,,,,,,,
