trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,plus.started,minus.started,win_lose.started,plus.numClicks,plus.timesOn,plus.timesOff,minus.numClicks,minus.timesOn,minus.timesOff,green.response,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,5.588361000000077,5.588361000000077,5.588361000000077,5.588361000000077,0,,,1,[6.990555599999425],[6.990558499999679],None,445185,001,2023-05-05_16h43.15.570,pb,2022.2.5,239.12632804161285,
1,0,1,0,12.584000000000742,12.584000000000742,12.584000000000742,12.584000000000742,1,[0.37305449999985285],[0.37305729999934556],1,[6.990555599999425],[0.06339289999959874],None,445185,001,2023-05-05_16h43.15.570,pb,2022.2.5,239.12632804161285,
2,0,2,0,12.972533600001043,12.972533600001043,12.972533600001043,12.972533600001043,2,"[0.37305449999985285, 0.1789957000000868]","[0.048916100000496954, 0.17899880000004487]",1,[6.990555599999425],[0.06339289999959874],None,445185,001,2023-05-05_16h43.15.570,pb,2022.2.5,239.12632804161285,
3,0,3,0,13.164806200000385,13.164806200000385,13.164806200000385,13.164806200000385,3,"[0.37305449999985285, 0.1789957000000868, 0.13550989999930607]","[0.048916100000496954, 0.06365779999941878, 0.1355128999985027]",1,[6.990555599999425],[0.06339289999959874],None,445185,001,2023-05-05_16h43.15.570,pb,2022.2.5,239.12632804161285,
4,0,4,0,13.311867800000982,13.311867800000982,13.311867800000982,13.311867800000982,3,"[0.37305449999985285, 0.1789957000000868, 0.13550989999930607]","[0.048916100000496954, 0.06365779999941878, 0.08140210000055959]",2,"[6.990555599999425, 0.3641103000009025]","[0.06339289999959874, 0.364113500001622]",None,445185,001,2023-05-05_16h43.15.570,pb,2022.2.5,239.12632804161285,
,,,,13.69096720000016,13.69096720000016,13.69096720000016,13.69096720000016,,,,,,,,,,,,,,
