trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,plus.started,minus.started,win_lose.started,plus.numClicks,plus.timesOn,plus.timesOff,minus.numClicks,minus.timesOn,minus.timesOff,green.response,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,5.018841000000975,5.018841000000975,5.018841000000975,5.018841000000975,0,,,1,[2.5474667999988014],[2.54747049999969],None,858126,001,2023-05-05_16h44.51.110,pb,2022.2.5,236.49439626715608,
1,0,1,0,7.575266300000294,7.575266300000294,7.575266300000294,7.575266300000294,0,,,2,"[2.5474667999988014, 0.24327440000161005]","[0.04815310000049067, 0.2432782000014413]",None,858126,001,2023-05-05_16h44.51.110,pb,2022.2.5,236.49439626715608,
,,,,7.833528400000432,7.833528400000432,7.833528400000432,7.833528400000432,,,,,,,,,,,,,,
