trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,plus.started,minus.started,win_lose.started,plus.numClicks,plus.timesOn,plus.timesOff,minus.numClicks,minus.timesOn,minus.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,5.152222600001551,5.152222600001551,5.152222600001551,5.152222600001551,0,,,1,[0.6020607000009477],[0.6020640000006097],796200,001,2023-05-05_16h39.01.043,pb,2022.2.5,237.27325574719788,
1,0,1,0,5.764050499999939,5.764050499999939,5.764050499999939,5.764050499999939,1,[0.8172517999992124],[0.8172546000005241],1,[0.6020607000009477],[0.06716450000021723],796200,001,2023-05-05_16h39.01.043,pb,2022.2.5,237.27325574719788,
2,0,2,0,6.591377900000225,6.591377900000225,6.591377900000225,6.591377900000225,2,"[0.8172517999992124, 0.8109062000003178]","[0.06029600000147184, 0.8109148000003188]",1,[0.6020607000009477],[0.06716450000021723],796200,001,2023-05-05_16h39.01.043,pb,2022.2.5,237.27325574719788,
3,0,3,0,7.41326509999999,7.41326509999999,7.41326509999999,7.41326509999999,2,"[0.8172517999992124, 0.8109062000003178]","[0.06029600000147184, 0.06940679999934218]",2,"[0.6020607000009477, 0.5635482999987289]","[0.06716450000021723, 0.5635512999997445]",796200,001,2023-05-05_16h39.01.043,pb,2022.2.5,237.27325574719788,
4,0,4,0,7.986717100000533,7.986717100000533,7.986717100000533,7.986717100000533,3,"[0.8172517999992124, 0.8109062000003178, 0.5169777999999496]","[0.06029600000147184, 0.06940679999934218, 0.5169807000002038]",2,"[0.6020607000009477, 0.5635482999987289]","[0.06716450000021723, 0.0860545000014099]",796200,001,2023-05-05_16h39.01.043,pb,2022.2.5,237.27325574719788,
5,0,5,0,8.514365800001542,8.514365800001542,8.514365800001542,8.514365800001542,4,"[0.8172517999992124, 0.8109062000003178, 0.5169777999999496, 0.21217750000141677]","[0.06029600000147184, 0.06940679999934218, 0.09114010000121198, 0.21218020000014803]",2,"[0.6020607000009477, 0.5635482999987289]","[0.06716450000021723, 0.0860545000014099]",796200,001,2023-05-05_16h39.01.043,pb,2022.2.5,237.27325574719788,
6,0,6,0,8.73825510000097,8.73825510000097,8.73825510000097,8.73825510000097,4,"[0.8172517999992124, 0.8109062000003178, 0.5169777999999496, 0.21217750000141677]","[0.06029600000147184, 0.06940679999934218, 0.09114010000121198, 0.08173849999911909]",3,"[0.6020607000009477, 0.5635482999987289, 0.37578319999920495]","[0.06716450000021723, 0.0860545000014099, 0.375786299999163]",796200,001,2023-05-05_16h39.01.043,pb,2022.2.5,237.27325574719788,
7,0,7,0,9.123096200000873,9.123096200000873,9.123096200000873,9.123096200000873,4,"[0.8172517999992124, 0.8109062000003178, 0.5169777999999496, 0.21217750000141677]","[0.06029600000147184, 0.06940679999934218, 0.09114010000121198, 0.08173849999911909]",4,"[0.6020607000009477, 0.5635482999987289, 0.37578319999920495, 0.41612189999978]","[0.06716450000021723, 0.0860545000014099, 0.0900151999994705, 0.4161246999992727]",796200,001,2023-05-05_16h39.01.043,pb,2022.2.5,237.27325574719788,
8,0,8,0,9.54911549999997,9.54911549999997,9.54911549999997,9.54911549999997,4,"[0.8172517999992124, 0.8109062000003178, 0.5169777999999496, 0.21217750000141677]","[0.06029600000147184, 0.06940679999934218, 0.09114010000121198, 0.08173849999911909]",5,"[0.6020607000009477, 0.5635482999987289, 0.37578319999920495, 0.41612189999978, 0.19970869999997376]","[0.06716450000021723, 0.0860545000014099, 0.0900151999994705, 0.05997820000084175, 0.19971169999917038]",796200,001,2023-05-05_16h39.01.043,pb,2022.2.5,237.27325574719788,
9,0,9,0,9.75989760000084,9.75989760000084,9.75989760000084,9.75989760000084,5,"[0.8172517999992124, 0.8109062000003178, 0.5169777999999496, 0.21217750000141677, 0.37848810000105004]","[0.06029600000147184, 0.06940679999934218, 0.09114010000121198, 0.08173849999911909, 0.37849090000054275]",5,"[0.6020607000009477, 0.5635482999987289, 0.37578319999920495, 0.41612189999978, 0.19970869999997376]","[0.06716450000021723, 0.0860545000014099, 0.0900151999994705, 0.05997820000084175, 0.07550389999960316]",796200,001,2023-05-05_16h39.01.043,pb,2022.2.5,237.27325574719788,
