trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,header.started,plus.started,minus.started,win_lose.started,plus.numClicks,plus.timesOn,plus.timesOff,minus.numClicks,minus.timesOn,minus.timesOff,green.response,red.response,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,5.656131699999605,5.656131699999605,5.656131699999605,5.656131699999605,1,[0.5159839000007196],[0.5159870000006777],0,,,None,None,991316,001,2023-05-05_17h09.07.191,pb,2022.2.5,235.56293653025597,
1,0,1,0,6.1779451000002155,6.1779451000002155,6.1779451000002155,6.1779451000002155,2,"[0.5159839000007196, 0.14089120000062394]","[0.029515600001104758, 0.1408941000008781]",0,,,None,None,991316,001,2023-05-05_17h09.07.191,pb,2022.2.5,235.56293653025597,
2,0,2,0,6.3522739,6.3522739,6.3522739,6.3522739,3,"[0.5159839000007196, 0.14089120000062394, 0.1268398000011075]","[0.029515600001104758, 0.00012690000039583538, 0.12684269999954267]",0,,,None,None,991316,001,2023-05-05_17h09.07.191,pb,2022.2.5,235.56293653025597,
3,0,3,0,6.495564700000614,6.495564700000614,6.495564700000614,6.495564700000614,3,"[0.5159839000007196, 0.14089120000062394, 0.1268398000011075]","[0.029515600001104758, 0.00012690000039583538, 0.00011929999891435727]",1,[0.23841869999887422],[0.23842169999988982],None,None,991316,001,2023-05-05_17h09.07.191,pb,2022.2.5,235.56293653025597,
4,0,4,0,6.749360899999374,6.749360899999374,6.749360899999374,6.749360899999374,3,"[0.5159839000007196, 0.14089120000062394, 0.1268398000011075]","[0.029515600001104758, 0.00012690000039583538, 0.00011929999891435727]",2,"[0.23841869999887422, 0.15916610000022047]","[0.04769469999882858, 0.15916899999865564]",None,None,991316,001,2023-05-05_17h09.07.191,pb,2022.2.5,235.56293653025597,
5,0,5,0,6.924290799999653,6.924290799999653,6.924290799999653,6.924290799999653,3,"[0.5159839000007196, 0.14089120000062394, 0.1268398000011075]","[0.029515600001104758, 0.00012690000039583538, 0.00011929999891435727]",3,"[0.23841869999887422, 0.15916610000022047, 0.15939849999995204]","[0.04769469999882858, 0.04843740000069374, 0.1594014000002062]",None,None,991316,001,2023-05-05_17h09.07.191,pb,2022.2.5,235.56293653025597,
6,0,6,0,7.083758900000248,7.083758900000248,7.083758900000248,7.083758900000248,3,"[0.5159839000007196, 0.14089120000062394, 0.1268398000011075]","[0.029515600001104758, 0.00012690000039583538, 0.00011929999891435727]",4,"[0.23841869999887422, 0.15916610000022047, 0.15939849999995204, 0.14220109999951092]","[0.04769469999882858, 0.04843740000069374, 0.03349940000043716, 0.14220390000082261]",None,None,991316,001,2023-05-05_17h09.07.191,pb,2022.2.5,235.56293653025597,
7,0,7,0,7.257577399999718,7.257577399999718,7.257577399999718,7.257577399999718,4,"[0.5159839000007196, 0.14089120000062394, 0.1268398000011075, 0.20744379999996454]","[0.029515600001104758, 0.00012690000039583538, 0.00011929999891435727, 0.20744709999962652]",4,"[0.23841869999887422, 0.15916610000022047, 0.15939849999995204, 0.14220109999951092]","[0.04769469999882858, 0.04843740000069374, 0.03349940000043716, 9.409999984200113e-05]",None,None,991316,001,2023-05-05_17h09.07.191,pb,2022.2.5,235.56293653025597,
8,0,8,0,7.479244300000573,7.479244300000573,7.479244300000573,7.479244300000573,5,"[0.5159839000007196, 0.14089120000062394, 0.1268398000011075, 0.20744379999996454, 0.15973059999851102]","[0.029515600001104758, 0.00012690000039583538, 0.00011929999891435727, 0.04843379999874742, 0.1597336999984691]",4,"[0.23841869999887422, 0.15916610000022047, 0.15939849999995204, 0.14220109999951092]","[0.04769469999882858, 0.04843740000069374, 0.03349940000043716, 9.409999984200113e-05]",None,None,991316,001,2023-05-05_17h09.07.191,pb,2022.2.5,235.56293653025597,
9,0,9,0,7.637185899999167,7.637185899999167,7.637185899999167,7.637185899999167,6,"[0.5159839000007196, 0.14089120000062394, 0.1268398000011075, 0.20744379999996454, 0.15973059999851102, 0.14145669999925303]","[0.029515600001104758, 0.00012690000039583538, 0.00011929999891435727, 0.04843379999874742, 0.06161959999917599, 0.14145949999874574]",4,"[0.23841869999887422, 0.15916610000022047, 0.15939849999995204, 0.14220109999951092]","[0.04769469999882858, 0.04843740000069374, 0.03349940000043716, 9.409999984200113e-05]",None,None,991316,001,2023-05-05_17h09.07.191,pb,2022.2.5,235.56293653025597,
