trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,header.started,plus.started,minus.started,win_lose.started,polygon_red.started,plus.numClicks,plus.timesOn,plus.timesOff,minus.numClicks,minus.timesOn,minus.timesOff,green.response,red.response,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,5.310876299998199,5.310876299998199,5.310876299998199,5.310876299998199,5.310876299998199,1,[1.205176700001175],[1.2051799000000756],0,,,None,None,024095,001,2023-05-09_20h21.27.167,pb,2022.2.5,235.9642561497104,
1,0,1,0,6.528331999998045,6.528331999998045,6.528331999998045,6.528331999998045,6.528331999998045,2,"[1.205176700001175, 0.31458700000075623]","[0.045158500000979984, 0.3145900999988953]",0,,,None,None,024095,001,2023-05-09_20h21.27.167,pb,2022.2.5,235.9642561497104,
2,0,2,0,6.8447949000001245,6.8447949000001245,6.8447949000001245,6.8447949000001245,6.8447949000001245,3,"[1.205176700001175, 0.31458700000075623, 0.1726858000001812]","[0.045158500000979984, 0.06361399999877904, 0.1726888000011968]",0,,,None,None,024095,001,2023-05-09_20h21.27.167,pb,2022.2.5,235.9642561497104,
3,0,3,0,7.04890929999965,7.04890929999965,7.04890929999965,7.04890929999965,7.04890929999965,4,"[1.205176700001175, 0.31458700000075623, 0.1726858000001812, 0.18987399999969057]","[0.045158500000979984, 0.06361399999877904, 0.07947679999779211, 0.18987689999994473]",0,,,None,None,024095,001,2023-05-09_20h21.27.167,pb,2022.2.5,235.9642561497104,
4,0,4,0,7.238910000000033,7.238910000000033,7.238910000000033,7.238910000000033,7.238910000000033,5,"[1.205176700001175, 0.31458700000075623, 0.1726858000001812, 0.18987399999969057, 0.1914312000008067]","[0.045158500000979984, 0.06361399999877904, 0.07947679999779211, 0.06441050000285031, 0.19143430000258377]",0,,,None,None,024095,001,2023-05-09_20h21.27.167,pb,2022.2.5,235.9642561497104,
5,0,5,0,7.460877800000162,7.460877800000162,7.460877800000162,7.460877800000162,7.460877800000162,5,"[1.205176700001175, 0.31458700000075623, 0.1726858000001812, 0.18987399999969057, 0.1914312000008067]","[0.045158500000979984, 0.06361399999877904, 0.07947679999779211, 0.06441050000285031, 0.047420200000487966]",1,[0.34841510000114795],[0.3484184000008099],None,None,024095,001,2023-05-09_20h21.27.167,pb,2022.2.5,235.9642561497104,
6,0,6,0,7.824666699998488,7.824666699998488,7.824666699998488,7.824666699998488,7.824666699998488,5,"[1.205176700001175, 0.31458700000075623, 0.1726858000001812, 0.18987399999969057, 0.1914312000008067]","[0.045158500000979984, 0.06361399999877904, 0.07947679999779211, 0.06441050000285031, 0.047420200000487966]",2,"[0.34841510000114795, 0.15938410000308068]","[8.480000178678893e-05, 0.15938720000121975]",None,None,024095,001,2023-05-09_20h21.27.167,pb,2022.2.5,235.9642561497104,
7,0,7,0,8.000090699999419,8.000090699999419,8.000090699999419,8.000090699999419,8.000090699999419,5,"[1.205176700001175, 0.31458700000075623, 0.1726858000001812, 0.18987399999969057, 0.1914312000008067]","[0.045158500000979984, 0.06361399999877904, 0.07947679999779211, 0.06441050000285031, 0.047420200000487966]",3,"[0.34841510000114795, 0.15938410000308068, 0.15781780000179424]","[8.480000178678893e-05, 0.04836970000178553, 0.15782089999993332]",None,None,024095,001,2023-05-09_20h21.27.167,pb,2022.2.5,235.9642561497104,
8,0,8,0,8.157228100000793,8.157228100000793,8.157228100000793,8.157228100000793,8.157228100000793,5,"[1.205176700001175, 0.31458700000075623, 0.1726858000001812, 0.18987399999969057, 0.1914312000008067]","[0.045158500000979984, 0.06361399999877904, 0.07947679999779211, 0.06441050000285031, 0.047420200000487966]",4,"[0.34841510000114795, 0.15938410000308068, 0.15781780000179424, 0.1770284999984142]","[8.480000178678893e-05, 0.04836970000178553, 0.0650227999976778, 0.17703210000036051]",None,None,024095,001,2023-05-09_20h21.27.167,pb,2022.2.5,235.9642561497104,
9,0,9,0,8.364119400001073,8.364119400001073,8.364119400001073,8.364119400001073,8.364119400001073,5,"[1.205176700001175, 0.31458700000075623, 0.1726858000001812, 0.18987399999969057, 0.1914312000008067]","[0.045158500000979984, 0.06361399999877904, 0.07947679999779211, 0.06441050000285031, 0.047420200000487966]",5,"[0.34841510000114795, 0.15938410000308068, 0.15781780000179424, 0.1770284999984142, 0.20570789999692352]","[8.480000178678893e-05, 0.04836970000178553, 0.0650227999976778, 0.07927039999776753, 0.20571089999793912]",None,None,024095,001,2023-05-09_20h21.27.167,pb,2022.2.5,235.9642561497104,
