trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,header.started,plus.started,minus.started,win_lose.started,polygon_red.started,plus.numClicks,plus.timesOn,plus.timesOff,minus.numClicks,minus.timesOn,minus.timesOff,green.response,red.response,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,8.3828082,8.3828082,8.3828082,8.3828082,8.3828082,1,[1.1757972000013979],[1.1758005000010598],0,,,None,None,366696,001,2023-05-09_20h20.34.953,pb,2022.2.5,None,
1,0,1,0,9.58442339999965,9.58442339999965,9.58442339999965,9.58442339999965,9.58442339999965,2,"[1.1757972000013979, 0.268440499999997]","[0.04746200000226963, 0.2684435000010126]",0,,,None,None,366696,001,2023-05-09_20h20.34.953,pb,2022.2.5,None,
2,0,2,0,9.868893500002741,9.868893500002741,9.868893500002741,9.868893500002741,9.868893500002741,2,"[1.1757972000013979, 0.268440499999997]","[0.04746200000226963, 0.047536699999909615]",1,[0.3644817999993393],[0.3644849999982398],None,None,366696,001,2023-05-09_20h20.34.953,pb,2022.2.5,None,
3,0,3,0,10.249077600001328,10.249077600001328,10.249077600001328,10.249077600001328,10.249077600001328,2,"[1.1757972000013979, 0.268440499999997]","[0.04746200000226963, 0.047536699999909615]",2,"[0.3644817999993393, 0.22248579999723006]","[0.04833199999848148, 0.22248889999900712]",None,None,366696,001,2023-05-09_20h20.34.953,pb,2022.2.5,None,
4,0,4,0,10.470984700001281,10.470984700001281,10.470984700001281,10.470984700001281,10.470984700001281,2,"[1.1757972000013979, 0.268440499999997]","[0.04746200000226963, 0.047536699999909615]",3,"[0.3644817999993393, 0.22248579999723006, 0.3805013000019244]","[0.04833199999848148, 0.03280350000204635, 0.38050440000006347]",None,None,366696,001,2023-05-09_20h20.34.953,pb,2022.2.5,None,
5,0,5,0,10.865134900002886,10.865134900002886,10.865134900002886,10.865134900002886,10.865134900002886,3,"[1.1757972000013979, 0.268440499999997, 0.31638290000046254]","[0.04746200000226963, 0.047536699999909615, 0.3163859999986016]",3,"[0.3644817999993393, 0.22248579999723006, 0.3805013000019244]","[0.04833199999848148, 0.03280350000204635, 0.06243670000185375]",None,None,366696,001,2023-05-09_20h20.34.953,pb,2022.2.5,None,
,,,,11.214386400002695,11.214386400002695,11.214386400002695,11.214386400002695,11.214386400002695,,,,,,,,,,,,,,,
