trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,header.started,plus.started,minus.started,win_lose.started,polygon_green.started,polygon_red.started,plus.numClicks,plus.timesOn,plus.timesOff,minus.numClicks,minus.timesOn,minus.timesOff,green.response,red.response,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,8.290329700001166,8.290329700001166,8.290329700001166,8.290329700001166,8.290329700001166,8.290329700001166,1,[0.0007255000018631108],[0.0007286000000021886],1,[0.00016870000035851263],[0.00017180000213556923],None,None,934169,001,2023-05-09_20h26.02.832,pb,2022.2.5,None,
1,0,1,0,8.290329700001166,8.290329700001166,8.290329700001166,8.290329700001166,8.290329700001166,8.290329700001166,2,"[0.0007255000018631108, 1.0689374000030512]","[0.0001517000018793624, 1.0689404000004288]",1,[0.00016870000035851263],[8.430000161752105e-05],None,None,934169,001,2023-05-09_20h26.02.832,pb,2022.2.5,None,
2,0,2,0,9.367773599999055,9.367773599999055,9.367773599999055,9.367773599999055,9.367773599999055,9.367773599999055,3,"[0.0007255000018631108, 1.0689374000030512, 0.15802550000080373]","[0.0001517000018793624, 0.00011870000162161887, 0.1580285999989428]",1,[0.00016870000035851263],[8.430000161752105e-05],None,None,934169,001,2023-05-09_20h26.02.832,pb,2022.2.5,None,
3,0,3,0,9.541237900000851,9.541237900000851,9.541237900000851,9.541237900000851,9.541237900000851,9.541237900000851,4,"[0.0007255000018631108, 1.0689374000030512, 0.15802550000080373, 0.12575550000110525]","[0.0001517000018793624, 0.00011870000162161887, 0.00012110000170650892, 0.1257584000013594]",1,[0.00016870000035851263],[8.430000161752105e-05],None,None,934169,001,2023-05-09_20h26.02.832,pb,2022.2.5,None,
4,0,4,0,9.68351679999978,9.68351679999978,9.68351679999978,9.68351679999978,9.68351679999978,9.68351679999978,5,"[0.0007255000018631108, 1.0689374000030512, 0.15802550000080373, 0.12575550000110525, 0.15790190000188886]","[0.0001517000018793624, 0.00011870000162161887, 0.00012110000170650892, 0.04660209999929066, 0.1579048999992665]",1,[0.00016870000035851263],[8.430000161752105e-05],None,None,934169,001,2023-05-09_20h26.02.832,pb,2022.2.5,None,
5,0,5,0,9.842878700001165,9.842878700001165,9.842878700001165,9.842878700001165,9.842878700001165,9.842878700001165,6,"[0.0007255000018631108, 1.0689374000030512, 0.15802550000080373, 0.12575550000110525, 0.15790190000188886, 0.14190849999795319]","[0.0001517000018793624, 0.00011870000162161887, 0.00012110000170650892, 0.04660209999929066, 0.0319655999992392, 0.14191139999820734]",1,[0.00016870000035851263],[8.430000161752105e-05],None,None,934169,001,2023-05-09_20h26.02.832,pb,2022.2.5,None,
6,0,6,0,10.000315900000714,10.000315900000714,10.000315900000714,10.000315900000714,10.000315900000714,10.000315900000714,6,"[0.0007255000018631108, 1.0689374000030512, 0.15802550000080373, 0.12575550000110525, 0.15790190000188886, 0.14190849999795319]","[0.0001517000018793624, 0.00011870000162161887, 0.00012110000170650892, 0.04660209999929066, 0.0319655999992392, 0.031512500001554145]",2,"[0.00016870000035851263, 0.301521599998523]","[8.430000161752105e-05, 0.30152479999742354]",None,None,934169,001,2023-05-09_20h26.02.832,pb,2022.2.5,None,
7,0,7,0,10.333648600000743,10.333648600000743,10.333648600000743,10.333648600000743,10.333648600000743,10.333648600000743,6,"[0.0007255000018631108, 1.0689374000030512, 0.15802550000080373, 0.12575550000110525, 0.15790190000188886, 0.14190849999795319]","[0.0001517000018793624, 0.00011870000162161887, 0.00012110000170650892, 0.04660209999929066, 0.0319655999992392, 0.031512500001554145]",3,"[0.00016870000035851263, 0.301521599998523, 0.1900891999976011]","[8.430000161752105e-05, 0.0483115999995789, 0.1900921999986167]",None,None,934169,001,2023-05-09_20h26.02.832,pb,2022.2.5,None,
8,0,8,0,10.538462000000436,10.538462000000436,10.538462000000436,10.538462000000436,10.538462000000436,10.538462000000436,6,"[0.0007255000018631108, 1.0689374000030512, 0.15802550000080373, 0.12575550000110525, 0.15790190000188886, 0.14190849999795319]","[0.0001517000018793624, 0.00011870000162161887, 0.00012110000170650892, 0.04660209999929066, 0.0319655999992392, 0.031512500001554145]",4,"[0.00016870000035851263, 0.301521599998523, 0.1900891999976011, 0.19101470000168774]","[8.430000161752105e-05, 0.0483115999995789, 0.04796190000342904, 0.19101770000270335]",None,None,934169,001,2023-05-09_20h26.02.832,pb,2022.2.5,None,
9,0,9,0,10.729617799999687,10.729617799999687,10.729617799999687,10.729617799999687,10.729617799999687,10.729617799999687,6,"[0.0007255000018631108, 1.0689374000030512, 0.15802550000080373, 0.12575550000110525, 0.15790190000188886, 0.14190849999795319]","[0.0001517000018793624, 0.00011870000162161887, 0.00012110000170650892, 0.04660209999929066, 0.0319655999992392, 0.031512500001554145]",5,"[0.00016870000035851263, 0.301521599998523, 0.1900891999976011, 0.19101470000168774, 0.17535510000016075]","[8.430000161752105e-05, 0.0483115999995789, 0.04796190000342904, 0.03349270000035176, 0.1753582000019378]",None,None,934169,001,2023-05-09_20h26.02.832,pb,2022.2.5,None,
10,0,10,0,10.935525199998665,10.935525199998665,10.935525199998665,10.935525199998665,10.935525199998665,10.935525199998665,6,"[0.0007255000018631108, 1.0689374000030512, 0.15802550000080373, 0.12575550000110525, 0.15790190000188886, 0.14190849999795319]","[0.0001517000018793624, 0.00011870000162161887, 0.00012110000170650892, 0.04660209999929066, 0.0319655999992392, 0.031512500001554145]",6,"[0.00016870000035851263, 0.301521599998523, 0.1900891999976011, 0.19101470000168774, 0.17535510000016075, 0.15939630000139005]","[8.430000161752105e-05, 0.0483115999995789, 0.04796190000342904, 0.03349270000035176, 8.340000204043463e-05, 0.15939930000240565]",None,None,934169,001,2023-05-09_20h26.02.832,pb,2022.2.5,None,
11,0,11,0,11.108103800001118,11.108103800001118,11.108103800001118,11.108103800001118,11.108103800001118,11.108103800001118,6,"[0.0007255000018631108, 1.0689374000030512, 0.15802550000080373, 0.12575550000110525, 0.15790190000188886, 0.14190849999795319]","[0.0001517000018793624, 0.00011870000162161887, 0.00012110000170650892, 0.04660209999929066, 0.0319655999992392, 0.031512500001554145]",7,"[0.00016870000035851263, 0.301521599998523, 0.1900891999976011, 0.19101470000168774, 0.17535510000016075, 0.15939630000139005, 0.15786660000230768]","[8.430000161752105e-05, 0.0483115999995789, 0.04796190000342904, 0.03349270000035176, 8.340000204043463e-05, 0.047074699999939185, 0.15786960000332328]",None,None,934169,001,2023-05-09_20h26.02.832,pb,2022.2.5,None,
12,0,12,0,11.266788600001746,11.266788600001746,11.266788600001746,11.266788600001746,11.266788600001746,11.266788600001746,6,"[0.0007255000018631108, 1.0689374000030512, 0.15802550000080373, 0.12575550000110525, 0.15790190000188886, 0.14190849999795319]","[0.0001517000018793624, 0.00011870000162161887, 0.00012110000170650892, 0.04660209999929066, 0.0319655999992392, 0.031512500001554145]",8,"[0.00016870000035851263, 0.301521599998523, 0.1900891999976011, 0.19101470000168774, 0.17535510000016075, 0.15939630000139005, 0.15786660000230768, 0.1740962000003492]","[8.430000161752105e-05, 0.0483115999995789, 0.04796190000342904, 0.03349270000035176, 8.340000204043463e-05, 0.047074699999939185, 0.06365089999962947, 0.17409910000060336]",None,None,934169,001,2023-05-09_20h26.02.832,pb,2022.2.5,None,
