Condtion_Type,Slider_Type,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,categorical.started,text.started,categorical.response,categorical.rt,continuous.response,continuous.rt,continuous.started,participant,session,date,expName,psychopyVersion,frameRate,
2,1,0,0,0,11,6.550128900000004,6.550128900000004,5.0,3.395999800000027,None,None,,701519,001,2023-02-26_00h36.15.522,Start10,2023.1.0,239.9606464539718,
2,1,0,1,1,9,9.924412200000006,9.924412200000006,3.0,1.5792608000000428,None,None,,701519,001,2023-02-26_00h36.15.522,Start10,2023.1.0,239.9606464539718,
1,1,0,2,2,4,11.514445300000034,11.514445300000034,1.0,1.9309968000000026,None,None,,701519,001,2023-02-26_00h36.15.522,Start10,2023.1.0,239.9606464539718,
1,0,0,3,3,1,,13.454767199999992,None,None,3.8666666666666667,1.8185570000000553,13.454767199999992,701519,001,2023-02-26_00h36.15.522,Start10,2023.1.0,239.9606464539718,
2,1,0,4,4,10,15.287491300000056,15.287491300000056,2.0,1.1647887999999966,None,None,,701519,001,2023-02-26_00h36.15.522,Start10,2023.1.0,239.9606464539718,
2,0,0,5,5,6,,16.461805500000082,None,None,1.537037037037037,2.5474785999999767,16.461805500000082,701519,001,2023-02-26_00h36.15.522,Start10,2023.1.0,239.9606464539718,
1,1,0,6,6,5,19.022714600000086,19.022714600000086,1.0,2.234384900000009,None,None,,701519,001,2023-02-26_00h36.15.522,Start10,2023.1.0,239.9606464539718,
1,0,0,7,7,2,,21.267896199999996,None,None,3.862962962962963,0.5690389999999752,21.267896199999996,701519,001,2023-02-26_00h36.15.522,Start10,2023.1.0,239.9606464539718,
2,0,0,8,8,8,,21.850018200000022,None,None,2.1703703703703705,0.774053600000002,21.850018200000022,701519,001,2023-02-26_00h36.15.522,Start10,2023.1.0,239.9606464539718,
1,1,0,9,9,3,22.638726399999996,22.638726399999996,4.0,1.2360186999999314,None,None,,701519,001,2023-02-26_00h36.15.522,Start10,2023.1.0,239.9606464539718,
2,0,0,10,10,7,,23.883508900000038,None,None,2.3296296296296295,1.0244383000000425,23.883508900000038,701519,001,2023-02-26_00h36.15.522,Start10,2023.1.0,239.9606464539718,
1,0,0,11,11,0,,24.921331699999996,None,None,4.144444444444444,1.163750299999947,24.921331699999996,701519,001,2023-02-26_00h36.15.522,Start10,2023.1.0,239.9606464539718,
,,,,,,26.09918909999999,26.09918909999999,,,,,,,,,,,,
