1.5046 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
4.0412 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
4.3865 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002080FA81190>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002080FF476D0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.3866 	EXP 	window1: mouseVisible = True
4.3867 	EXP 	window1: mouseVisible = False
4.3867 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
4.3867 	EXP 	window1: recordFrameIntervals = False
4.4289 	EXP 	window1: recordFrameIntervals = True
4.4749 	EXP 	Screen (0) actual frame rate measured at 239.56Hz
4.4750 	EXP 	window1: recordFrameIntervals = False
6.1420 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([ 0. , -0.2]), rgb=UNKNOWN, text='asd', units='height', win=Window(...), wrapWidth=1)
6.1593 	EXP 	window1: mouseVisible = True
6.1593 	EXP 	window1: mouseVisible = True
6.1685 	EXP 	textbox: autoLog = True
6.1685 	EXP 	text: height = 0.05
6.1685 	EXP 	text: height = 0.05
6.1685 	EXP 	text: height = 0.05
6.1685 	EXP 	text: text = 0
6.1685 	EXP 	textbox: autoDraw = True
6.1685 	EXP 	text: autoDraw = True
6.1766 	EXP 	text: height = 0.05
6.1766 	EXP 	text: height = 0.05
6.1766 	EXP 	text: height = 0.05
6.1766 	EXP 	text: text = 0
6.1813 	EXP 	text: height = 0.05
6.1813 	EXP 	text: height = 0.05
6.1813 	EXP 	text: height = 0.05
6.1813 	EXP 	text: text = 0
6.1887 	EXP 	text: height = 0.05
6.1887 	EXP 	text: height = 0.05
6.1887 	EXP 	text: height = 0.05
6.1887 	EXP 	text: text = 0
6.1933 	EXP 	text: height = 0.05
6.1933 	EXP 	text: height = 0.05
6.1933 	EXP 	text: height = 0.05
6.1933 	EXP 	text: text = 0
6.2022 	EXP 	text: height = 0.05
6.2022 	EXP 	text: height = 0.05
6.2022 	EXP 	text: height = 0.05
6.2022 	EXP 	text: text = 0
6.2109 	EXP 	text: height = 0.05
6.2109 	EXP 	text: height = 0.05
6.2109 	EXP 	text: height = 0.05
6.2109 	EXP 	text: text = 0
6.2222 	EXP 	text: height = 0.05
6.2222 	EXP 	text: height = 0.05
6.2222 	EXP 	text: height = 0.05
6.2222 	EXP 	text: text = 0
6.2317 	EXP 	text: height = 0.05
6.2317 	EXP 	text: height = 0.05
6.2317 	EXP 	text: height = 0.05
6.2317 	EXP 	text: text = 0
6.2437 	EXP 	text: height = 0.05
6.2437 	EXP 	text: height = 0.05
6.2437 	EXP 	text: height = 0.05
6.2437 	EXP 	text: text = 0
6.2521 	EXP 	text: height = 0.05
6.2521 	EXP 	text: height = 0.05
6.2521 	EXP 	text: height = 0.05
6.2521 	EXP 	text: text = 0
6.2624 	EXP 	text: height = 0.05
6.2624 	EXP 	text: height = 0.05
6.2624 	EXP 	text: height = 0.05
6.2624 	EXP 	text: text = 0
6.2691 	EXP 	text: height = 0.05
6.2691 	EXP 	text: height = 0.05
6.2691 	EXP 	text: height = 0.05
6.2691 	EXP 	text: text = 0
6.2771 	EXP 	text: height = 0.05
6.2771 	EXP 	text: height = 0.05
6.2771 	EXP 	text: height = 0.05
6.2771 	EXP 	text: text = 0
6.2831 	EXP 	text: height = 0.05
6.2831 	EXP 	text: height = 0.05
6.2831 	EXP 	text: height = 0.05
6.2831 	EXP 	text: text = 0
6.2911 	EXP 	text: height = 0.05
6.2911 	EXP 	text: height = 0.05
6.2911 	EXP 	text: height = 0.05
6.2911 	EXP 	text: text = 0
6.2965 	EXP 	text: height = 0.05
6.2965 	EXP 	text: height = 0.05
6.2965 	EXP 	text: height = 0.05
6.2965 	EXP 	text: text = 0
6.3017 	EXP 	text: height = 0.05
6.3017 	EXP 	text: height = 0.05
6.3017 	EXP 	text: height = 0.05
6.3017 	EXP 	text: text = 0
6.3075 	EXP 	text: height = 0.05
6.3075 	EXP 	text: height = 0.05
6.3075 	EXP 	text: height = 0.05
6.3075 	EXP 	text: text = 0
6.3127 	EXP 	text: height = 0.05
6.3127 	EXP 	text: height = 0.05
6.3127 	EXP 	text: height = 0.05
6.3127 	EXP 	text: text = 0
6.3183 	EXP 	text: height = 0.05
6.3183 	EXP 	text: height = 0.05
6.3183 	EXP 	text: height = 0.05
6.3183 	EXP 	text: text = 0
6.3234 	EXP 	text: height = 0.05
6.3234 	EXP 	text: height = 0.05
6.3234 	EXP 	text: height = 0.05
6.3234 	EXP 	text: text = 0
6.3290 	EXP 	text: height = 0.05
6.3290 	EXP 	text: height = 0.05
6.3290 	EXP 	text: height = 0.05
6.3290 	EXP 	text: text = 0
6.3340 	EXP 	text: height = 0.05
6.3340 	EXP 	text: height = 0.05
6.3340 	EXP 	text: height = 0.05
6.3340 	EXP 	text: text = 0
6.3391 	EXP 	text: height = 0.05
6.3391 	EXP 	text: height = 0.05
6.3391 	EXP 	text: height = 0.05
6.3391 	EXP 	text: text = 0
6.3441 	EXP 	text: height = 0.05
6.3441 	EXP 	text: height = 0.05
6.3441 	EXP 	text: height = 0.05
6.3441 	EXP 	text: text = 0
6.3489 	EXP 	text: height = 0.05
6.3489 	EXP 	text: height = 0.05
6.3489 	EXP 	text: height = 0.05
6.3489 	EXP 	text: text = 0
6.3539 	EXP 	text: height = 0.05
6.3539 	EXP 	text: height = 0.05
6.3539 	EXP 	text: height = 0.05
6.3539 	EXP 	text: text = 0
6.3587 	EXP 	text: height = 0.05
6.3587 	EXP 	text: height = 0.05
6.3587 	EXP 	text: height = 0.05
6.3587 	EXP 	text: text = 0
6.3640 	EXP 	text: height = 0.05
6.3640 	EXP 	text: height = 0.05
6.3640 	EXP 	text: height = 0.05
6.3640 	EXP 	text: text = 0
6.3896 	EXP 	text: height = 0.05
6.3896 	EXP 	text: height = 0.05
6.3896 	EXP 	text: height = 0.05
6.3896 	EXP 	text: text = 0
6.3945 	EXP 	text: height = 0.05
6.3945 	EXP 	text: height = 0.05
6.3945 	EXP 	text: height = 0.05
6.3945 	EXP 	text: text = 0
6.4021 	EXP 	text: height = 0.05
6.4021 	EXP 	text: height = 0.05
6.4021 	EXP 	text: height = 0.05
6.4021 	EXP 	text: text = 0
6.4069 	EXP 	text: height = 0.05
6.4069 	EXP 	text: height = 0.05
6.4069 	EXP 	text: height = 0.05
6.4069 	EXP 	text: text = 0
6.4149 	EXP 	text: height = 0.05
6.4149 	EXP 	text: height = 0.05
6.4149 	EXP 	text: height = 0.05
6.4149 	EXP 	text: text = 0
6.4201 	EXP 	text: height = 0.05
6.4201 	EXP 	text: height = 0.05
6.4201 	EXP 	text: height = 0.05
6.4201 	EXP 	text: text = 0
6.4278 	EXP 	text: height = 0.05
6.4278 	EXP 	text: height = 0.05
6.4278 	EXP 	text: height = 0.05
6.4278 	EXP 	text: text = 0
6.4326 	EXP 	text: height = 0.05
6.4326 	EXP 	text: height = 0.05
6.4326 	EXP 	text: height = 0.05
6.4326 	EXP 	text: text = 0
6.4400 	EXP 	text: height = 0.05
6.4400 	EXP 	text: height = 0.05
6.4400 	EXP 	text: height = 0.05
6.4400 	EXP 	text: text = 0
6.4457 	EXP 	text: height = 0.05
6.4457 	EXP 	text: height = 0.05
6.4457 	EXP 	text: height = 0.05
6.4457 	EXP 	text: text = 0
6.4533 	EXP 	text: height = 0.05
6.4533 	EXP 	text: height = 0.05
6.4533 	EXP 	text: height = 0.05
6.4533 	EXP 	text: text = 0
6.4582 	EXP 	text: height = 0.05
6.4582 	EXP 	text: height = 0.05
