1.5114 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
3.9461 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
4.2812 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000210A35630D0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000210A3A74640>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.2812 	EXP 	window1: mouseVisible = True
4.2813 	EXP 	window1: mouseVisible = False
4.2813 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
4.2813 	EXP 	window1: recordFrameIntervals = False
4.3226 	EXP 	window1: recordFrameIntervals = True
4.3696 	EXP 	Screen (0) actual frame rate measured at 233.29Hz
4.3697 	EXP 	window1: recordFrameIntervals = False
6.0385 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([ 0. , -0.2]), rgb=UNKNOWN, text='asd', units='height', win=Window(...), wrapWidth=1)
6.0536 	EXP 	window1: mouseVisible = True
6.0538 	EXP 	window1: mouseVisible = True
6.0626 	EXP 	Created warning = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([ 1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=-5.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='warning', opacity=1.0, ori=0.0, pos=array([ 0.  , -0.45]), rgb=UNKNOWN, text='Please type up to 5 words.', units='height', win=Window(...), wrapWidth=1)
6.0707 	EXP 	textbox: autoLog = True
6.0707 	EXP 	text: height = 0.05
6.0707 	EXP 	text: height = 0.05
6.0707 	EXP 	text: height = 0.05
6.0707 	EXP 	text: text = 0
6.0707 	EXP 	textbox: autoDraw = True
6.0707 	EXP 	text: autoDraw = True
6.0781 	EXP 	text: height = 0.05
6.0781 	EXP 	text: height = 0.05
6.0781 	EXP 	text: height = 0.05
6.0781 	EXP 	text: text = 0
6.0823 	EXP 	text: height = 0.05
6.0823 	EXP 	text: height = 0.05
6.0823 	EXP 	text: height = 0.05
6.0823 	EXP 	text: text = 0
6.0899 	EXP 	text: height = 0.05
6.0899 	EXP 	text: height = 0.05
6.0899 	EXP 	text: height = 0.05
6.0899 	EXP 	text: text = 0
6.0944 	EXP 	text: height = 0.05
6.0944 	EXP 	text: height = 0.05
6.0944 	EXP 	text: height = 0.05
6.0944 	EXP 	text: text = 0
6.1020 	EXP 	text: height = 0.05
6.1020 	EXP 	text: height = 0.05
6.1020 	EXP 	text: height = 0.05
6.1020 	EXP 	text: text = 0
6.1066 	EXP 	text: height = 0.05
6.1066 	EXP 	text: height = 0.05
6.1066 	EXP 	text: height = 0.05
6.1066 	EXP 	text: text = 0
6.1147 	EXP 	text: height = 0.05
6.1147 	EXP 	text: height = 0.05
6.1147 	EXP 	text: height = 0.05
6.1147 	EXP 	text: text = 0
6.1196 	EXP 	text: height = 0.05
6.1196 	EXP 	text: height = 0.05
6.1196 	EXP 	text: height = 0.05
6.1196 	EXP 	text: text = 0
6.1275 	EXP 	text: height = 0.05
6.1275 	EXP 	text: height = 0.05
6.1275 	EXP 	text: height = 0.05
6.1275 	EXP 	text: text = 0
6.1325 	EXP 	text: height = 0.05
6.1325 	EXP 	text: height = 0.05
6.1325 	EXP 	text: height = 0.05
6.1325 	EXP 	text: text = 0
6.1406 	EXP 	text: height = 0.05
6.1406 	EXP 	text: height = 0.05
6.1406 	EXP 	text: height = 0.05
6.1406 	EXP 	text: text = 0
6.1467 	EXP 	text: height = 0.05
6.1467 	EXP 	text: height = 0.05
6.1467 	EXP 	text: height = 0.05
6.1467 	EXP 	text: text = 0
6.1542 	EXP 	text: height = 0.05
6.1542 	EXP 	text: height = 0.05
6.1542 	EXP 	text: height = 0.05
6.1542 	EXP 	text: text = 0
6.1590 	EXP 	text: height = 0.05
6.1590 	EXP 	text: height = 0.05
6.1590 	EXP 	text: height = 0.05
6.1590 	EXP 	text: text = 0
6.1664 	EXP 	text: height = 0.05
6.1664 	EXP 	text: height = 0.05
6.1664 	EXP 	text: height = 0.05
6.1664 	EXP 	text: text = 0
6.1711 	EXP 	text: height = 0.05
6.1711 	EXP 	text: height = 0.05
6.1711 	EXP 	text: height = 0.05
6.1711 	EXP 	text: text = 0
6.1787 	EXP 	text: height = 0.05
6.1787 	EXP 	text: height = 0.05
6.1787 	EXP 	text: height = 0.05
6.1787 	EXP 	text: text = 0
6.1833 	EXP 	text: height = 0.05
6.1833 	EXP 	text: height = 0.05
6.1833 	EXP 	text: height = 0.05
6.1833 	EXP 	text: text = 0
6.1907 	EXP 	text: height = 0.05
6.1907 	EXP 	text: height = 0.05
6.1907 	EXP 	text: height = 0.05
6.1907 	EXP 	text: text = 0
6.1954 	EXP 	text: height = 0.05
6.1954 	EXP 	text: height = 0.05
6.1954 	EXP 	text: height = 0.05
6.1954 	EXP 	text: text = 0
6.2029 	EXP 	text: height = 0.05
6.2029 	EXP 	text: height = 0.05
6.2029 	EXP 	text: height = 0.05
6.2029 	EXP 	text: text = 0
6.2074 	EXP 	text: height = 0.05
6.2074 	EXP 	text: height = 0.05
6.2074 	EXP 	text: height = 0.05
6.2074 	EXP 	text: text = 0
6.2157 	EXP 	text: height = 0.05
6.2157 	EXP 	text: height = 0.05
6.2157 	EXP 	text: height = 0.05
6.2157 	EXP 	text: text = 0
6.2202 	EXP 	text: height = 0.05
6.2202 	EXP 	text: height = 0.05
6.2202 	EXP 	text: height = 0.05
6.2202 	EXP 	text: text = 0
6.2275 	EXP 	text: height = 0.05
6.2275 	EXP 	text: height = 0.05
6.2275 	EXP 	text: height = 0.05
6.2275 	EXP 	text: text = 0
6.2318 	EXP 	text: height = 0.05
6.2318 	EXP 	text: height = 0.05
6.2318 	EXP 	text: height = 0.05
6.2318 	EXP 	text: text = 0
6.2402 	EXP 	text: height = 0.05
6.2402 	EXP 	text: height = 0.05
6.2402 	EXP 	text: height = 0.05
6.2402 	EXP 	text: text = 0
6.2454 	EXP 	text: height = 0.05
6.2454 	EXP 	text: height = 0.05
6.2454 	EXP 	text: height = 0.05
6.2454 	EXP 	text: text = 0
6.2518 	EXP 	text: height = 0.05
6.2518 	EXP 	text: height = 0.05
6.2518 	EXP 	text: height = 0.05
6.2518 	EXP 	text: text = 0
6.2561 	EXP 	text: height = 0.05
6.2561 	EXP 	text: height = 0.05
6.2561 	EXP 	text: height = 0.05
6.2561 	EXP 	text: text = 0
6.2620 	EXP 	text: height = 0.05
6.2620 	EXP 	text: height = 0.05
6.2620 	EXP 	text: height = 0.05
6.2620 	EXP 	text: text = 0
6.2663 	EXP 	text: height = 0.05
6.2663 	EXP 	text: height = 0.05
6.2663 	EXP 	text: height = 0.05
6.2663 	EXP 	text: text = 0
6.2724 	EXP 	text: height = 0.05
6.2724 	EXP 	text: height = 0.05
6.2724 	EXP 	text: height = 0.05
6.2724 	EXP 	text: text = 0
6.2777 	EXP 	text: height = 0.05
6.2777 	EXP 	text: height = 0.05
6.2777 	EXP 	text: height = 0.05
6.2777 	EXP 	text: text = 0
6.2818 	EXP 	text: height = 0.05
6.2818 	EXP 	text: height = 0.05
6.2818 	EXP 	text: height = 0.05
6.2818 	EXP 	text: text = 0
6.2860 	EXP 	text: height = 0.05
6.2860 	EXP 	text: height = 0.05
6.2860 	EXP 	text: height = 0.05
6.2860 	EXP 	text: text = 0
6.2906 	EXP 	text: height = 0.05
6.2906 	EXP 	text: height = 0.05
6.2906 	EXP 	text: height = 0.05
6.2906 	EXP 	text: text = 0
6.2952 	EXP 	text: height = 0.05
6.2952 	EXP 	text: height = 0.05
6.2952 	EXP 	text: height = 0.05
6.2952 	EXP 	text: text = 0
6.2996 	EXP 	text: height = 0.05
6.2996 	EXP 	text: height = 0.05
6.2996 	EXP 	text: height = 0.05
6.2996 	EXP 	text: text = 0
6.3039 	EXP 	text: height = 0.05
6.3039 	EXP 	text: height = 0.05
6.3039 	EXP 	text: height = 0.05
6.3039 	EXP 	text: text = 0
6.3086 	EXP 	text: height = 0.05
6.3086 	EXP 	text: height = 0.05
6.3086 	EXP 	text: height = 0.05
6.3086 	EXP 	text: text = 0
6.3128 	EXP 	text: height = 0.05
6.3128 	EXP 	text: height = 0.05
6.3128 	EXP 	text: height = 0.05
6.3128 	EXP 	text: text = 0
6.3175 	EXP 	text: height = 0.05
6.3175 	EXP 	text: height = 0.05
6.3175 	EXP 	text: height = 0.05
6.3175 	EXP 	text: text = 0
6.3217 	EXP 	text: height = 0.05
6.3217 	EXP 	text: height = 0.05
6.3217 	EXP 	text: height = 0.05
6.3217 	EXP 	text: text = 0
6.3258 	EXP 	text: height = 0.05
6.3258 	EXP 	text: height = 0.05
6.3258 	EXP 	text: height = 0.05
6.3258 	EXP 	text: text = 0
6.3300 	EXP 	text: height = 0.05
6.3300 	EXP 	text: height = 0.05
6.3300 	EXP 	text: height = 0.05
6.3300 	EXP 	text: text = 0
6.3342 	EXP 	text: height = 0.05
6.3342 	EXP 	text: height = 0.05
6.3342 	EXP 	text: height = 0.05
6.3342 	EXP 	text: text = 0
6.3384 	EXP 	text: height = 0.05
6.3384 	EXP 	text: height = 0.05
