1.5548 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
4.1763 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
4.5170 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000027F9D232130>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000027F9D5846A0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.5171 	EXP 	window1: mouseVisible = True
4.5171 	EXP 	window1: mouseVisible = False
4.5172 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
4.5172 	EXP 	window1: recordFrameIntervals = False
4.5597 	EXP 	window1: recordFrameIntervals = True
4.6056 	EXP 	Screen (0) actual frame rate measured at 238.37Hz
4.6057 	EXP 	window1: recordFrameIntervals = False
6.2738 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([ 0. , -0.2]), rgb=UNKNOWN, text='asd', units='height', win=Window(...), wrapWidth=1)
6.2911 	EXP 	window1: mouseVisible = True
6.2912 	EXP 	window1: mouseVisible = True
6.2992 	EXP 	textbox: autoLog = True
6.2992 	EXP 	text: height = 0.05
6.2992 	EXP 	text: height = 0.05
6.2992 	EXP 	text: height = 0.05
6.2992 	EXP 	text: text = 0
6.2992 	EXP 	textbox: autoDraw = True
6.2992 	EXP 	text: autoDraw = True
6.3065 	EXP 	text: height = 0.05
6.3065 	EXP 	text: height = 0.05
6.3065 	EXP 	text: height = 0.05
6.3065 	EXP 	text: text = 0
6.3111 	EXP 	text: height = 0.05
6.3111 	EXP 	text: height = 0.05
6.3111 	EXP 	text: height = 0.05
6.3111 	EXP 	text: text = 0
6.3186 	EXP 	text: height = 0.05
6.3186 	EXP 	text: height = 0.05
6.3186 	EXP 	text: height = 0.05
6.3186 	EXP 	text: text = 0
6.3232 	EXP 	text: height = 0.05
6.3232 	EXP 	text: height = 0.05
6.3232 	EXP 	text: height = 0.05
6.3232 	EXP 	text: text = 0
6.3306 	EXP 	text: height = 0.05
6.3306 	EXP 	text: height = 0.05
6.3306 	EXP 	text: height = 0.05
6.3306 	EXP 	text: text = 0
6.3348 	EXP 	text: height = 0.05
6.3348 	EXP 	text: height = 0.05
6.3348 	EXP 	text: height = 0.05
6.3348 	EXP 	text: text = 0
6.3421 	EXP 	text: height = 0.05
6.3421 	EXP 	text: height = 0.05
