1.5051 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
6.1928 	EXP 	text_2: text = 0
6.1970 	EXP 	text_2: height = 0.05
6.1970 	EXP 	text_2: height = 0.05
6.1970 	EXP 	text_2: height = 0.05
6.1970 	EXP 	text_2: text = 0
6.2021 	EXP 	text_2: height = 0.05
6.2021 	EXP 	text_2: height = 0.05
6.2021 	EXP 	text_2: height = 0.05
6.2021 	EXP 	text_2: text = 0
6.2062 	EXP 	text_2: height = 0.05
6.2062 	EXP 	text_2: height = 0.05
6.2062 	EXP 	text_2: height = 0.05
6.2062 	EXP 	text_2: text = 0
6.2106 	EXP 	text_2: height = 0.05
6.2106 	EXP 	text_2: height = 0.05
6.2106 	EXP 	text_2: height = 0.05
6.2106 	EXP 	text_2: text = 0
6.2148 	EXP 	text_2: height = 0.05
6.2148 	EXP 	text_2: height = 0.05
6.2148 	EXP 	text_2: height = 0.05
6.2148 	EXP 	text_2: text = 0
6.2194 	EXP 	text_2: height = 0.05
6.2194 	EXP 	text_2: height = 0.05
6.2194 	EXP 	text_2: height = 0.05
6.2194 	EXP 	text_2: text = 0
6.2235 	EXP 	text_2: height = 0.05
6.2235 	EXP 	text_2: height = 0.05
6.2235 	EXP 	text_2: height = 0.05
6.2235 	EXP 	text_2: text = 0
6.2277 	EXP 	text_2: height = 0.05
6.2277 	EXP 	text_2: height = 0.05
6.2277 	EXP 	text_2: height = 0.05
6.2277 	EXP 	text_2: text = 0
6.2323 	EXP 	text_2: height = 0.05
6.2323 	EXP 	text_2: height = 0.05
6.2323 	EXP 	text_2: height = 0.05
6.2323 	EXP 	text_2: text = 0
6.2368 	EXP 	text_2: height = 0.05
6.2368 	EXP 	text_2: height = 0.05
6.2368 	EXP 	text_2: height = 0.05
6.2368 	EXP 	text_2: text = 0
6.2406 	EXP 	text_2: height = 0.05
6.2406 	EXP 	text_2: height = 0.05
6.2406 	EXP 	text_2: height = 0.05
6.2406 	EXP 	text_2: text = 0
6.2447 	EXP 	text_2: height = 0.05
6.2447 	EXP 	text_2: height = 0.05
6.2447 	EXP 	text_2: height = 0.05
6.2447 	EXP 	text_2: text = 0
6.2489 	EXP 	text_2: height = 0.05
6.2489 	EXP 	text_2: height = 0.05
6.2489 	EXP 	text_2: height = 0.05
6.2489 	EXP 	text_2: text = 0
6.2531 	EXP 	text_2: height = 0.05
6.2531 	EXP 	text_2: height = 0.05
6.2531 	EXP 	text_2: height = 0.05
6.2531 	EXP 	text_2: text = 0
6.2572 	EXP 	text_2: height = 0.05
6.2572 	EXP 	text_2: height = 0.05
6.2572 	EXP 	text_2: height = 0.05
6.2572 	EXP 	text_2: text = 0
6.2614 	EXP 	text_2: height = 0.05
6.2614 	EXP 	text_2: height = 0.05
6.2614 	EXP 	text_2: height = 0.05
6.2614 	EXP 	text_2: text = 0
6.2656 	EXP 	text_2: height = 0.05
6.2656 	EXP 	text_2: height = 0.05
6.2656 	EXP 	text_2: height = 0.05
6.2656 	EXP 	text_2: text = 0
6.2697 	EXP 	text_2: height = 0.05
6.2697 	EXP 	text_2: height = 0.05
6.2697 	EXP 	text_2: height = 0.05
6.2697 	EXP 	text_2: text = 0
6.2739 	EXP 	text_2: height = 0.05
6.2739 	EXP 	text_2: height = 0.05
6.2739 	EXP 	text_2: height = 0.05
6.2739 	EXP 	text_2: text = 0
6.2783 	EXP 	text_2: height = 0.05
