1.5358 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
4.3563 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
4.7112 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000211A6C61160>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000211A71276D0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.7112 	EXP 	window1: mouseVisible = True
4.7113 	EXP 	window1: mouseVisible = False
4.7113 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
4.7113 	EXP 	window1: recordFrameIntervals = False
4.7528 	EXP 	window1: recordFrameIntervals = True
4.7988 	EXP 	Screen (0) actual frame rate measured at 240.27Hz
4.7988 	EXP 	window1: recordFrameIntervals = False
6.4668 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([ 0. , -0.2]), rgb=UNKNOWN, text='asd', units='height', win=Window(...), wrapWidth=1)
6.4813 	EXP 	window1: mouseVisible = True
6.4813 	EXP 	window1: mouseVisible = True
6.4904 	EXP 	Created warning = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([ 1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=-5.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='warning', opacity=1.0, ori=0.0, pos=array([ 0.  , -0.45]), rgb=UNKNOWN, text='Please type up to 5 words.', units='height', win=Window(...), wrapWidth=1)
6.4985 	EXP 	textbox: autoLog = True
6.4985 	EXP 	text: height = 0.05
6.4985 	EXP 	text: height = 0.05
6.4985 	EXP 	text: height = 0.05
6.4985 	EXP 	text: text = 0
6.4985 	EXP 	textbox: autoDraw = True
6.4985 	EXP 	text: autoDraw = True
6.4985 	EXP 	warning: autoDraw = True
6.5062 	EXP 	text: height = 0.05
6.5062 	EXP 	text: height = 0.05
6.5062 	EXP 	text: height = 0.05
6.5062 	EXP 	text: text = 0
6.5109 	EXP 	text: height = 0.05
6.5109 	EXP 	text: height = 0.05
6.5109 	EXP 	text: height = 0.05
6.5109 	EXP 	text: text = 0
6.5191 	EXP 	text: height = 0.05
6.5191 	EXP 	text: height = 0.05
6.5191 	EXP 	text: height = 0.05
6.5191 	EXP 	text: text = 0
6.5240 	EXP 	text: height = 0.05
6.5240 	EXP 	text: height = 0.05
6.5240 	EXP 	text: height = 0.05
6.5240 	EXP 	text: text = 0
6.5319 	EXP 	text: height = 0.05
6.5319 	EXP 	text: height = 0.05
6.5319 	EXP 	text: height = 0.05
6.5319 	EXP 	text: text = 0
6.5369 	EXP 	text: height = 0.05
6.5369 	EXP 	text: height = 0.05
6.5369 	EXP 	text: height = 0.05
6.5369 	EXP 	text: text = 0
6.5451 	EXP 	text: height = 0.05
6.5451 	EXP 	text: height = 0.05
6.5451 	EXP 	text: height = 0.05
6.5451 	EXP 	text: text = 0
6.5503 	EXP 	text: height = 0.05
6.5503 	EXP 	text: height = 0.05
6.5503 	EXP 	text: height = 0.05
6.5503 	EXP 	text: text = 0
6.5581 	EXP 	text: height = 0.05
6.5581 	EXP 	text: height = 0.05
6.5581 	EXP 	text: height = 0.05
6.5581 	EXP 	text: text = 0
6.5636 	EXP 	text: height = 0.05
6.5636 	EXP 	text: height = 0.05
6.5636 	EXP 	text: height = 0.05
6.5636 	EXP 	text: text = 0
6.5714 	EXP 	text: height = 0.05
6.5714 	EXP 	text: height = 0.05
6.5714 	EXP 	text: height = 0.05
6.5714 	EXP 	text: text = 0
6.5782 	EXP 	text: height = 0.05
6.5782 	EXP 	text: height = 0.05
6.5782 	EXP 	text: height = 0.05
6.5782 	EXP 	text: text = 0
6.5860 	EXP 	text: height = 0.05
6.5860 	EXP 	text: height = 0.05
6.5860 	EXP 	text: height = 0.05
6.5860 	EXP 	text: text = 0
6.5911 	EXP 	text: height = 0.05
6.5911 	EXP 	text: height = 0.05
6.5911 	EXP 	text: height = 0.05
6.5911 	EXP 	text: text = 0
6.5989 	EXP 	text: height = 0.05
6.5989 	EXP 	text: height = 0.05
6.5989 	EXP 	text: height = 0.05
6.5989 	EXP 	text: text = 0
6.6033 	EXP 	text: height = 0.05
6.6033 	EXP 	text: height = 0.05
6.6033 	EXP 	text: height = 0.05
6.6033 	EXP 	text: text = 0
6.6097 	EXP 	text: height = 0.05
6.6097 	EXP 	text: height = 0.05
6.6097 	EXP 	text: height = 0.05
6.6097 	EXP 	text: text = 0
6.6149 	EXP 	text: height = 0.05
6.6149 	EXP 	text: height = 0.05
6.6149 	EXP 	text: height = 0.05
6.6149 	EXP 	text: text = 0
6.6201 	EXP 	text: height = 0.05
6.6201 	EXP 	text: height = 0.05
6.6201 	EXP 	text: height = 0.05
6.6201 	EXP 	text: text = 0
6.6246 	EXP 	text: height = 0.05
6.6246 	EXP 	text: height = 0.05
6.6246 	EXP 	text: height = 0.05
6.6246 	EXP 	text: text = 0
6.6298 	EXP 	text: height = 0.05
6.6298 	EXP 	text: height = 0.05
6.6298 	EXP 	text: height = 0.05
6.6298 	EXP 	text: text = 0
6.6341 	EXP 	text: height = 0.05
6.6341 	EXP 	text: height = 0.05
6.6341 	EXP 	text: height = 0.05
6.6341 	EXP 	text: text = 0
6.6399 	EXP 	text: height = 0.05
6.6399 	EXP 	text: height = 0.05
