1.5160 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
4.3002 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
4.6491 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002D6BBC02130>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002D6BC0A2670>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.6492 	EXP 	window1: mouseVisible = True
4.6492 	EXP 	window1: mouseVisible = False
4.6493 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
4.6493 	EXP 	window1: recordFrameIntervals = False
4.6906 	EXP 	window1: recordFrameIntervals = True
4.7367 	EXP 	Screen (0) actual frame rate measured at 239.62Hz
4.7368 	EXP 	window1: recordFrameIntervals = False
6.4033 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([ 0. , -0.2]), rgb=UNKNOWN, text='asd', units='height', win=Window(...), wrapWidth=1)
6.4211 	EXP 	window1: mouseVisible = True
6.4211 	EXP 	window1: mouseVisible = True
6.4304 	EXP 	Created warning = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([ 1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=-5.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='warning', opacity=1.0, ori=0.0, pos=array([ 0.  , -0.45]), rgb=UNKNOWN, text='Please type up to 5 words.', units='height', win=Window(...), wrapWidth=1)
6.4381 	EXP 	textbox: autoLog = True
6.4381 	EXP 	text: height = 0.05
6.4381 	EXP 	text: height = 0.05
6.4381 	EXP 	text: height = 0.05
6.4381 	EXP 	text: text = 0
6.4381 	EXP 	textbox: autoDraw = True
6.4381 	EXP 	text: autoDraw = True
6.4456 	EXP 	text: height = 0.05
6.4456 	EXP 	text: height = 0.05
6.4456 	EXP 	text: height = 0.05
6.4456 	EXP 	text: text = 0
6.4505 	EXP 	text: height = 0.05
6.4505 	EXP 	text: height = 0.05
6.4505 	EXP 	text: height = 0.05
6.4505 	EXP 	text: text = 0
6.4583 	EXP 	text: height = 0.05
6.4583 	EXP 	text: height = 0.05
6.4583 	EXP 	text: height = 0.05
6.4583 	EXP 	text: text = 0
6.4638 	EXP 	text: height = 0.05
6.4638 	EXP 	text: height = 0.05
6.4638 	EXP 	text: height = 0.05
6.4638 	EXP 	text: text = 0
6.4719 	EXP 	text: height = 0.05
6.4719 	EXP 	text: height = 0.05
6.4719 	EXP 	text: height = 0.05
6.4719 	EXP 	text: text = 0
6.4771 	EXP 	text: height = 0.05
6.4771 	EXP 	text: height = 0.05
6.4771 	EXP 	text: height = 0.05
6.4771 	EXP 	text: text = 0
6.4851 	EXP 	text: height = 0.05
6.4851 	EXP 	text: height = 0.05
6.4851 	EXP 	text: height = 0.05
6.4851 	EXP 	text: text = 0
6.4896 	EXP 	text: height = 0.05
6.4896 	EXP 	text: height = 0.05
6.4896 	EXP 	text: height = 0.05
6.4896 	EXP 	text: text = 0
6.4975 	EXP 	text: height = 0.05
6.4975 	EXP 	text: height = 0.05
6.4975 	EXP 	text: height = 0.05
6.4975 	EXP 	text: text = 0
6.5029 	EXP 	text: height = 0.05
6.5029 	EXP 	text: height = 0.05
6.5029 	EXP 	text: height = 0.05
6.5029 	EXP 	text: text = 0
6.5096 	EXP 	text: height = 0.05
6.5096 	EXP 	text: height = 0.05
6.5096 	EXP 	text: height = 0.05
6.5096 	EXP 	text: text = 0
6.5148 	EXP 	text: height = 0.05
6.5148 	EXP 	text: height = 0.05
6.5148 	EXP 	text: height = 0.05
6.5148 	EXP 	text: text = 0
6.5214 	EXP 	text: height = 0.05
6.5214 	EXP 	text: height = 0.05
6.5214 	EXP 	text: height = 0.05
6.5214 	EXP 	text: text = 0
6.5265 	EXP 	text: height = 0.05
6.5265 	EXP 	text: height = 0.05
6.5265 	EXP 	text: height = 0.05
6.5265 	EXP 	text: text = 0
6.5316 	EXP 	text: height = 0.05
6.5316 	EXP 	text: height = 0.05
6.5316 	EXP 	text: height = 0.05
6.5316 	EXP 	text: text = 0
6.5361 	EXP 	text: height = 0.05
6.5361 	EXP 	text: height = 0.05
6.5361 	EXP 	text: height = 0.05
6.5361 	EXP 	text: text = 0
6.5406 	EXP 	text: height = 0.05
6.5406 	EXP 	text: height = 0.05
6.5406 	EXP 	text: height = 0.05
6.5406 	EXP 	text: text = 0
6.5454 	EXP 	text: height = 0.05
6.5454 	EXP 	text: height = 0.05
6.5454 	EXP 	text: height = 0.05
6.5454 	EXP 	text: text = 0
6.5502 	EXP 	text: height = 0.05
6.5502 	EXP 	text: height = 0.05
6.5502 	EXP 	text: height = 0.05
6.5502 	EXP 	text: text = 0
6.5548 	EXP 	text: height = 0.05
6.5548 	EXP 	text: height = 0.05
6.5548 	EXP 	text: height = 0.05
6.5548 	EXP 	text: text = 0
6.5606 	EXP 	text: height = 0.05
6.5606 	EXP 	text: height = 0.05
6.5606 	EXP 	text: height = 0.05
6.5606 	EXP 	text: text = 0
6.5659 	EXP 	text: height = 0.05
6.5659 	EXP 	text: height = 0.05
6.5659 	EXP 	text: height = 0.05
6.5659 	EXP 	text: text = 0
6.5715 	EXP 	text: height = 0.05
6.5715 	EXP 	text: height = 0.05
6.5715 	EXP 	text: height = 0.05
6.5715 	EXP 	text: text = 0
6.5759 	EXP 	text: height = 0.05
6.5759 	EXP 	text: height = 0.05
6.5759 	EXP 	text: height = 0.05
6.5759 	EXP 	text: text = 0
6.5807 	EXP 	text: height = 0.05
6.5807 	EXP 	text: height = 0.05
6.5807 	EXP 	text: height = 0.05
6.5807 	EXP 	text: text = 0
6.5853 	EXP 	text: height = 0.05
6.5853 	EXP 	text: height = 0.05
6.5853 	EXP 	text: height = 0.05
6.5853 	EXP 	text: text = 0
6.5903 	EXP 	text: height = 0.05
6.5903 	EXP 	text: height = 0.05
6.5903 	EXP 	text: height = 0.05
6.5903 	EXP 	text: text = 0
6.5951 	EXP 	text: height = 0.05
6.5951 	EXP 	text: height = 0.05
6.5951 	EXP 	text: height = 0.05
6.5951 	EXP 	text: text = 0
6.5997 	EXP 	text: height = 0.05
6.5997 	EXP 	text: height = 0.05
6.5997 	EXP 	text: height = 0.05
6.5997 	EXP 	text: text = 0
6.6039 	EXP 	text: height = 0.05
6.6039 	EXP 	text: height = 0.05
6.6039 	EXP 	text: height = 0.05
6.6039 	EXP 	text: text = 0
6.6083 	EXP 	text: height = 0.05
6.6083 	EXP 	text: height = 0.05
