1.5018 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
4.2978 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
4.6696 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000026086252130>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000026086715700>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.6699 	EXP 	window1: mouseVisible = True
4.6701 	EXP 	window1: mouseVisible = False
4.6701 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
4.6701 	EXP 	window1: recordFrameIntervals = False
4.7114 	EXP 	window1: recordFrameIntervals = True
4.7375 	WARNING 	t of last frame was 5.28ms (=1/189)
4.7581 	EXP 	Screen (0) actual frame rate measured at 235.55Hz
4.7582 	EXP 	window1: recordFrameIntervals = False
6.4250 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([ 0. , -0.2]), rgb=UNKNOWN, text='asd', units='height', win=Window(...), wrapWidth=1)
6.4436 	EXP 	window1: mouseVisible = True
6.4437 	EXP 	window1: mouseVisible = True
6.4519 	EXP 	textbox: autoLog = True
6.4519 	EXP 	text: height = 0.05
6.4519 	EXP 	text: height = 0.05
6.4519 	EXP 	text: height = 0.05
6.4519 	EXP 	text: text = 0
6.4519 	EXP 	textbox: autoDraw = True
6.4519 	EXP 	text: autoDraw = True
6.4594 	EXP 	text: height = 0.05
6.4594 	EXP 	text: height = 0.05
6.4594 	EXP 	text: height = 0.05
6.4594 	EXP 	text: text = 0
6.4648 	EXP 	text: height = 0.05
6.4648 	EXP 	text: height = 0.05
6.4648 	EXP 	text: height = 0.05
6.4648 	EXP 	text: text = 0
6.4730 	EXP 	text: height = 0.05
6.4730 	EXP 	text: height = 0.05
6.4730 	EXP 	text: height = 0.05
6.4730 	EXP 	text: text = 0
6.4779 	EXP 	text: height = 0.05
6.4779 	EXP 	text: height = 0.05
6.4779 	EXP 	text: height = 0.05
6.4779 	EXP 	text: text = 0
6.4854 	EXP 	text: height = 0.05
6.4854 	EXP 	text: height = 0.05
6.4854 	EXP 	text: height = 0.05
6.4854 	EXP 	text: text = 0
6.4898 	EXP 	text: height = 0.05
6.4898 	EXP 	text: height = 0.05
6.4898 	EXP 	text: height = 0.05
6.4898 	EXP 	text: text = 0
6.4972 	EXP 	text: height = 0.05
6.4972 	EXP 	text: height = 0.05
6.4972 	EXP 	text: height = 0.05
6.4972 	EXP 	text: text = 0
6.5018 	EXP 	text: height = 0.05
6.5018 	EXP 	text: height = 0.05
6.5018 	EXP 	text: height = 0.05
6.5018 	EXP 	text: text = 0
6.5103 	EXP 	text: height = 0.05
6.5103 	EXP 	text: height = 0.05
6.5103 	EXP 	text: height = 0.05
6.5103 	EXP 	text: text = 0
6.5157 	EXP 	text: height = 0.05
6.5157 	EXP 	text: height = 0.05
6.5157 	EXP 	text: height = 0.05
6.5157 	EXP 	text: text = 0
6.5221 	EXP 	text: height = 0.05
6.5221 	EXP 	text: height = 0.05
6.5221 	EXP 	text: height = 0.05
6.5221 	EXP 	text: text = 0
6.5265 	EXP 	text: height = 0.05
6.5265 	EXP 	text: height = 0.05
6.5265 	EXP 	text: height = 0.05
6.5265 	EXP 	text: text = 0
6.5319 	EXP 	text: height = 0.05
6.5319 	EXP 	text: height = 0.05
6.5319 	EXP 	text: height = 0.05
6.5319 	EXP 	text: text = 0
6.5363 	EXP 	text: height = 0.05
6.5363 	EXP 	text: height = 0.05
6.5363 	EXP 	text: height = 0.05
6.5363 	EXP 	text: text = 0
6.5416 	EXP 	text: height = 0.05
6.5416 	EXP 	text: height = 0.05
6.5416 	EXP 	text: height = 0.05
6.5416 	EXP 	text: text = 0
6.5466 	EXP 	text: height = 0.05
6.5466 	EXP 	text: height = 0.05
6.5466 	EXP 	text: height = 0.05
6.5466 	EXP 	text: text = 0
6.5518 	EXP 	text: height = 0.05
6.5518 	EXP 	text: height = 0.05
6.5518 	EXP 	text: height = 0.05
6.5518 	EXP 	text: text = 0
6.5574 	EXP 	text: height = 0.05
6.5574 	EXP 	text: height = 0.05
6.5574 	EXP 	text: height = 0.05
6.5574 	EXP 	text: text = 0
6.5622 	EXP 	text: height = 0.05
6.5622 	EXP 	text: height = 0.05
6.5622 	EXP 	text: height = 0.05
6.5622 	EXP 	text: text = 0
6.5669 	EXP 	text: height = 0.05
6.5669 	EXP 	text: height = 0.05
6.5669 	EXP 	text: height = 0.05
6.5669 	EXP 	text: text = 0
6.5712 	EXP 	text: height = 0.05
6.5712 	EXP 	text: height = 0.05
6.5712 	EXP 	text: height = 0.05
6.5712 	EXP 	text: text = 0
6.5759 	EXP 	text: height = 0.05
6.5759 	EXP 	text: height = 0.05
6.5759 	EXP 	text: height = 0.05
6.5759 	EXP 	text: text = 0
6.5805 	EXP 	text: height = 0.05
6.5805 	EXP 	text: height = 0.05
6.5805 	EXP 	text: height = 0.05
6.5805 	EXP 	text: text = 0
6.5853 	EXP 	text: height = 0.05
6.5853 	EXP 	text: height = 0.05
6.5853 	EXP 	text: height = 0.05
6.5853 	EXP 	text: text = 0
6.5898 	EXP 	text: height = 0.05
6.5898 	EXP 	text: height = 0.05
6.5898 	EXP 	text: height = 0.05
6.5898 	EXP 	text: text = 0
6.5942 	EXP 	text: height = 0.05
6.5942 	EXP 	text: height = 0.05
6.5942 	EXP 	text: height = 0.05
6.5942 	EXP 	text: text = 0
6.5983 	EXP 	text: height = 0.05
6.5983 	EXP 	text: height = 0.05
6.5983 	EXP 	text: height = 0.05
6.5983 	EXP 	text: text = 0
6.6025 	EXP 	text: height = 0.05
6.6025 	EXP 	text: height = 0.05
6.6025 	EXP 	text: height = 0.05
6.6025 	EXP 	text: text = 0
6.6069 	EXP 	text: height = 0.05
6.6069 	EXP 	text: height = 0.05
6.6069 	EXP 	text: height = 0.05
