1.5119 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
3.7144 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
4.0677 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000204488E2040>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000020448C245B0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.0678 	EXP 	window1: mouseVisible = True
4.0678 	EXP 	window1: mouseVisible = False
4.0678 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
4.0678 	EXP 	window1: recordFrameIntervals = False
4.1103 	EXP 	window1: recordFrameIntervals = True
4.1562 	EXP 	Screen (0) actual frame rate measured at 239.55Hz
4.1562 	EXP 	window1: recordFrameIntervals = False
5.8225 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([ 0. , -0.2]), rgb=UNKNOWN, text='asd', units='height', win=Window(...), wrapWidth=1)
5.8474 	EXP 	window1: mouseVisible = True
5.8616 	EXP 	textbox: autoLog = True
5.8616 	EXP 	text: height = 0.05
5.8616 	EXP 	text: height = 0.05
5.8616 	EXP 	text: height = 0.05
5.8616 	EXP 	text: text = 0
5.8616 	EXP 	textbox: autoDraw = True
5.8616 	EXP 	text: autoDraw = True
5.8688 	EXP 	text: height = 0.05
5.8688 	EXP 	text: height = 0.05
5.8688 	EXP 	text: height = 0.05
5.8688 	EXP 	text: text = 0
5.8730 	EXP 	text: height = 0.05
5.8730 	EXP 	text: height = 0.05
5.8730 	EXP 	text: height = 0.05
5.8730 	EXP 	text: text = 0
5.8800 	EXP 	text: height = 0.05
5.8800 	EXP 	text: height = 0.05
5.8800 	EXP 	text: height = 0.05
5.8800 	EXP 	text: text = 0
5.8845 	EXP 	text: height = 0.05
5.8845 	EXP 	text: height = 0.05
5.8845 	EXP 	text: height = 0.05
5.8845 	EXP 	text: text = 0
5.8917 	EXP 	text: height = 0.05
5.8917 	EXP 	text: height = 0.05
5.8917 	EXP 	text: height = 0.05
5.8917 	EXP 	text: text = 0
5.8959 	EXP 	text: height = 0.05
5.8959 	EXP 	text: height = 0.05
5.8959 	EXP 	text: height = 0.05
5.8959 	EXP 	text: text = 0
5.9033 	EXP 	text: height = 0.05
5.9033 	EXP 	text: height = 0.05
5.9033 	EXP 	text: height = 0.05
5.9033 	EXP 	text: text = 0
5.9077 	EXP 	text: height = 0.05
5.9077 	EXP 	text: height = 0.05
5.9077 	EXP 	text: height = 0.05
5.9077 	EXP 	text: text = 0
5.9148 	EXP 	text: height = 0.05
5.9148 	EXP 	text: height = 0.05
5.9148 	EXP 	text: height = 0.05
5.9148 	EXP 	text: text = 0
5.9190 	EXP 	text: height = 0.05
5.9190 	EXP 	text: height = 0.05
5.9190 	EXP 	text: height = 0.05
5.9190 	EXP 	text: text = 0
5.9259 	EXP 	text: height = 0.05
5.9259 	EXP 	text: height = 0.05
5.9259 	EXP 	text: height = 0.05
5.9259 	EXP 	text: text = 0
5.9300 	EXP 	text: height = 0.05
5.9300 	EXP 	text: height = 0.05
