trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,shown_image.started,image_black.started,image_green.started,image_red.started,image_blue.started,mouse.started,text.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,answer.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,6.271483200000148,6.271483200000148,6.271483200000148,6.271483200000148,6.271483200000148,0.03544090000104916,6.271483200000148,"[0.1925925925925926, 0.18888888888888888]","[-0.10833333333333334, -0.2064814814814815]","[1, 1]","[0, 0]","[0, 0]","[0.42499230000066746, 0.9316314000006969]",['image_green'],7.2045950000010635,229674,001,2023-02-26_13h39.55.835,Dinkum,2023.1.0,239.2590625405421,
,,,,8.212833600000522,8.212833600000522,8.212833600000522,8.212833600000522,8.212833600000522,0.0071226000000024214,8.212833600000522,,,,,,,,,,,,,,,
