1.5337 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
3.8819 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
4.2022 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001F3EE34E1C0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001F3F45657C0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.2022 	EXP 	window1: mouseVisible = True
4.2023 	EXP 	window1: mouseVisible = False
4.2023 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
4.2023 	EXP 	window1: recordFrameIntervals = False
4.2438 	EXP 	window1: recordFrameIntervals = True
4.2896 	EXP 	Screen (0) actual frame rate measured at 239.64Hz
4.2897 	EXP 	window1: recordFrameIntervals = False
5.8904 	EXP 	window1: mouseVisible = True
5.9438 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Timer', units='height', win=Window(...), wrapWidth=1)
5.9554 	EXP 	text: autoDraw = True
5.9554 	EXP 	text: height = 0.05
5.9554 	EXP 	text: height = 0.05
5.9554 	EXP 	text: height = 0.05
5.9554 	EXP 	text: text = 1.9997096000006422
5.9606 	EXP 	text: height = 0.05
5.9606 	EXP 	text: height = 0.05
5.9606 	EXP 	text: height = 0.05
5.9606 	EXP 	text: text = 1.9882978000023286
5.9646 	EXP 	text: height = 0.05
5.9646 	EXP 	text: height = 0.05
5.9646 	EXP 	text: height = 0.05
5.9646 	EXP 	text: text = 1.9831336000024749
5.9707 	EXP 	text: height = 0.05
5.9707 	EXP 	text: height = 0.05
5.9707 	EXP 	text: height = 0.05
5.9707 	EXP 	text: text = 1.9791519999998854
5.9749 	EXP 	text: height = 0.05
5.9749 	EXP 	text: height = 0.05
5.9749 	EXP 	text: height = 0.05
5.9749 	EXP 	text: text = 1.9729872000025352
5.9797 	EXP 	text: height = 0.05
5.9797 	EXP 	text: height = 0.05
5.9797 	EXP 	text: height = 0.05
5.9797 	EXP 	text: text = 1.9688315000021248
5.9839 	EXP 	text: height = 0.05
5.9839 	EXP 	text: height = 0.05
5.9839 	EXP 	text: height = 0.05
5.9839 	EXP 	text: text = 1.964005100002396
5.9885 	EXP 	text: height = 0.05
5.9885 	EXP 	text: height = 0.05
5.9885 	EXP 	text: height = 0.05
5.9885 	EXP 	text: text = 1.9598347999999532
5.9926 	EXP 	text: height = 0.05
5.9926 	EXP 	text: height = 0.05
5.9926 	EXP 	text: height = 0.05
5.9926 	EXP 	text: text = 1.9552703000008478
5.9978 	EXP 	text: height = 0.05
5.9978 	EXP 	text: height = 0.05
5.9978 	EXP 	text: height = 0.05
5.9978 	EXP 	text: text = 1.9511103000004368
6.0015 	EXP 	text: height = 0.05
6.0015 	EXP 	text: height = 0.05
6.0015 	EXP 	text: height = 0.05
6.0015 	EXP 	text: text = 1.945960400000331
6.0058 	EXP 	text: height = 0.05
6.0058 	EXP 	text: height = 0.05
6.0058 	EXP 	text: height = 0.05
6.0058 	EXP 	text: text = 1.942224600003101
6.0100 	EXP 	text: height = 0.05
6.0100 	EXP 	text: height = 0.05
6.0100 	EXP 	text: height = 0.05
6.0100 	EXP 	text: text = 1.9379311000011512
6.0146 	EXP 	text: height = 0.05
6.0146 	EXP 	text: height = 0.05
6.0146 	EXP 	text: height = 0.05
6.0146 	EXP 	text: text = 1.93377479999981
6.0187 	EXP 	text: height = 0.05
6.0187 	EXP 	text: height = 0.05
6.0187 	EXP 	text: height = 0.05
6.0187 	EXP 	text: text = 1.9291574000017135
6.0229 	EXP 	text: height = 0.05
6.0229 	EXP 	text: height = 0.05
6.0229 	EXP 	text: height = 0.05
6.0229 	EXP 	text: text = 1.9249995000027411
6.0271 	EXP 	text: height = 0.05
6.0271 	EXP 	text: height = 0.05
6.0271 	EXP 	text: height = 0.05
6.0271 	EXP 	text: text = 1.9207851000028313
6.0312 	EXP 	text: height = 0.05
6.0312 	EXP 	text: height = 0.05
6.0312 	EXP 	text: height = 0.05
6.0312 	EXP 	text: text = 1.9166404999996303
6.0354 	EXP 	text: height = 0.05
6.0354 	EXP 	text: height = 0.05
6.0354 	EXP 	text: height = 0.05
6.0354 	EXP 	text: text = 1.9124779000012495
6.0396 	EXP 	text: height = 0.05
6.0396 	EXP 	text: height = 0.05
6.0396 	EXP 	text: height = 0.05
6.0396 	EXP 	text: text = 1.9083430000027874
6.0446 	EXP 	text: height = 0.05
6.0446 	EXP 	text: height = 0.05
6.0446 	EXP 	text: height = 0.05
6.0446 	EXP 	text: text = 1.904178900000261
6.0487 	EXP 	text: height = 0.05
6.0487 	EXP 	text: height = 0.05
6.0487 	EXP 	text: height = 0.05
6.0487 	EXP 	text: text = 1.8991283000032126
6.0525 	EXP 	text: height = 0.05
6.0525 	EXP 	text: height = 0.05
6.0525 	EXP 	text: height = 0.05
6.0525 	EXP 	text: text = 1.8950280000026396
6.0567 	EXP 	text: height = 0.05
6.0567 	EXP 	text: height = 0.05
6.0567 	EXP 	text: height = 0.05
6.0567 	EXP 	text: text = 1.8911762999996427
6.0609 	EXP 	text: height = 0.05
6.0609 	EXP 	text: height = 0.05
6.0609 	EXP 	text: height = 0.05
6.0609 	EXP 	text: text = 1.8869945000005828
6.0651 	EXP 	text: height = 0.05
6.0651 	EXP 	text: height = 0.05
6.0651 	EXP 	text: height = 0.05
6.0651 	EXP 	text: text = 1.8828084000015224
6.0693 	EXP 	text: height = 0.05
6.0693 	EXP 	text: height = 0.05
6.0693 	EXP 	text: height = 0.05
6.0693 	EXP 	text: text = 1.878634200002125
6.0734 	EXP 	text: height = 0.05
6.0734 	EXP 	text: height = 0.05
6.0734 	EXP 	text: height = 0.05
6.0734 	EXP 	text: text = 1.874464500000613
6.0776 	EXP 	text: height = 0.05
6.0776 	EXP 	text: height = 0.05
6.0776 	EXP 	text: height = 0.05
6.0776 	EXP 	text: text = 1.8703010000026552
6.0818 	EXP 	text: height = 0.05
6.0818 	EXP 	text: height = 0.05
6.0818 	EXP 	text: height = 0.05
6.0818 	EXP 	text: text = 1.866127700002835
6.0859 	EXP 	text: height = 0.05
6.0859 	EXP 	text: height = 0.05
6.0859 	EXP 	text: height = 0.05
6.0859 	EXP 	text: text = 1.8619551000010688
6.0901 	EXP 	text: height = 0.05
6.0901 	EXP 	text: height = 0.05
6.0901 	EXP 	text: height = 0.05
6.0901 	EXP 	text: text = 1.8577865000006568
6.0944 	EXP 	text: height = 0.05
6.0944 	EXP 	text: height = 0.05
6.0944 	EXP 	text: height = 0.05
6.0944 	EXP 	text: text = 1.8536158000024443
6.0984 	EXP 	text: height = 0.05
6.0984 	EXP 	text: height = 0.05
6.0984 	EXP 	text: height = 0.05
6.0984 	EXP 	text: text = 1.8493498999996518
6.1026 	EXP 	text: height = 0.05
6.1026 	EXP 	text: height = 0.05
6.1026 	EXP 	text: height = 0.05
6.1026 	EXP 	text: text = 1.8452864000028057
6.1068 	EXP 	text: height = 0.05
6.1068 	EXP 	text: height = 0.05
6.1068 	EXP 	text: height = 0.05
6.1068 	EXP 	text: text = 1.8411284000030719
6.1109 	EXP 	text: height = 0.05
6.1109 	EXP 	text: height = 0.05
6.1109 	EXP 	text: height = 0.05
6.1109 	EXP 	text: text = 1.836965100002999
6.1151 	EXP 	text: height = 0.05
6.1151 	EXP 	text: height = 0.05
6.1151 	EXP 	text: height = 0.05
6.1151 	EXP 	text: text = 1.8327872000008938
6.1193 	EXP 	text: height = 0.05
6.1193 	EXP 	text: height = 0.05
6.1193 	EXP 	text: height = 0.05
6.1193 	EXP 	text: text = 1.8285979000029329
6.1235 	EXP 	text: height = 0.05
6.1235 	EXP 	text: height = 0.05
6.1235 	EXP 	text: height = 0.05
6.1235 	EXP 	text: text = 1.8244230000018433
6.1276 	EXP 	text: height = 0.05
6.1276 	EXP 	text: height = 0.05
6.1276 	EXP 	text: height = 0.05
6.1276 	EXP 	text: text = 1.8202087999998184
6.1318 	EXP 	text: height = 0.05
6.1318 	EXP 	text: height = 0.05
6.1318 	EXP 	text: height = 0.05
6.1318 	EXP 	text: text = 1.8160953000005975
6.1360 	EXP 	text: height = 0.05
6.1360 	EXP 	text: height = 0.05
6.1360 	EXP 	text: height = 0.05
6.1360 	EXP 	text: text = 1.8119089000028907
6.1404 	EXP 	text: height = 0.05
6.1404 	EXP 	text: height = 0.05
6.1404 	EXP 	text: height = 0.05
6.1404 	EXP 	text: text = 1.8077305000006163
6.1443 	EXP 	text: height = 0.05
6.1443 	EXP 	text: height = 0.05
6.1443 	EXP 	text: height = 0.05
6.1443 	EXP 	text: text = 1.8032731000021158
6.1485 	EXP 	text: height = 0.05
6.1485 	EXP 	text: height = 0.05
6.1485 	EXP 	text: height = 0.05
6.1485 	EXP 	text: text = 1.7993862000002991
6.1527 	EXP 	text: height = 0.05
6.1527 	EXP 	text: height = 0.05
6.1527 	EXP 	text: height = 0.05
6.1527 	EXP 	text: text = 1.795218000002933
6.1568 	EXP 	text: height = 0.05
6.1568 	EXP 	text: height = 0.05
6.1568 	EXP 	text: height = 0.05
6.1568 	EXP 	text: text = 1.7910484000021825
6.1610 	EXP 	text: height = 0.05
6.1610 	EXP 	text: height = 0.05
6.1610 	EXP 	text: height = 0.05
6.1610 	EXP 	text: text = 1.786902600000758
6.1652 	EXP 	text: height = 0.05
6.1652 	EXP 	text: height = 0.05
6.1652 	EXP 	text: height = 0.05
6.1652 	EXP 	text: text = 1.7827085000026273
6.1694 	EXP 	text: height = 0.05
6.1694 	EXP 	text: height = 0.05
6.1694 	EXP 	text: height = 0.05
6.1694 	EXP 	text: text = 1.7785366999996768
6.1735 	EXP 	text: height = 0.05
6.1735 	EXP 	text: height = 0.05
6.1735 	EXP 	text: height = 0.05
6.1735 	EXP 	text: text = 1.7743643000030715
6.1777 	EXP 	text: height = 0.05
6.1777 	EXP 	text: height = 0.05
6.1777 	EXP 	text: height = 0.05
6.1777 	EXP 	text: text = 1.7701869000011357
6.1819 	EXP 	text: height = 0.05
6.1819 	EXP 	text: height = 0.05
6.1819 	EXP 	text: height = 0.05
6.1819 	EXP 	text: text = 1.766025400000217
6.1861 	EXP 	text: height = 0.05
6.1861 	EXP 	text: height = 0.05
6.1861 	EXP 	text: height = 0.05
6.1861 	EXP 	text: text = 1.7618559000002278
6.1903 	EXP 	text: height = 0.05
6.1903 	EXP 	text: height = 0.05
6.1903 	EXP 	text: height = 0.05
6.1903 	EXP 	text: text = 1.757609300002514
6.1945 	EXP 	text: height = 0.05
6.1945 	EXP 	text: height = 0.05
6.1945 	EXP 	text: height = 0.05
6.1945 	EXP 	text: text = 1.7534152000007452
6.1987 	EXP 	text: height = 0.05
6.1987 	EXP 	text: height = 0.05
6.1987 	EXP 	text: height = 0.05
6.1987 	EXP 	text: text = 1.7492496000013489
6.2028 	EXP 	text: height = 0.05
6.2028 	EXP 	text: height = 0.05
6.2028 	EXP 	text: height = 0.05
6.2028 	EXP 	text: text = 1.7450638000009349
6.2070 	EXP 	text: height = 0.05
6.2070 	EXP 	text: height = 0.05
6.2070 	EXP 	text: height = 0.05
6.2070 	EXP 	text: text = 1.7409057000004395
6.2112 	EXP 	text: height = 0.05
6.2112 	EXP 	text: height = 0.05
6.2112 	EXP 	text: height = 0.05
6.2112 	EXP 	text: text = 1.7367307000022265
6.2153 	EXP 	text: height = 0.05
6.2153 	EXP 	text: height = 0.05
6.2153 	EXP 	text: height = 0.05
6.2153 	EXP 	text: text = 1.7325700000001234
6.2195 	EXP 	text: height = 0.05
6.2195 	EXP 	text: height = 0.05
6.2195 	EXP 	text: height = 0.05
6.2195 	EXP 	text: text = 1.7284010000003036
6.2237 	EXP 	text: height = 0.05
6.2237 	EXP 	text: height = 0.05
6.2237 	EXP 	text: height = 0.05
6.2237 	EXP 	text: text = 1.724228300001414
6.2278 	EXP 	text: height = 0.05
6.2278 	EXP 	text: height = 0.05
6.2278 	EXP 	text: height = 0.05
6.2278 	EXP 	text: text = 1.7200612000015099
6.2320 	EXP 	text: height = 0.05
6.2320 	EXP 	text: height = 0.05
6.2320 	EXP 	text: height = 0.05
6.2320 	EXP 	text: text = 1.7158656000028714
6.2363 	EXP 	text: height = 0.05
6.2363 	EXP 	text: height = 0.05
6.2363 	EXP 	text: height = 0.05
6.2363 	EXP 	text: text = 1.7117058000003453
6.2404 	EXP 	text: height = 0.05
6.2404 	EXP 	text: height = 0.05
6.2404 	EXP 	text: height = 0.05
6.2404 	EXP 	text: text = 1.7074255000006815
6.2445 	EXP 	text: height = 0.05
6.2445 	EXP 	text: height = 0.05
6.2445 	EXP 	text: height = 0.05
6.2445 	EXP 	text: text = 1.7033559000010428
6.2487 	EXP 	text: height = 0.05
6.2487 	EXP 	text: height = 0.05
6.2487 	EXP 	text: height = 0.05
6.2487 	EXP 	text: text = 1.6992040000004636
6.2529 	EXP 	text: height = 0.05
6.2529 	EXP 	text: height = 0.05
6.2529 	EXP 	text: height = 0.05
6.2529 	EXP 	text: text = 1.6950164000008954
6.2570 	EXP 	text: height = 0.05
6.2570 	EXP 	text: height = 0.05
6.2570 	EXP 	text: height = 0.05
6.2570 	EXP 	text: text = 1.6908447000023443
6.2612 	EXP 	text: height = 0.05
6.2612 	EXP 	text: height = 0.05
6.2612 	EXP 	text: height = 0.05
6.2612 	EXP 	text: text = 1.686670500002947
6.2654 	EXP 	text: height = 0.05
6.2654 	EXP 	text: height = 0.05
6.2654 	EXP 	text: height = 0.05
6.2654 	EXP 	text: text = 1.682496400000673
6.2695 	EXP 	text: height = 0.05
6.2695 	EXP 	text: height = 0.05
6.2695 	EXP 	text: height = 0.05
6.2695 	EXP 	text: text = 1.6783224000027985
6.2737 	EXP 	text: height = 0.05
6.2737 	EXP 	text: height = 0.05
6.2737 	EXP 	text: height = 0.05
6.2737 	EXP 	text: text = 1.6741514000023017
6.2779 	EXP 	text: height = 0.05
6.2779 	EXP 	text: height = 0.05
6.2779 	EXP 	text: height = 0.05
6.2779 	EXP 	text: text = 1.6699837000014668
6.2829 	EXP 	text: height = 0.05
6.2829 	EXP 	text: height = 0.05
6.2829 	EXP 	text: height = 0.05
6.2829 	EXP 	text: text = 1.6658153000025777
6.2862 	EXP 	text: height = 0.05
6.2862 	EXP 	text: height = 0.05
6.2862 	EXP 	text: height = 0.05
6.2862 	EXP 	text: text = 1.6608319000006304
6.2904 	EXP 	text: height = 0.05
