1.5426 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
4.0147 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
4.3453 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001718D23E1C0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001718D5816D0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.3454 	EXP 	window1: mouseVisible = True
4.3454 	EXP 	window1: mouseVisible = False
4.3454 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
4.3454 	EXP 	window1: recordFrameIntervals = False
4.3868 	EXP 	window1: recordFrameIntervals = True
4.4328 	EXP 	Screen (0) actual frame rate measured at 239.55Hz
4.4329 	EXP 	window1: recordFrameIntervals = False
6.0341 	EXP 	window1: mouseVisible = True
6.0896 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Timer', units='height', win=Window(...), wrapWidth=1)
6.0964 	EXP 	text: autoDraw = True
6.0964 	EXP 	text: height = 0.05
6.0964 	EXP 	text: height = 0.05
6.0964 	EXP 	text: height = 0.05
6.0964 	EXP 	text: text = 1.9996393000001262
6.1036 	EXP 	text: height = 0.05
6.1036 	EXP 	text: height = 0.05
6.1036 	EXP 	text: height = 0.05
6.1036 	EXP 	text: text = 1.9983124999998836
6.1080 	EXP 	text: height = 0.05
6.1080 	EXP 	text: height = 0.05
6.1080 	EXP 	text: height = 0.05
6.1080 	EXP 	text: text = 1.9956301000020176
6.1137 	EXP 	text: height = 0.05
6.1137 	EXP 	text: height = 0.05
6.1137 	EXP 	text: height = 0.05
6.1137 	EXP 	text: text = 1.9986198999977205
6.1179 	EXP 	text: height = 0.05
6.1179 	EXP 	text: height = 0.05
6.1179 	EXP 	text: height = 0.05
6.1179 	EXP 	text: text = 1.9957864999996673
6.1238 	EXP 	text: height = 0.05
6.1238 	EXP 	text: height = 0.05
6.1238 	EXP 	text: height = 0.05
6.1238 	EXP 	text: text = 1.9974947000009706
6.1279 	EXP 	text: height = 0.05
6.1279 	EXP 	text: height = 0.05
6.1279 	EXP 	text: height = 0.05
6.1279 	EXP 	text: text = 1.9957713000003423
6.1344 	EXP 	text: height = 0.05
6.1344 	EXP 	text: height = 0.05
6.1344 	EXP 	text: height = 0.05
6.1344 	EXP 	text: text = 1.9974610999997822
6.1379 	EXP 	text: height = 0.05
6.1379 	EXP 	text: height = 0.05
6.1379 	EXP 	text: height = 0.05
6.1379 	EXP 	text: text = 1.9950406000025396
6.1440 	EXP 	text: height = 0.05
6.1440 	EXP 	text: height = 0.05
6.1440 	EXP 	text: height = 0.05
6.1440 	EXP 	text: text = 1.9983995000002324
6.1481 	EXP 	text: height = 0.05
6.1481 	EXP 	text: height = 0.05
6.1481 	EXP 	text: height = 0.05
6.1481 	EXP 	text: text = 1.9956192999998166
6.1542 	EXP 	text: height = 0.05
6.1542 	EXP 	text: height = 0.05
6.1542 	EXP 	text: height = 0.05
6.1542 	EXP 	text: text = 1.99758490000022
6.1583 	EXP 	text: height = 0.05
6.1583 	EXP 	text: height = 0.05
6.1583 	EXP 	text: height = 0.05
6.1583 	EXP 	text: text = 1.9956674999993993
6.1640 	EXP 	text: height = 0.05
6.1640 	EXP 	text: height = 0.05
6.1640 	EXP 	text: height = 0.05
6.1640 	EXP 	text: text = 1.9974460000012186
6.1682 	EXP 	text: height = 0.05
6.1682 	EXP 	text: height = 0.05
6.1682 	EXP 	text: height = 0.05
6.1682 	EXP 	text: text = 1.9958263000007719
6.1739 	EXP 	text: height = 0.05
6.1739 	EXP 	text: height = 0.05
6.1739 	EXP 	text: height = 0.05
6.1739 	EXP 	text: text = 1.9973790000003646
6.1781 	EXP 	text: height = 0.05
6.1781 	EXP 	text: height = 0.05
6.1781 	EXP 	text: height = 0.05
6.1781 	EXP 	text: text = 1.995872399998916
6.1838 	EXP 	text: height = 0.05
6.1838 	EXP 	text: height = 0.05
6.1838 	EXP 	text: height = 0.05
6.1838 	EXP 	text: text = 1.9975744999974268
6.1878 	EXP 	text: height = 0.05
6.1878 	EXP 	text: height = 0.05
6.1878 	EXP 	text: height = 0.05
6.1878 	EXP 	text: text = 1.995859800001199
6.1934 	EXP 	text: height = 0.05
6.1934 	EXP 	text: height = 0.05
