1.5557 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
7.1861 	EXP 	text: height = 0.05
7.1861 	EXP 	text: height = 0.05
7.1861 	EXP 	text: text = 1.8718834999999672
7.1904 	EXP 	text: height = 0.05
7.1904 	EXP 	text: height = 0.05
7.1904 	EXP 	text: height = 0.05
7.1904 	EXP 	text: text = 1.8666149000018777
7.1961 	EXP 	text: height = 0.05
7.1961 	EXP 	text: height = 0.05
7.1961 	EXP 	text: height = 0.05
7.1961 	EXP 	text: text = 1.8623337999997602
7.2002 	EXP 	text: height = 0.05
7.2002 	EXP 	text: height = 0.05
7.2002 	EXP 	text: height = 0.05
7.2002 	EXP 	text: text = 1.8566404000011971
7.2055 	EXP 	text: height = 0.05
7.2055 	EXP 	text: height = 0.05
7.2055 	EXP 	text: height = 0.05
7.2055 	EXP 	text: text = 1.8524838000012096
7.2097 	EXP 	text: height = 0.05
7.2097 	EXP 	text: height = 0.05
7.2097 	EXP 	text: height = 0.05
7.2097 	EXP 	text: text = 1.8471812999996473
7.2149 	EXP 	text: height = 0.05
7.2149 	EXP 	text: height = 0.05
7.2149 	EXP 	text: height = 0.05
7.2149 	EXP 	text: text = 1.843030700001691
7.2197 	EXP 	text: height = 0.05
7.2197 	EXP 	text: height = 0.05
7.2197 	EXP 	text: height = 0.05
7.2197 	EXP 	text: text = 1.837780699999712
7.2254 	EXP 	text: height = 0.05
7.2254 	EXP 	text: height = 0.05
7.2254 	EXP 	text: height = 0.05
7.2254 	EXP 	text: text = 1.8330315000021074
7.2294 	EXP 	text: height = 0.05
7.2294 	EXP 	text: height = 0.05
7.2294 	EXP 	text: height = 0.05
7.2294 	EXP 	text: text = 1.8272668999998132
7.2344 	EXP 	text: height = 0.05
7.2344 	EXP 	text: height = 0.05
7.2344 	EXP 	text: height = 0.05
