1.5300 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
3.9001 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
4.2292 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001EA9A35E190>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001EA9A7A6730>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.2294 	EXP 	window1: mouseVisible = True
4.2295 	EXP 	window1: mouseVisible = False
4.2295 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
4.2295 	EXP 	window1: recordFrameIntervals = False
4.2709 	EXP 	window1: recordFrameIntervals = True
4.3169 	EXP 	Screen (0) actual frame rate measured at 238.64Hz
4.3170 	EXP 	window1: recordFrameIntervals = False
5.9163 	EXP 	window1: mouseVisible = True
5.9736 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Timer', units='height', win=Window(...), wrapWidth=1)
5.9756 	EXP 	text: autoDraw = True
6.6607 	DATA 	Mouse: Left button down, pos=(961,481)
6.6667 	EXP 	text: height = 0.05
6.6667 	EXP 	text: height = 0.05
6.6667 	EXP 	text: height = 0.05
6.6667 	EXP 	text: text = 161.68714799999725
6.6727 	EXP 	text: height = 0.05
6.6727 	EXP 	text: height = 0.05
