1.5226 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
3.8153 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
4.1400 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002CBD7EAD1F0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002CBD8201730>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.1404 	EXP 	window1: mouseVisible = True
4.1404 	EXP 	window1: mouseVisible = False
4.1404 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
4.1405 	EXP 	window1: recordFrameIntervals = False
4.1817 	EXP 	window1: recordFrameIntervals = True
4.2159 	WARNING 	t of last frame was 5.11ms (=1/195)
4.2285 	EXP 	Screen (0) actual frame rate measured at 235.04Hz
4.2286 	EXP 	window1: recordFrameIntervals = False
5.8310 	EXP 	window1: mouseVisible = True
5.8840 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Timer', units='height', win=Window(...), wrapWidth=1)
5.8920 	EXP 	text: autoDraw = True
5.8920 	EXP 	text: height = 0.05
5.8920 	EXP 	text: height = 0.05
5.8920 	EXP 	text: height = 0.05
5.8920 	EXP 	text: text = -1.0003534000024956
5.8997 	EXP 	text: height = 0.05
5.8997 	EXP 	text: height = 0.05
5.8997 	EXP 	text: height = 0.05
5.8997 	EXP 	text: text = -1.0080698000019765
5.9029 	EXP 	text: height = 0.05
5.9029 	EXP 	text: height = 0.05
5.9029 	EXP 	text: height = 0.05
5.9029 	EXP 	text: text = -1.0157801000023028
5.9088 	EXP 	text: height = 0.05
5.9088 	EXP 	text: height = 0.05
5.9088 	EXP 	text: height = 0.05
5.9088 	EXP 	text: text = -1.0190308000019286
5.9130 	EXP 	text: height = 0.05
5.9130 	EXP 	text: height = 0.05
5.9130 	EXP 	text: height = 0.05
5.9130 	EXP 	text: text = -1.0249077000007674
5.9184 	EXP 	text: height = 0.05
5.9184 	EXP 	text: height = 0.05
5.9184 	EXP 	text: height = 0.05
5.9184 	EXP 	text: text = -1.0290416999996523
5.9226 	EXP 	text: height = 0.05
5.9226 	EXP 	text: height = 0.05
5.9226 	EXP 	text: height = 0.05
5.9226 	EXP 	text: text = -1.0344435000006342
5.9283 	EXP 	text: height = 0.05
5.9283 	EXP 	text: height = 0.05
5.9283 	EXP 	text: height = 0.05
5.9283 	EXP 	text: text = -1.0386369000007107
5.9325 	EXP 	text: height = 0.05
5.9325 	EXP 	text: height = 0.05
5.9325 	EXP 	text: height = 0.05
5.9325 	EXP 	text: text = -1.0443668000007165
5.9378 	EXP 	text: height = 0.05
5.9378 	EXP 	text: height = 0.05
5.9378 	EXP 	text: height = 0.05
5.9378 	EXP 	text: text = -1.0484986000010394
5.9419 	EXP 	text: height = 0.05
5.9419 	EXP 	text: height = 0.05
5.9419 	EXP 	text: height = 0.05
5.9419 	EXP 	text: text = -1.053968399999576
5.9491 	EXP 	text: height = 0.05
5.9491 	EXP 	text: height = 0.05
5.9491 	EXP 	text: height = 0.05
5.9491 	EXP 	text: text = -1.0579686000019137
5.9532 	EXP 	text: height = 0.05
5.9532 	EXP 	text: height = 0.05
5.9532 	EXP 	text: height = 0.05
5.9532 	EXP 	text: text = -1.065150000002177
5.9588 	EXP 	text: height = 0.05
5.9588 	EXP 	text: height = 0.05
