1.5265 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
3.7419 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
4.0900 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001AD3372C1F0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001AD33B71700>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.0900 	EXP 	window1: mouseVisible = True
4.0901 	EXP 	window1: mouseVisible = False
4.0901 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
4.0901 	EXP 	window1: recordFrameIntervals = False
4.1315 	EXP 	window1: recordFrameIntervals = True
4.1774 	EXP 	Screen (0) actual frame rate measured at 239.67Hz
4.1774 	EXP 	window1: recordFrameIntervals = False
5.7772 	EXP 	window1: mouseVisible = True
5.8326 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Timer', units='height', win=Window(...), wrapWidth=1)
5.8429 	EXP 	text: autoDraw = True
5.8429 	EXP 	text: height = 0.05
5.8429 	EXP 	text: height = 0.05
5.8429 	EXP 	text: height = 0.05
5.8429 	EXP 	text: text = 2.000214399999095
5.8476 	EXP 	text: height = 0.05
5.8476 	EXP 	text: height = 0.05
5.8476 	EXP 	text: height = 0.05
5.8476 	EXP 	text: text = 2.010387599999376
5.8517 	EXP 	text: height = 0.05
5.8517 	EXP 	text: height = 0.05
5.8517 	EXP 	text: height = 0.05
5.8517 	EXP 	text: text = 2.015040300000692
5.8570 	EXP 	text: height = 0.05
5.8570 	EXP 	text: height = 0.05
5.8570 	EXP 	text: height = 0.05
5.8570 	EXP 	text: text = 2.019132900000841
5.8616 	EXP 	text: height = 0.05
5.8616 	EXP 	text: height = 0.05
5.8616 	EXP 	text: height = 0.05
5.8616 	EXP 	text: text = 2.024500800001988
5.8667 	EXP 	text: height = 0.05
5.8667 	EXP 	text: height = 0.05
5.8667 	EXP 	text: height = 0.05
5.8667 	EXP 	text: text = 2.029026600001089
5.8707 	EXP 	text: height = 0.05
5.8707 	EXP 	text: height = 0.05
5.8707 	EXP 	text: height = 0.05
5.8707 	EXP 	text: text = 2.0341579000014463
5.8750 	EXP 	text: height = 0.05
5.8750 	EXP 	text: height = 0.05
5.8750 	EXP 	text: height = 0.05
5.8750 	EXP 	text: text = 2.0382167999996454
5.8792 	EXP 	text: height = 0.05
5.8792 	EXP 	text: height = 0.05
5.8792 	EXP 	text: height = 0.05
5.8792 	EXP 	text: text = 2.0424708999998984
5.8837 	EXP 	text: height = 0.05
5.8837 	EXP 	text: height = 0.05
5.8837 	EXP 	text: height = 0.05
5.8837 	EXP 	text: text = 2.046665900001244
5.8879 	EXP 	text: height = 0.05
5.8879 	EXP 	text: height = 0.05
5.8879 	EXP 	text: height = 0.05
5.8879 	EXP 	text: text = 2.051212599999417
5.8921 	EXP 	text: height = 0.05
5.8921 	EXP 	text: height = 0.05
5.8921 	EXP 	text: height = 0.05
5.8921 	EXP 	text: text = 2.055347500001517
5.8962 	EXP 	text: height = 0.05
5.8962 	EXP 	text: height = 0.05
5.8962 	EXP 	text: height = 0.05
5.8962 	EXP 	text: text = 2.05957920000219
5.9004 	EXP 	text: height = 0.05
5.9004 	EXP 	text: height = 0.05
5.9004 	EXP 	text: height = 0.05
5.9004 	EXP 	text: text = 2.063694700002088
5.9046 	EXP 	text: height = 0.05
5.9046 	EXP 	text: height = 0.05
5.9046 	EXP 	text: height = 0.05
5.9046 	EXP 	text: text = 2.0678623000021616
5.9093 	EXP 	text: height = 0.05
5.9093 	EXP 	text: height = 0.05
5.9093 	EXP 	text: height = 0.05
5.9093 	EXP 	text: text = 2.0720710000023246
5.9130 	EXP 	text: height = 0.05
5.9130 	EXP 	text: height = 0.05
5.9130 	EXP 	text: height = 0.05
5.9130 	EXP 	text: text = 2.076708399999916
5.9171 	EXP 	text: height = 0.05
5.9171 	EXP 	text: height = 0.05
5.9171 	EXP 	text: height = 0.05
5.9171 	EXP 	text: text = 2.0804108000011183
5.9213 	EXP 	text: height = 0.05
5.9213 	EXP 	text: height = 0.05
5.9213 	EXP 	text: height = 0.05
5.9213 	EXP 	text: text = 2.084587500001362
5.9254 	EXP 	text: height = 0.05
5.9254 	EXP 	text: height = 0.05
5.9254 	EXP 	text: height = 0.05
5.9254 	EXP 	text: text = 2.088726599999063
5.9296 	EXP 	text: height = 0.05
5.9296 	EXP 	text: height = 0.05
5.9296 	EXP 	text: height = 0.05
5.9296 	EXP 	text: text = 2.092898499999137
5.9338 	EXP 	text: height = 0.05
5.9338 	EXP 	text: height = 0.05
5.9338 	EXP 	text: height = 0.05
5.9338 	EXP 	text: text = 2.097067300001072
5.9380 	EXP 	text: height = 0.05
5.9380 	EXP 	text: height = 0.05
5.9380 	EXP 	text: height = 0.05
5.9380 	EXP 	text: text = 2.1012321000016527
5.9421 	EXP 	text: height = 0.05
5.9421 	EXP 	text: height = 0.05
5.9421 	EXP 	text: height = 0.05
5.9421 	EXP 	text: text = 2.1054049000013038
5.9463 	EXP 	text: height = 0.05
5.9463 	EXP 	text: height = 0.05
5.9463 	EXP 	text: height = 0.05
5.9463 	EXP 	text: text = 2.109576200000447
5.9505 	EXP 	text: height = 0.05
5.9505 	EXP 	text: height = 0.05
5.9505 	EXP 	text: height = 0.05
5.9505 	EXP 	text: text = 2.1137449000016204
5.9553 	EXP 	text: height = 0.05
5.9553 	EXP 	text: height = 0.05
5.9553 	EXP 	text: height = 0.05
5.9553 	EXP 	text: text = 2.117948499999329
5.9597 	EXP 	text: height = 0.05
5.9597 	EXP 	text: height = 0.05
5.9597 	EXP 	text: height = 0.05
5.9597 	EXP 	text: text = 2.122789000000921
5.9636 	EXP 	text: height = 0.05
5.9636 	EXP 	text: height = 0.05
5.9636 	EXP 	text: height = 0.05
5.9636 	EXP 	text: text = 2.1271388999994087
5.9678 	EXP 	text: height = 0.05
5.9678 	EXP 	text: height = 0.05
5.9678 	EXP 	text: height = 0.05
5.9678 	EXP 	text: text = 2.131086299999879
5.9720 	EXP 	text: height = 0.05
5.9720 	EXP 	text: height = 0.05
5.9720 	EXP 	text: height = 0.05
5.9720 	EXP 	text: text = 2.13523350000105
5.9761 	EXP 	text: height = 0.05
5.9761 	EXP 	text: height = 0.05
5.9761 	EXP 	text: height = 0.05
5.9761 	EXP 	text: text = 2.139422000000195
5.9803 	EXP 	text: height = 0.05
5.9803 	EXP 	text: height = 0.05
5.9803 	EXP 	text: height = 0.05
5.9803 	EXP 	text: text = 2.143564099998912
5.9845 	EXP 	text: height = 0.05
5.9845 	EXP 	text: height = 0.05
5.9845 	EXP 	text: height = 0.05
5.9845 	EXP 	text: text = 2.1477392000015243
5.9886 	EXP 	text: height = 0.05
5.9886 	EXP 	text: height = 0.05
5.9886 	EXP 	text: height = 0.05
5.9886 	EXP 	text: text = 2.1519040999992285
5.9928 	EXP 	text: height = 0.05
5.9928 	EXP 	text: height = 0.05
5.9928 	EXP 	text: height = 0.05
5.9928 	EXP 	text: text = 2.156076800001756
5.9969 	EXP 	text: height = 0.05
5.9969 	EXP 	text: height = 0.05
5.9969 	EXP 	text: height = 0.05
5.9969 	EXP 	text: text = 2.1602200000015728
6.0011 	EXP 	text: height = 0.05
6.0011 	EXP 	text: height = 0.05
6.0011 	EXP 	text: height = 0.05
6.0011 	EXP 	text: text = 2.1643862000019
6.0054 	EXP 	text: height = 0.05
6.0054 	EXP 	text: height = 0.05
6.0054 	EXP 	text: height = 0.05
6.0054 	EXP 	text: text = 2.168551800001296
6.0094 	EXP 	text: height = 0.05
6.0094 	EXP 	text: height = 0.05
6.0094 	EXP 	text: height = 0.05
6.0094 	EXP 	text: text = 2.1728417000012996
6.0136 	EXP 	text: height = 0.05
6.0136 	EXP 	text: height = 0.05
6.0136 	EXP 	text: height = 0.05
6.0136 	EXP 	text: text = 2.1769000999993295
6.0178 	EXP 	text: height = 0.05
6.0178 	EXP 	text: height = 0.05
6.0178 	EXP 	text: height = 0.05
6.0178 	EXP 	text: text = 2.181071499999234
6.0220 	EXP 	text: height = 0.05
6.0220 	EXP 	text: height = 0.05
6.0220 	EXP 	text: height = 0.05
6.0220 	EXP 	text: text = 2.185271599999396
6.0261 	EXP 	text: height = 0.05
6.0261 	EXP 	text: height = 0.05
6.0261 	EXP 	text: height = 0.05
6.0261 	EXP 	text: text = 2.1894495000015013
6.0303 	EXP 	text: height = 0.05
6.0303 	EXP 	text: height = 0.05
6.0303 	EXP 	text: height = 0.05
6.0303 	EXP 	text: text = 2.1936047000017425
6.0345 	EXP 	text: height = 0.05
6.0345 	EXP 	text: height = 0.05
6.0345 	EXP 	text: height = 0.05
6.0345 	EXP 	text: text = 2.1977772999998706
6.0386 	EXP 	text: height = 0.05
6.0386 	EXP 	text: height = 0.05
6.0386 	EXP 	text: height = 0.05
6.0386 	EXP 	text: text = 2.201944899999944
6.0428 	EXP 	text: height = 0.05
6.0428 	EXP 	text: height = 0.05
6.0428 	EXP 	text: height = 0.05
6.0428 	EXP 	text: text = 2.2061174000009487
6.0470 	EXP 	text: height = 0.05
6.0470 	EXP 	text: height = 0.05
6.0470 	EXP 	text: height = 0.05
6.0470 	EXP 	text: text = 2.2102847000023758
6.0521 	EXP 	text: height = 0.05
6.0521 	EXP 	text: height = 0.05
6.0521 	EXP 	text: height = 0.05
6.0521 	EXP 	text: text = 2.2144575999991503
6.0553 	EXP 	text: height = 0.05
6.0553 	EXP 	text: height = 0.05
6.0553 	EXP 	text: height = 0.05
6.0553 	EXP 	text: text = 2.219547299999249
6.0595 	EXP 	text: height = 0.05
6.0595 	EXP 	text: height = 0.05
6.0595 	EXP 	text: height = 0.05
6.0595 	EXP 	text: text = 2.2227898000019195
6.0637 	EXP 	text: height = 0.05
6.0637 	EXP 	text: height = 0.05
6.0637 	EXP 	text: height = 0.05
6.0637 	EXP 	text: text = 2.2269594999997935
6.0639 	DATA 	Mouse: Left button down, pos=(824,542)
6.0678 	EXP 	text: height = 0.05
6.0678 	EXP 	text: height = 0.05
6.0678 	EXP 	text: height = 0.05
6.0678 	EXP 	text: text = 2.2313412000003154
6.0720 	EXP 	text: height = 0.05
6.0720 	EXP 	text: height = 0.05
6.0720 	EXP 	text: height = 0.05
6.0720 	EXP 	text: text = 2.2352883999992628
6.0762 	EXP 	text: height = 0.05
6.0762 	EXP 	text: height = 0.05
6.0762 	EXP 	text: height = 0.05
6.0762 	EXP 	text: text = 2.239453500002128
6.0804 	EXP 	text: height = 0.05
6.0804 	EXP 	text: height = 0.05
6.0804 	EXP 	text: height = 0.05
6.0804 	EXP 	text: text = 2.2436297999993258
6.0847 	EXP 	text: height = 0.05
6.0847 	EXP 	text: height = 0.05
6.0847 	EXP 	text: height = 0.05
6.0847 	EXP 	text: text = 2.24787490000017
6.0889 	EXP 	text: height = 0.05
6.0889 	EXP 	text: height = 0.05
6.0889 	EXP 	text: height = 0.05
6.0889 	EXP 	text: text = 2.2521959000005154
6.0930 	EXP 	text: height = 0.05
6.0930 	EXP 	text: height = 0.05
6.0930 	EXP 	text: height = 0.05
6.0930 	EXP 	text: text = 2.2563593000013498
6.0979 	EXP 	text: height = 0.05
6.0979 	EXP 	text: height = 0.05
6.0979 	EXP 	text: height = 0.05
6.0979 	EXP 	text: text = 2.2605016000015894
6.1014 	EXP 	text: height = 0.05
6.1014 	EXP 	text: height = 0.05
6.1014 	EXP 	text: height = 0.05
6.1014 	EXP 	text: text = 2.2654179000019212
6.1056 	EXP 	text: height = 0.05
6.1056 	EXP 	text: height = 0.05
6.1056 	EXP 	text: height = 0.05
6.1056 	EXP 	text: text = 2.2688463000013144
6.1097 	EXP 	text: height = 0.05
6.1097 	EXP 	text: height = 0.05
6.1097 	EXP 	text: height = 0.05
6.1097 	EXP 	text: text = 2.273008399999526
6.1139 	EXP 	text: height = 0.05
6.1139 	EXP 	text: height = 0.05
6.1139 	EXP 	text: height = 0.05
6.1139 	EXP 	text: text = 2.2771840000023076
6.1181 	EXP 	text: height = 0.05
6.1181 	EXP 	text: height = 0.05
6.1181 	EXP 	text: height = 0.05
