1.5231 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
3.8463 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
4.1706 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000018AAA18D1F0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000018AAA5D1700>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.1706 	EXP 	window1: mouseVisible = True
4.1707 	EXP 	window1: mouseVisible = False
4.1707 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
4.1707 	EXP 	window1: recordFrameIntervals = False
4.2120 	EXP 	window1: recordFrameIntervals = True
4.2581 	EXP 	Screen (0) actual frame rate measured at 239.67Hz
4.2581 	EXP 	window1: recordFrameIntervals = False
5.8594 	EXP 	window1: mouseVisible = True
5.9118 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Timer', units='height', win=Window(...), wrapWidth=1)
5.9191 	EXP 	text: autoDraw = True
5.9191 	EXP 	text: height = 0.05
5.9191 	EXP 	text: height = 0.05
5.9191 	EXP 	text: height = 0.05
5.9191 	EXP 	text: text = -1.0003093000013905
5.9275 	EXP 	text: height = 0.05
5.9275 	EXP 	text: height = 0.05
5.9275 	EXP 	text: height = 0.05
5.9275 	EXP 	text: text = -1.007356999998592
5.9315 	EXP 	text: height = 0.05
5.9315 	EXP 	text: height = 0.05
5.9315 	EXP 	text: height = 0.05
5.9315 	EXP 	text: text = -1.015733000000182
5.9372 	EXP 	text: height = 0.05
5.9372 	EXP 	text: height = 0.05
5.9372 	EXP 	text: height = 0.05
5.9372 	EXP 	text: text = -1.019735199999559
5.9414 	EXP 	text: height = 0.05
5.9414 	EXP 	text: height = 0.05
5.9414 	EXP 	text: height = 0.05
5.9414 	EXP 	text: text = -1.0254616999991413
5.9467 	EXP 	text: height = 0.05
5.9467 	EXP 	text: height = 0.05
5.9467 	EXP 	text: height = 0.05
5.9467 	EXP 	text: text = -1.029651400000148
5.9509 	EXP 	text: height = 0.05
5.9509 	EXP 	text: height = 0.05
5.9509 	EXP 	text: height = 0.05
5.9509 	EXP 	text: text = -1.0349664999994275
5.9561 	EXP 	text: height = 0.05
5.9561 	EXP 	text: height = 0.05
5.9561 	EXP 	text: height = 0.05
5.9561 	EXP 	text: text = -1.0391248000014457
5.9603 	EXP 	text: height = 0.05
5.9603 	EXP 	text: height = 0.05
5.9603 	EXP 	text: height = 0.05
5.9603 	EXP 	text: text = -1.0443672000001243
5.9672 	EXP 	text: height = 0.05
5.9672 	EXP 	text: height = 0.05
5.9672 	EXP 	text: height = 0.05
5.9672 	EXP 	text: text = -1.0485326999987592
5.9712 	EXP 	text: height = 0.05
5.9712 	EXP 	text: height = 0.05
5.9712 	EXP 	text: height = 0.05
5.9712 	EXP 	text: text = -1.055492100000265
5.9764 	EXP 	text: height = 0.05
5.9764 	EXP 	text: height = 0.05
5.9764 	EXP 	text: height = 0.05
5.9764 	EXP 	text: text = -1.059390499998699
5.9806 	EXP 	text: height = 0.05
5.9806 	EXP 	text: height = 0.05
5.9806 	EXP 	text: height = 0.05
5.9806 	EXP 	text: text = -1.0646811000005982
5.9860 	EXP 	text: height = 0.05
5.9860 	EXP 	text: height = 0.05
