3.2342 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
3.5134 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002393F83F3A0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002393F83F340>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002393F83F070>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000023941759640>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.5134 	EXP 	window1: mouseVisible = True
3.5134 	EXP 	window1: backgroundImage = ''
3.5135 	EXP 	window1: backgroundFit = 'none'
3.5135 	EXP 	window1: mouseVisible = False
3.5135 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
3.5135 	EXP 	window1: recordFrameIntervals = False
3.5548 	EXP 	window1: recordFrameIntervals = True
3.6009 	EXP 	Screen (0) actual frame rate measured at 238.84Hz
3.6009 	EXP 	window1: recordFrameIntervals = False
4.8658 	EXP 	window1: mouseVisible = True
4.8763 	EXP 	window1: mouseVisible = True
4.8868 	EXP 	window1: mouseVisible = True
4.8868 	EXP 	window1: mouseVisible = True
4.9379 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-5.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
4.9492 	EXP 	text: autoDraw = True
5.2284 	DATA 	Mouse: Left button down, pos=(978,570)
5.2643 	EXP 	text: height = 0.05
5.2643 	EXP 	text: height = 0.05
5.2643 	EXP 	text: height = 0.05
5.2643 	EXP 	text: text = ['visible', 'lastPos', 'prevPos', 'win', 'status', 'mouseClock', 'movedistance', 'x', 'y', 'leftButton', 'midButton', 'rightButton', 'time', 'clicked_name', 'tStart', 'tStop', 'tStartRefresh', 'tStopRefresh', 'frameNStart']
5.2778 	EXP 	text: height = 0.05
5.2778 	EXP 	text: height = 0.05
5.2778 	EXP 	text: height = 0.05
5.2778 	EXP 	text: text = ['visible', 'lastPos', 'prevPos', 'win', 'status', 'mouseClock', 'movedistance', 'x', 'y', 'leftButton', 'midButton', 'rightButton', 'time', 'clicked_name', 'tStart', 'tStop', 'tStartRefresh', 'tStopRefresh', 'frameNStart']
5.2931 	EXP 	text: height = 0.05
5.2931 	EXP 	text: height = 0.05
5.2931 	EXP 	text: height = 0.05
5.2931 	EXP 	text: text = ['visible', 'lastPos', 'prevPos', 'win', 'status', 'mouseClock', 'movedistance', 'x', 'y', 'leftButton', 'midButton', 'rightButton', 'time', 'clicked_name', 'tStart', 'tStop', 'tStartRefresh', 'tStopRefresh', 'frameNStart']
5.3072 	EXP 	text: height = 0.05
5.3072 	EXP 	text: height = 0.05
5.3072 	EXP 	text: height = 0.05
5.3072 	EXP 	text: text = ['visible', 'lastPos', 'prevPos', 'win', 'status', 'mouseClock', 'movedistance', 'x', 'y', 'leftButton', 'midButton', 'rightButton', 'time', 'clicked_name', 'tStart', 'tStop', 'tStartRefresh', 'tStopRefresh', 'frameNStart']
5.3196 	DATA 	Mouse:  Left button up, pos=(978,570)
5.3239 	EXP 	text: height = 0.05
5.3239 	EXP 	text: height = 0.05
5.3239 	EXP 	text: height = 0.05
5.3239 	EXP 	text: text = ['visible', 'lastPos', 'prevPos', 'win', 'status', 'mouseClock', 'movedistance', 'x', 'y', 'leftButton', 'midButton', 'rightButton', 'time', 'clicked_name', 'tStart', 'tStop', 'tStartRefresh', 'tStopRefresh', 'frameNStart']
5.3364 	EXP 	text: height = 0.05
5.3364 	EXP 	text: height = 0.05
5.3364 	EXP 	text: height = 0.05
5.3364 	EXP 	text: text = ['visible', 'lastPos', 'prevPos', 'win', 'status', 'mouseClock', 'movedistance', 'x', 'y', 'leftButton', 'midButton', 'rightButton', 'time', 'clicked_name', 'tStart', 'tStop', 'tStartRefresh', 'tStopRefresh', 'frameNStart']
5.3514 	EXP 	text: height = 0.05
5.3514 	EXP 	text: height = 0.05
5.3514 	EXP 	text: height = 0.05
5.3514 	EXP 	text: text = ['visible', 'lastPos', 'prevPos', 'win', 'status', 'mouseClock', 'movedistance', 'x', 'y', 'leftButton', 'midButton', 'rightButton', 'time', 'clicked_name', 'tStart', 'tStop', 'tStartRefresh', 'tStopRefresh', 'frameNStart']
5.3640 	EXP 	text: height = 0.05
5.3640 	EXP 	text: height = 0.05
5.3640 	EXP 	text: height = 0.05
5.3640 	EXP 	text: text = ['visible', 'lastPos', 'prevPos', 'win', 'status', 'mouseClock', 'movedistance', 'x', 'y', 'leftButton', 'midButton', 'rightButton', 'time', 'clicked_name', 'tStart', 'tStop', 'tStartRefresh', 'tStopRefresh', 'frameNStart']
5.3791 	EXP 	text: height = 0.05
5.3791 	EXP 	text: height = 0.05
5.3791 	EXP 	text: height = 0.05
5.3791 	EXP 	text: text = ['visible', 'lastPos', 'prevPos', 'win', 'status', 'mouseClock', 'movedistance', 'x', 'y', 'leftButton', 'midButton', 'rightButton', 'time', 'clicked_name', 'tStart', 'tStop', 'tStartRefresh', 'tStopRefresh', 'frameNStart']
5.3914 	EXP 	text: height = 0.05
5.3914 	EXP 	text: height = 0.05
5.3914 	EXP 	text: height = 0.05
5.3914 	EXP 	text: text = ['visible', 'lastPos', 'prevPos', 'win', 'status', 'mouseClock', 'movedistance', 'x', 'y', 'leftButton', 'midButton', 'rightButton', 'time', 'clicked_name', 'tStart', 'tStop', 'tStartRefresh', 'tStopRefresh', 'frameNStart']
5.4062 	EXP 	text: height = 0.05
5.4062 	EXP 	text: height = 0.05
5.4062 	EXP 	text: height = 0.05
5.4062 	EXP 	text: text = ['visible', 'lastPos', 'prevPos', 'win', 'status', 'mouseClock', 'movedistance', 'x', 'y', 'leftButton', 'midButton', 'rightButton', 'time', 'clicked_name', 'tStart', 'tStop', 'tStartRefresh', 'tStopRefresh', 'frameNStart']
5.4193 	EXP 	text: height = 0.05
5.4193 	EXP 	text: height = 0.05
5.4193 	EXP 	text: height = 0.05
5.4193 	EXP 	text: text = ['visible', 'lastPos', 'prevPos', 'win', 'status', 'mouseClock', 'movedistance', 'x', 'y', 'leftButton', 'midButton', 'rightButton', 'time', 'clicked_name', 'tStart', 'tStop', 'tStartRefresh', 'tStopRefresh', 'frameNStart']
5.4327 	EXP 	text: height = 0.05
5.4327 	EXP 	text: height = 0.05
5.4327 	EXP 	text: height = 0.05
5.4327 	EXP 	text: text = ['visible', 'lastPos', 'prevPos', 'win', 'status', 'mouseClock', 'movedistance', 'x', 'y', 'leftButton', 'midButton', 'rightButton', 'time', 'clicked_name', 'tStart', 'tStop', 'tStartRefresh', 'tStopRefresh', 'frameNStart']
5.4449 	EXP 	text: height = 0.05
5.4449 	EXP 	text: height = 0.05
5.4449 	EXP 	text: height = 0.05
