3.4991 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
3.8026 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001CA4C930310>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001CA4C9302B0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001CA4C930040>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001CA4E84A5B0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.8026 	EXP 	window1: mouseVisible = True
3.8026 	EXP 	window1: backgroundImage = ''
3.8027 	EXP 	window1: backgroundFit = 'none'
3.8027 	EXP 	window1: mouseVisible = False
3.8027 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
3.8027 	EXP 	window1: recordFrameIntervals = False
3.8441 	EXP 	window1: recordFrameIntervals = True
3.8533 	WARNING 	t of last frame was 5.03ms (=1/198)
3.8900 	EXP 	Screen (0) actual frame rate measured at 239.89Hz
3.8900 	EXP 	window1: recordFrameIntervals = False
5.1556 	EXP 	window1: mouseVisible = True
5.1661 	EXP 	window1: mouseVisible = True
5.1764 	EXP 	window1: mouseVisible = True
5.1765 	EXP 	window1: mouseVisible = True
5.2272 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-5.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
5.2400 	EXP 	text: height = 0.05
5.2400 	EXP 	text: height = 0.05
5.2400 	EXP 	text: height = 0.05
5.2400 	EXP 	text: text = []
5.2400 	EXP 	text: autoDraw = True
5.2498 	EXP 	text: height = 0.05
5.2498 	EXP 	text: height = 0.05
5.2498 	EXP 	text: height = 0.05
5.2498 	EXP 	text: text = []
5.2561 	EXP 	text: height = 0.05
5.2561 	EXP 	text: height = 0.05
5.2561 	EXP 	text: height = 0.05
5.2561 	EXP 	text: text = []
5.2651 	EXP 	text: height = 0.05
5.2651 	EXP 	text: height = 0.05
5.2651 	EXP 	text: height = 0.05
5.2651 	EXP 	text: text = []
5.2716 	EXP 	text: height = 0.05
5.2716 	EXP 	text: height = 0.05
5.2716 	EXP 	text: height = 0.05
5.2716 	EXP 	text: text = []
5.2809 	EXP 	text: height = 0.05
5.2809 	EXP 	text: height = 0.05
5.2809 	EXP 	text: height = 0.05
5.2809 	EXP 	text: text = []
5.2870 	EXP 	text: height = 0.05
5.2870 	EXP 	text: height = 0.05
5.2870 	EXP 	text: height = 0.05
5.2870 	EXP 	text: text = []
5.2965 	EXP 	text: height = 0.05
5.2965 	EXP 	text: height = 0.05
5.2965 	EXP 	text: height = 0.05
5.2965 	EXP 	text: text = []
5.3027 	EXP 	text: height = 0.05
5.3027 	EXP 	text: height = 0.05
5.3027 	EXP 	text: height = 0.05
5.3027 	EXP 	text: text = []
5.3117 	EXP 	text: height = 0.05
5.3117 	EXP 	text: height = 0.05
5.3117 	EXP 	text: height = 0.05
5.3117 	EXP 	text: text = []
5.3180 	EXP 	text: height = 0.05
5.3180 	EXP 	text: height = 0.05
5.3180 	EXP 	text: height = 0.05
5.3180 	EXP 	text: text = []
5.3267 	EXP 	text: height = 0.05
5.3267 	EXP 	text: height = 0.05
5.3267 	EXP 	text: height = 0.05
5.3267 	EXP 	text: text = []
5.3328 	EXP 	text: height = 0.05
5.3328 	EXP 	text: height = 0.05
5.3328 	EXP 	text: height = 0.05
5.3328 	EXP 	text: text = []
5.3403 	EXP 	text: height = 0.05
5.3403 	EXP 	text: height = 0.05
5.3403 	EXP 	text: height = 0.05
5.3403 	EXP 	text: text = []
5.3466 	EXP 	text: height = 0.05
5.3466 	EXP 	text: height = 0.05
5.3466 	EXP 	text: height = 0.05
5.3466 	EXP 	text: text = []
5.3535 	EXP 	text: height = 0.05
5.3535 	EXP 	text: height = 0.05
5.3535 	EXP 	text: height = 0.05
5.3535 	EXP 	text: text = []
5.3595 	EXP 	text: height = 0.05
5.3595 	EXP 	text: height = 0.05
5.3595 	EXP 	text: height = 0.05
5.3595 	EXP 	text: text = []
5.3657 	EXP 	text: height = 0.05
5.3657 	EXP 	text: height = 0.05
5.3657 	EXP 	text: height = 0.05
5.3657 	EXP 	text: text = []
5.3718 	EXP 	text: height = 0.05
5.3718 	EXP 	text: height = 0.05
5.3718 	EXP 	text: height = 0.05
5.3718 	EXP 	text: text = []
5.3782 	EXP 	text: height = 0.05
5.3782 	EXP 	text: height = 0.05
5.3782 	EXP 	text: height = 0.05
5.3782 	EXP 	text: text = []
5.3857 	EXP 	text: height = 0.05
5.3857 	EXP 	text: height = 0.05
5.3857 	EXP 	text: height = 0.05
5.3857 	EXP 	text: text = []
5.3920 	EXP 	text: height = 0.05
5.3920 	EXP 	text: height = 0.05
5.3920 	EXP 	text: height = 0.05
5.3920 	EXP 	text: text = []
5.3979 	EXP 	text: height = 0.05
5.3979 	EXP 	text: height = 0.05
5.3979 	EXP 	text: height = 0.05
5.3979 	EXP 	text: text = []
5.4038 	EXP 	text: height = 0.05
5.4038 	EXP 	text: height = 0.05
5.4038 	EXP 	text: height = 0.05
5.4038 	EXP 	text: text = []
5.4107 	EXP 	text: height = 0.05
5.4107 	EXP 	text: height = 0.05
5.4107 	EXP 	text: height = 0.05
5.4107 	EXP 	text: text = []
5.4173 	EXP 	text: height = 0.05
5.4173 	EXP 	text: height = 0.05
5.4173 	EXP 	text: height = 0.05
5.4173 	EXP 	text: text = []
5.4235 	EXP 	text: height = 0.05
5.4235 	EXP 	text: height = 0.05
5.4235 	EXP 	text: height = 0.05
5.4235 	EXP 	text: text = []
5.4296 	EXP 	text: height = 0.05
5.4296 	EXP 	text: height = 0.05
5.4296 	EXP 	text: height = 0.05
5.4296 	EXP 	text: text = []
5.4362 	EXP 	text: height = 0.05
5.4362 	EXP 	text: height = 0.05
5.4362 	EXP 	text: height = 0.05
5.4362 	EXP 	text: text = []
5.4424 	EXP 	text: height = 0.05
5.4424 	EXP 	text: height = 0.05
5.4424 	EXP 	text: height = 0.05
5.4424 	EXP 	text: text = []
5.4493 	EXP 	text: height = 0.05
5.4493 	EXP 	text: height = 0.05
5.4493 	EXP 	text: height = 0.05
5.4493 	EXP 	text: text = []
5.4556 	EXP 	text: height = 0.05
5.4556 	EXP 	text: height = 0.05
5.4556 	EXP 	text: height = 0.05
5.4556 	EXP 	text: text = []
5.4616 	EXP 	text: height = 0.05
5.4616 	EXP 	text: height = 0.05
5.4616 	EXP 	text: height = 0.05
5.4616 	EXP 	text: text = []
5.4678 	EXP 	text: height = 0.05
5.4678 	EXP 	text: height = 0.05
5.4678 	EXP 	text: height = 0.05
5.4678 	EXP 	text: text = []
5.4740 	EXP 	text: height = 0.05
5.4740 	EXP 	text: height = 0.05
5.4740 	EXP 	text: height = 0.05
5.4740 	EXP 	text: text = []
5.4803 	EXP 	text: height = 0.05
5.4803 	EXP 	text: height = 0.05
5.4803 	EXP 	text: height = 0.05
5.4803 	EXP 	text: text = []
5.4865 	EXP 	text: height = 0.05
5.4865 	EXP 	text: height = 0.05
5.4865 	EXP 	text: height = 0.05
5.4865 	EXP 	text: text = []
5.4925 	EXP 	text: height = 0.05
5.4925 	EXP 	text: height = 0.05
5.4925 	EXP 	text: height = 0.05
5.4925 	EXP 	text: text = []
5.4985 	EXP 	text: height = 0.05
5.4985 	EXP 	text: height = 0.05
5.4985 	EXP 	text: height = 0.05
5.4985 	EXP 	text: text = []
5.5045 	EXP 	text: height = 0.05
5.5045 	EXP 	text: height = 0.05
5.5045 	EXP 	text: height = 0.05
5.5045 	EXP 	text: text = []
5.5124 	EXP 	text: height = 0.05
5.5124 	EXP 	text: height = 0.05
5.5124 	EXP 	text: height = 0.05
5.5124 	EXP 	text: text = []
5.5190 	EXP 	text: height = 0.05
5.5190 	EXP 	text: height = 0.05
5.5190 	EXP 	text: height = 0.05
5.5190 	EXP 	text: text = []
5.5251 	EXP 	text: height = 0.05
5.5251 	EXP 	text: height = 0.05
5.5251 	EXP 	text: height = 0.05
5.5251 	EXP 	text: text = []
5.5310 	EXP 	text: height = 0.05
5.5310 	EXP 	text: height = 0.05
5.5310 	EXP 	text: height = 0.05
5.5310 	EXP 	text: text = []
5.5373 	EXP 	text: height = 0.05
5.5373 	EXP 	text: height = 0.05
5.5373 	EXP 	text: height = 0.05
5.5373 	EXP 	text: text = []
5.5443 	EXP 	text: height = 0.05
5.5443 	EXP 	text: height = 0.05
5.5443 	EXP 	text: height = 0.05
5.5443 	EXP 	text: text = []
5.5507 	EXP 	text: height = 0.05
5.5507 	EXP 	text: height = 0.05
5.5507 	EXP 	text: height = 0.05
5.5507 	EXP 	text: text = []
5.5565 	EXP 	text: height = 0.05
5.5565 	EXP 	text: height = 0.05
5.5565 	EXP 	text: height = 0.05
5.5565 	EXP 	text: text = []
5.5635 	EXP 	text: height = 0.05
5.5635 	EXP 	text: height = 0.05
5.5635 	EXP 	text: height = 0.05
5.5635 	EXP 	text: text = []
5.5697 	EXP 	text: height = 0.05
5.5697 	EXP 	text: height = 0.05
5.5697 	EXP 	text: height = 0.05
5.5697 	EXP 	text: text = []
5.5755 	DATA 	Mouse: Left button down, pos=(864,567)
5.5762 	EXP 	text: height = 0.05
5.5762 	EXP 	text: height = 0.05
5.5762 	EXP 	text: height = 0.05
5.5762 	EXP 	text: text = []
5.5872 	EXP 	text: height = 0.05
