8.2471 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
8.5565 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000219B7804100>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000219B78040A0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000219B77F3DC0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000219B97183A0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.5565 	EXP 	window1: mouseVisible = True
8.5565 	EXP 	window1: backgroundImage = ''
8.5565 	EXP 	window1: backgroundFit = 'none'
8.5566 	EXP 	window1: mouseVisible = False
8.5566 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
8.5566 	EXP 	window1: recordFrameIntervals = False
8.5978 	EXP 	window1: recordFrameIntervals = True
8.6200 	WARNING 	t of last frame was 5.53ms (=1/180)
8.6453 	EXP 	Screen (0) actual frame rate measured at 230.94Hz
8.6453 	EXP 	window1: recordFrameIntervals = False
9.8771 	EXP 	window1: mouseVisible = True
9.8986 	EXP 	Created slider = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=0, fillColor=None, flip=False, font='Open Sans', granularity=0.0, labelColor=None, labelHeight=0.05, labelWrapWidth=None, labels=None, lineColor=None, markerColor=None, name='slider', opacity=None, ori=0.0, pos=array([ 0. , -0.4]), readOnly=False, self=UNKNOWN, size=array([1. , 0.1]), startValue=None, style='rating', styleTweaks=[], ticks=array([1, 2, 3, 4, 5]), units='height', win=Window(...))
9.9629 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
9.9754 	EXP 	slider: autoLog = True
9.9754 	EXP 	slider: markerPos = None
9.9754 	EXP 	slider: styleTweaks = []
9.9754 	EXP 	slider: styleTweaks = []
9.9754 	EXP 	slider: styleTweaks = []
9.9754 	EXP 	slider: styleTweaks = []
9.9754 	EXP 	slider: contrast = 1.0
9.9754 	EXP 	slider: autoLog = True
9.9754 	EXP 	slider: markerPos = None
9.9754 	EXP 	slider: markerPos = None
9.9754 	EXP 	slider: autoDraw = True
9.9754 	EXP 	text: autoDraw = True
13.3148 	DATA 	Keypress: space
13.6807 	DATA 	Keypress: space
13.9894 	DATA 	Keypress: space
14.3982 	DATA 	Mouse: Left button down, pos=(1399,124)
14.4026 	EXP 	slider: markerPos = 4.625925925925926
14.4068 	EXP 	slider: markerPos = 4.625925925925926
14.4110 	EXP 	slider: markerPos = 4.625925925925926
14.4151 	EXP 	slider: markerPos = 4.625925925925926
14.4197 	EXP 	slider: markerPos = 4.625925925925926
14.4244 	EXP 	slider: markerPos = 4.625925925925926
14.4290 	EXP 	slider: markerPos = 4.625925925925926
14.4332 	EXP 	slider: markerPos = 4.625925925925926
14.4373 	EXP 	slider: markerPos = 4.625925925925926
14.4415 	EXP 	slider: markerPos = 4.625925925925926
14.4457 	EXP 	slider: markerPos = 4.625925925925926
14.4499 	EXP 	slider: markerPos = 4.625925925925926
14.4540 	EXP 	slider: markerPos = 4.625925925925926
14.4582 	EXP 	slider: markerPos = 4.625925925925926
14.4624 	EXP 	slider: markerPos = 4.625925925925926
14.4665 	EXP 	slider: markerPos = 4.625925925925926
14.4707 	EXP 	slider: markerPos = 4.625925925925926
14.4749 	EXP 	slider: markerPos = 4.625925925925926
14.4799 	EXP 	slider: markerPos = 4.625925925925926
14.4843 	EXP 	slider: markerPos = 4.625925925925926
14.4889 	EXP 	slider: markerPos = 4.625925925925926
14.4930 	EXP 	slider: markerPos = 4.625925925925926
14.4973 	EXP 	slider: markerPos = 4.625925925925926
14.5015 	EXP 	slider: markerPos = 4.625925925925926
14.5057 	EXP 	slider: markerPos = 4.625925925925926
14.5099 	EXP 	slider: markerPos = 4.625925925925926
14.5141 	EXP 	slider: markerPos = 4.625925925925926
14.5182 	EXP 	slider: markerPos = 4.625925925925926
14.5224 	EXP 	slider: markerPos = 4.625925925925926
14.5279 	EXP 	slider: markerPos = 4.625925925925926
14.5326 	EXP 	slider: markerPos = 4.625925925925926
14.5367 	EXP 	slider: markerPos = 4.625925925925926
14.5409 	EXP 	slider: markerPos = 4.625925925925926
14.5453 	EXP 	slider: markerPos = 4.625925925925926
14.5489 	DATA 	Mouse:  Left button up, pos=(1399,124)
14.5494 	EXP 	slider: markerPos = 4.625925925925926
14.5536 	EXP 	slider: markerPos = 4.625925925925926
14.5578 	EXP 	slider: autoDraw = False
14.5578 	EXP 	text: autoDraw = False
14.6136 	EXP 	window1: mouseVisible = True
