3.4154 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
3.7093 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001F1E04240A0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001F1E0424040>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001F1E0411D60>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001F1E23363A0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.7093 	EXP 	window1: mouseVisible = True
3.7093 	EXP 	window1: backgroundImage = ''
3.7093 	EXP 	window1: backgroundFit = 'none'
3.7094 	EXP 	window1: mouseVisible = False
3.7094 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
3.7094 	EXP 	window1: recordFrameIntervals = False
3.7507 	EXP 	window1: recordFrameIntervals = True
3.7967 	EXP 	Screen (0) actual frame rate measured at 239.87Hz
3.7967 	EXP 	window1: recordFrameIntervals = False
5.0221 	EXP 	window1: mouseVisible = True
5.0428 	EXP 	Created slider = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=0, fillColor=None, flip=False, font='Open Sans', granularity=0.0, labelColor=None, labelHeight=0.05, labelWrapWidth=None, labels=None, lineColor=None, markerColor=None, name='slider', opacity=None, ori=0.0, pos=array([ 0. , -0.4]), readOnly=False, self=UNKNOWN, size=array([1. , 0.1]), startValue=None, style='rating', styleTweaks=[], ticks=array([1, 2, 3, 4, 5]), units='height', win=Window(...))
5.0923 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
5.1129 	EXP 	slider: autoLog = True
5.1129 	EXP 	slider: markerPos = None
5.1129 	EXP 	slider: styleTweaks = []
5.1129 	EXP 	slider: styleTweaks = []
5.1129 	EXP 	slider: styleTweaks = []
5.1129 	EXP 	slider: styleTweaks = []
5.1129 	EXP 	slider: contrast = 1.0
5.1129 	EXP 	slider: autoLog = True
5.1129 	EXP 	slider: markerPos = None
5.1129 	EXP 	slider: markerPos = None
5.1129 	EXP 	slider: autoDraw = True
5.1129 	EXP 	text: height = 0.05
5.1129 	EXP 	text: height = 0.05
5.1129 	EXP 	text: height = 0.05
5.1129 	EXP 	text: text = []
5.1129 	EXP 	text: autoDraw = True
5.1171 	EXP 	text: height = 0.05
5.1171 	EXP 	text: height = 0.05
5.1171 	EXP 	text: height = 0.05
5.1171 	EXP 	text: text = []
5.1238 	EXP 	text: height = 0.05
5.1238 	EXP 	text: height = 0.05
5.1238 	EXP 	text: height = 0.05
5.1238 	EXP 	text: text = []
5.1279 	EXP 	text: height = 0.05
5.1279 	EXP 	text: height = 0.05
5.1279 	EXP 	text: height = 0.05
5.1279 	EXP 	text: text = []
5.1343 	EXP 	text: height = 0.05
5.1343 	EXP 	text: height = 0.05
5.1343 	EXP 	text: height = 0.05
5.1343 	EXP 	text: text = []
5.1382 	EXP 	text: height = 0.05
5.1382 	EXP 	text: height = 0.05
5.1382 	EXP 	text: height = 0.05
5.1382 	EXP 	text: text = []
5.1444 	EXP 	text: height = 0.05
5.1444 	EXP 	text: height = 0.05
5.1444 	EXP 	text: height = 0.05
5.1444 	EXP 	text: text = []
5.1486 	EXP 	text: height = 0.05
5.1486 	EXP 	text: height = 0.05
5.1486 	EXP 	text: height = 0.05
5.1486 	EXP 	text: text = []
5.1551 	EXP 	text: height = 0.05
5.1551 	EXP 	text: height = 0.05
5.1551 	EXP 	text: height = 0.05
5.1551 	EXP 	text: text = []
5.1592 	EXP 	text: height = 0.05
5.1592 	EXP 	text: height = 0.05
5.1592 	EXP 	text: height = 0.05
5.1592 	EXP 	text: text = []
5.1653 	EXP 	text: height = 0.05
5.1653 	EXP 	text: height = 0.05
5.1653 	EXP 	text: height = 0.05
5.1653 	EXP 	text: text = []
5.1694 	EXP 	text: height = 0.05
5.1694 	EXP 	text: height = 0.05
5.1694 	EXP 	text: height = 0.05
5.1694 	EXP 	text: text = []
5.1755 	EXP 	text: height = 0.05
5.1755 	EXP 	text: height = 0.05
5.1755 	EXP 	text: height = 0.05
5.1755 	EXP 	text: text = []
5.1798 	EXP 	text: height = 0.05
5.1798 	EXP 	text: height = 0.05
5.1798 	EXP 	text: height = 0.05
5.1798 	EXP 	text: text = []
5.1862 	EXP 	text: height = 0.05
5.1862 	EXP 	text: height = 0.05
5.1862 	EXP 	text: height = 0.05
5.1862 	EXP 	text: text = []
5.1902 	EXP 	text: height = 0.05
5.1902 	EXP 	text: height = 0.05
5.1902 	EXP 	text: height = 0.05
5.1902 	EXP 	text: text = []
5.1965 	EXP 	text: height = 0.05
5.1965 	EXP 	text: height = 0.05
5.1965 	EXP 	text: height = 0.05
5.1965 	EXP 	text: text = []
5.2006 	EXP 	text: height = 0.05
5.2006 	EXP 	text: height = 0.05
5.2006 	EXP 	text: height = 0.05
5.2006 	EXP 	text: text = []
5.2069 	EXP 	text: height = 0.05
5.2069 	EXP 	text: height = 0.05
5.2069 	EXP 	text: height = 0.05
5.2069 	EXP 	text: text = []
5.2110 	EXP 	text: height = 0.05
5.2110 	EXP 	text: height = 0.05
5.2110 	EXP 	text: height = 0.05
5.2110 	EXP 	text: text = []
5.2168 	EXP 	text: height = 0.05
5.2168 	EXP 	text: height = 0.05
5.2168 	EXP 	text: height = 0.05
5.2168 	EXP 	text: text = []
5.2209 	EXP 	text: height = 0.05
5.2209 	EXP 	text: height = 0.05
5.2209 	EXP 	text: height = 0.05
5.2209 	EXP 	text: text = []
5.2260 	EXP 	text: height = 0.05
5.2260 	EXP 	text: height = 0.05
5.2260 	EXP 	text: height = 0.05
5.2260 	EXP 	text: text = []
5.2303 	EXP 	text: height = 0.05
5.2303 	EXP 	text: height = 0.05
5.2303 	EXP 	text: height = 0.05
5.2303 	EXP 	text: text = []
5.2351 	EXP 	text: height = 0.05
5.2351 	EXP 	text: height = 0.05
5.2351 	EXP 	text: height = 0.05
5.2351 	EXP 	text: text = []
5.2390 	EXP 	text: height = 0.05
5.2390 	EXP 	text: height = 0.05
5.2390 	EXP 	text: height = 0.05
5.2390 	EXP 	text: text = []
5.2435 	EXP 	text: height = 0.05
5.2435 	EXP 	text: height = 0.05
5.2435 	EXP 	text: height = 0.05
5.2435 	EXP 	text: text = []
5.2477 	EXP 	text: height = 0.05
5.2477 	EXP 	text: height = 0.05
5.2477 	EXP 	text: height = 0.05
5.2477 	EXP 	text: text = []
5.2519 	EXP 	text: height = 0.05
5.2519 	EXP 	text: height = 0.05
5.2519 	EXP 	text: height = 0.05
5.2519 	EXP 	text: text = []
5.2560 	EXP 	text: height = 0.05
5.2560 	EXP 	text: height = 0.05
5.2560 	EXP 	text: height = 0.05
5.2560 	EXP 	text: text = []
5.2602 	EXP 	text: height = 0.05
5.2602 	EXP 	text: height = 0.05
5.2602 	EXP 	text: height = 0.05
5.2602 	EXP 	text: text = []
5.2644 	EXP 	text: height = 0.05
5.2644 	EXP 	text: height = 0.05
5.2644 	EXP 	text: height = 0.05
5.2644 	EXP 	text: text = []
5.2685 	EXP 	text: height = 0.05
5.2685 	EXP 	text: height = 0.05
5.2685 	EXP 	text: height = 0.05
5.2685 	EXP 	text: text = []
5.2727 	EXP 	text: height = 0.05
5.2727 	EXP 	text: height = 0.05
5.2727 	EXP 	text: height = 0.05
5.2727 	EXP 	text: text = []
5.2772 	EXP 	text: height = 0.05
5.2772 	EXP 	text: height = 0.05
5.2772 	EXP 	text: height = 0.05
5.2772 	EXP 	text: text = []
5.2812 	EXP 	text: height = 0.05
5.2812 	EXP 	text: height = 0.05
5.2812 	EXP 	text: height = 0.05
5.2812 	EXP 	text: text = []
5.2854 	EXP 	text: height = 0.05
5.2854 	EXP 	text: height = 0.05
5.2854 	EXP 	text: height = 0.05
5.2854 	EXP 	text: text = []
5.2896 	EXP 	text: height = 0.05
5.2896 	EXP 	text: height = 0.05
5.2896 	EXP 	text: height = 0.05
5.2896 	EXP 	text: text = []
5.2938 	EXP 	text: height = 0.05
5.2938 	EXP 	text: height = 0.05
5.2938 	EXP 	text: height = 0.05
5.2938 	EXP 	text: text = []
5.2979 	EXP 	text: height = 0.05
5.2979 	EXP 	text: height = 0.05
5.2979 	EXP 	text: height = 0.05
5.2979 	EXP 	text: text = []
5.3021 	EXP 	text: height = 0.05
5.3021 	EXP 	text: height = 0.05
5.3021 	EXP 	text: height = 0.05
5.3021 	EXP 	text: text = []
5.3063 	EXP 	text: height = 0.05
5.3063 	EXP 	text: height = 0.05
5.3063 	EXP 	text: height = 0.05
5.3063 	EXP 	text: text = []
5.3104 	EXP 	text: height = 0.05
5.3104 	EXP 	text: height = 0.05
5.3104 	EXP 	text: height = 0.05
5.3104 	EXP 	text: text = []
5.3146 	EXP 	text: height = 0.05
5.3146 	EXP 	text: height = 0.05
5.3146 	EXP 	text: height = 0.05
5.3146 	EXP 	text: text = []
5.3188 	EXP 	text: height = 0.05
5.3188 	EXP 	text: height = 0.05
5.3188 	EXP 	text: height = 0.05
5.3188 	EXP 	text: text = []
5.3237 	EXP 	text: height = 0.05
5.3237 	EXP 	text: height = 0.05
5.3237 	EXP 	text: height = 0.05
5.3237 	EXP 	text: text = []
5.3273 	EXP 	text: height = 0.05
5.3273 	EXP 	text: height = 0.05
5.3273 	EXP 	text: height = 0.05
5.3273 	EXP 	text: text = []
5.3314 	EXP 	text: height = 0.05
5.3314 	EXP 	text: height = 0.05
5.3314 	EXP 	text: height = 0.05
5.3314 	EXP 	text: text = []
5.3356 	EXP 	text: height = 0.05
5.3356 	EXP 	text: height = 0.05
5.3356 	EXP 	text: height = 0.05
5.3356 	EXP 	text: text = []
5.3398 	EXP 	text: height = 0.05
