3.3081 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
3.5917 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000015BCB2EA640>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000015BCB2EA5E0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000015BCB2EA310>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000015BCD206940>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.5918 	EXP 	window1: mouseVisible = True
3.5918 	EXP 	window1: backgroundImage = ''
3.5918 	EXP 	window1: backgroundFit = 'none'
3.5918 	EXP 	window1: mouseVisible = False
3.5918 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
3.5918 	EXP 	window1: recordFrameIntervals = False
3.6332 	EXP 	window1: recordFrameIntervals = True
3.6564 	WARNING 	t of last frame was 6.52ms (=1/153)
3.6958 	EXP 	Screen (0) actual frame rate measured at 254.27Hz
3.6958 	EXP 	window1: recordFrameIntervals = False
4.9225 	EXP 	window1: mouseVisible = True
4.9439 	EXP 	Created slider = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=0, fillColor=None, flip=False, font='Open Sans', granularity=0.0, labelColor=None, labelHeight=0.05, labelWrapWidth=None, labels=None, lineColor=None, markerColor=None, name='slider', opacity=None, ori=0.0, pos=array([ 0. , -0.4]), readOnly=False, self=UNKNOWN, size=array([1. , 0.1]), startValue=None, style='rating', styleTweaks=[], ticks=array([1, 2, 3, 4, 5]), units='height', win=Window(...))
4.9932 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
5.0020 	EXP 	slider: autoLog = True
5.0020 	EXP 	slider: markerPos = None
5.0020 	EXP 	slider: styleTweaks = []
5.0020 	EXP 	slider: styleTweaks = []
5.0020 	EXP 	slider: styleTweaks = []
5.0020 	EXP 	slider: styleTweaks = []
5.0020 	EXP 	slider: contrast = 1.0
5.0020 	EXP 	slider: autoLog = True
5.0020 	EXP 	slider: markerPos = None
5.0020 	EXP 	slider: markerPos = None
5.0020 	EXP 	slider: autoDraw = True
5.0020 	EXP 	text: autoDraw = True
5.5439 	DATA 	Mouse: Left button down, pos=(1054,115)
5.5484 	EXP 	slider: markerPos = 3.348148148148148
5.5547 	EXP 	slider: markerPos = 3.348148148148148
5.5588 	EXP 	slider: markerPos = 3.348148148148148
5.5638 	EXP 	slider: markerPos = 3.348148148148148
5.5680 	EXP 	slider: markerPos = 3.348148148148148
5.5726 	EXP 	slider: markerPos = 3.348148148148148
5.5768 	EXP 	slider: markerPos = 3.348148148148148
5.5813 	EXP 	slider: markerPos = 3.348148148148148
5.5865 	EXP 	slider: markerPos = 3.348148148148148
5.5910 	EXP 	slider: markerPos = 3.348148148148148
5.5951 	EXP 	slider: markerPos = 3.348148148148148
5.5993 	EXP 	slider: markerPos = 3.348148148148148
5.6036 	EXP 	slider: markerPos = 3.348148148148148
5.6077 	EXP 	slider: markerPos = 3.348148148148148
5.6119 	EXP 	slider: markerPos = 3.348148148148148
5.6161 	EXP 	slider: markerPos = 3.348148148148148
5.6204 	EXP 	slider: markerPos = 3.348148148148148
5.6246 	EXP 	slider: markerPos = 3.348148148148148
5.6287 	EXP 	slider: markerPos = 3.348148148148148
5.6340 	EXP 	slider: markerPos = 3.348148148148148
5.6383 	EXP 	slider: markerPos = 3.348148148148148
5.6428 	EXP 	slider: markerPos = 3.348148148148148
5.6469 	EXP 	slider: markerPos = 3.348148148148148
5.6512 	EXP 	slider: markerPos = 3.348148148148148
5.6553 	EXP 	slider: markerPos = 3.348148148148148
5.6595 	EXP 	slider: markerPos = 3.348148148148148
5.6637 	EXP 	slider: markerPos = 3.348148148148148
5.6679 	EXP 	slider: markerPos = 3.348148148148148
5.6720 	EXP 	slider: markerPos = 3.348148148148148
5.6762 	EXP 	slider: markerPos = 3.348148148148148
5.6820 	EXP 	slider: markerPos = 3.348148148148148
5.6866 	EXP 	slider: markerPos = 3.348148148148148
5.6908 	EXP 	slider: markerPos = 3.348148148148148
5.6950 	EXP 	slider: markerPos = 3.348148148148148
5.6991 	EXP 	slider: markerPos = 3.348148148148148
5.7033 	EXP 	slider: markerPos = 3.348148148148148
5.7075 	EXP 	slider: markerPos = 3.348148148148148
5.7117 	EXP 	slider: markerPos = 3.348148148148148
5.7158 	EXP 	slider: markerPos = 3.348148148148148
5.7200 	EXP 	slider: markerPos = 3.348148148148148
5.7242 	EXP 	slider: markerPos = 3.348148148148148
5.7294 	EXP 	slider: markerPos = 3.348148148148148
5.7338 	EXP 	slider: markerPos = 3.348148148148148
5.7383 	EXP 	slider: markerPos = 3.348148148148148
5.7424 	EXP 	slider: markerPos = 3.348148148148148
5.7466 	EXP 	slider: markerPos = 3.348148148148148
5.7508 	EXP 	slider: markerPos = 3.348148148148148
5.7550 	EXP 	slider: markerPos = 3.348148148148148
5.7591 	EXP 	slider: markerPos = 3.348148148148148
5.7633 	EXP 	slider: markerPos = 3.348148148148148
5.7675 	EXP 	slider: markerPos = 3.348148148148148
5.7717 	EXP 	slider: markerPos = 3.348148148148148
5.7766 	EXP 	slider: markerPos = 3.348148148148148
5.7812 	EXP 	slider: markerPos = 3.348148148148148
5.7853 	EXP 	slider: markerPos = 3.348148148148148
5.7894 	EXP 	slider: markerPos = 3.348148148148148
5.7936 	EXP 	slider: markerPos = 3.348148148148148
5.7978 	EXP 	slider: markerPos = 3.348148148148148
5.8020 	EXP 	slider: markerPos = 3.348148148148148
5.8061 	EXP 	slider: markerPos = 3.348148148148148
5.8103 	EXP 	slider: markerPos = 3.348148148148148
5.8145 	EXP 	slider: markerPos = 3.348148148148148
5.8186 	EXP 	slider: markerPos = 3.348148148148148
5.8233 	EXP 	slider: markerPos = 3.348148148148148
5.8276 	EXP 	slider: markerPos = 3.348148148148148
5.8318 	EXP 	slider: markerPos = 3.348148148148148
5.8360 	EXP 	slider: markerPos = 3.348148148148148
5.8401 	EXP 	slider: markerPos = 3.348148148148148
5.8443 	EXP 	slider: markerPos = 3.351851851851852
5.8485 	EXP 	slider: markerPos = 3.359259259259259
5.8541 	EXP 	slider: markerPos = 3.3703703703703702
5.8589 	EXP 	slider: markerPos = 3.3851851851851853
5.8629 	EXP 	slider: markerPos = 3.403703703703704
5.8671 	EXP 	slider: markerPos = 3.4185185185185185
5.8713 	EXP 	slider: markerPos = 3.4407407407407407
5.8757 	EXP 	slider: markerPos = 3.462962962962963
5.8799 	EXP 	slider: markerPos = 3.4925925925925925
5.8857 	EXP 	slider: markerPos = 3.5296296296296297
5.8900 	EXP 	slider: markerPos = 3.574074074074074
5.8944 	EXP 	slider: markerPos = 3.6074074074074076
5.8985 	EXP 	slider: markerPos = 3.640740740740741
5.9028 	EXP 	slider: markerPos = 3.659259259259259
5.9071 	EXP 	slider: markerPos = 3.7074074074074073
5.9114 	EXP 	slider: markerPos = 3.7407407407407405
5.9176 	EXP 	slider: markerPos = 3.7703703703703706
5.9230 	EXP 	slider: markerPos = 3.8296296296296295
5.9272 	EXP 	slider: markerPos = 3.859259259259259
5.9313 	EXP 	slider: markerPos = 3.8814814814814813
5.9358 	EXP 	slider: markerPos = 3.9074074074074074
5.9400 	EXP 	slider: markerPos = 3.937037037037037
5.9443 	EXP 	slider: markerPos = 3.9592592592592593
5.9490 	EXP 	slider: markerPos = 3.974074074074074
5.9532 	EXP 	slider: markerPos = 3.9925925925925925
5.9574 	EXP 	slider: markerPos = 4.014814814814815
5.9616 	EXP 	slider: markerPos = 4.02962962962963
5.9658 	EXP 	slider: markerPos = 4.051851851851852
5.9701 	EXP 	slider: markerPos = 4.062962962962963
5.9742 	EXP 	slider: markerPos = 4.0814814814814815
5.9795 	EXP 	slider: markerPos = 4.0851851851851855
5.9841 	EXP 	slider: markerPos = 4.103703703703704
5.9882 	EXP 	slider: markerPos = 4.107407407407408
5.9924 	EXP 	slider: markerPos = 4.114814814814815
5.9970 	EXP 	slider: markerPos = 4.118518518518519
6.0012 	EXP 	slider: markerPos = 4.118518518518519
6.0054 	EXP 	slider: markerPos = 4.118518518518519
6.0106 	EXP 	slider: markerPos = 4.118518518518519
6.0151 	EXP 	slider: markerPos = 4.118518518518519
6.0193 	EXP 	slider: markerPos = 4.118518518518519
6.0235 	EXP 	slider: markerPos = 4.118518518518519
6.0277 	EXP 	slider: markerPos = 4.118518518518519
6.0318 	EXP 	slider: markerPos = 4.118518518518519
6.0362 	EXP 	slider: markerPos = 4.118518518518519
6.0411 	EXP 	slider: markerPos = 4.118518518518519
6.0453 	EXP 	slider: markerPos = 4.118518518518519
6.0492 	EXP 	slider: markerPos = 4.118518518518519
6.0534 	EXP 	slider: markerPos = 4.118518518518519
6.0575 	EXP 	slider: markerPos = 4.118518518518519
6.0617 	EXP 	slider: markerPos = 4.118518518518519
6.0659 	EXP 	slider: markerPos = 4.118518518518519
6.0701 	EXP 	slider: markerPos = 4.118518518518519
6.0746 	EXP 	slider: markerPos = 4.118518518518519
6.0786 	EXP 	slider: markerPos = 4.118518518518519
6.0828 	EXP 	slider: markerPos = 4.118518518518519
6.0869 	EXP 	slider: markerPos = 4.118518518518519
6.0911 	EXP 	slider: markerPos = 4.118518518518519
6.0953 	EXP 	slider: markerPos = 4.118518518518519
6.0995 	EXP 	slider: markerPos = 4.118518518518519
6.1036 	EXP 	slider: markerPos = 4.118518518518519
6.1078 	EXP 	slider: markerPos = 4.118518518518519
6.1120 	EXP 	slider: markerPos = 4.118518518518519
6.1161 	EXP 	slider: markerPos = 4.118518518518519
6.1203 	EXP 	slider: markerPos = 4.118518518518519
6.1245 	EXP 	slider: markerPos = 4.118518518518519
6.1287 	EXP 	slider: markerPos = 4.118518518518519
6.1329 	EXP 	slider: markerPos = 4.118518518518519
