3.8570 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
4.1632 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000025392E35F10>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000025392E35EB0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000025392E35BB0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000025394D571C0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.1633 	EXP 	window1: mouseVisible = True
4.1633 	EXP 	window1: backgroundImage = ''
4.1633 	EXP 	window1: backgroundFit = 'none'
4.1634 	EXP 	window1: mouseVisible = False
4.1634 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
4.1634 	EXP 	window1: recordFrameIntervals = False
4.2035 	EXP 	window1: recordFrameIntervals = True
4.2501 	EXP 	Screen (0) actual frame rate measured at 236.25Hz
4.2501 	EXP 	window1: recordFrameIntervals = False
5.4820 	EXP 	window1: mouseVisible = True
5.5037 	EXP 	Created slider = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=0, fillColor=None, flip=False, font='Open Sans', granularity=0.0, labelColor=None, labelHeight=0.05, labelWrapWidth=None, labels=None, lineColor=None, markerColor=None, name='slider', opacity=None, ori=0.0, pos=array([ 0. , -0.4]), readOnly=False, self=UNKNOWN, size=array([1. , 0.1]), startValue=None, style='rating', styleTweaks=[], ticks=array([1, 2, 3, 4, 5]), units='height', win=Window(...))
5.5705 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
5.5831 	EXP 	slider: autoLog = True
5.5831 	EXP 	slider: markerPos = None
5.5831 	EXP 	slider: styleTweaks = []
5.5831 	EXP 	slider: styleTweaks = []
5.5831 	EXP 	slider: styleTweaks = []
5.5831 	EXP 	slider: styleTweaks = []
5.5831 	EXP 	slider: contrast = 1.0
5.5831 	EXP 	slider: autoLog = True
5.5831 	EXP 	slider: markerPos = None
5.5831 	EXP 	slider: markerPos = None
5.5831 	EXP 	slider: autoDraw = True
5.5831 	EXP 	text: autoDraw = True
6.4198 	DATA 	Keypress: space
6.8959 	DATA 	Mouse: Left button down, pos=(1073,125)
6.9020 	EXP 	slider: markerPos = 3.4185185185185185
6.9060 	EXP 	slider: markerPos = 3.4185185185185185
6.9103 	EXP 	slider: markerPos = 3.4185185185185185
6.9145 	EXP 	slider: markerPos = 3.4185185185185185
6.9187 	EXP 	slider: markerPos = 3.4185185185185185
6.9229 	EXP 	slider: markerPos = 3.4185185185185185
6.9270 	EXP 	slider: markerPos = 3.4185185185185185
6.9326 	EXP 	slider: markerPos = 3.4185185185185185
6.9368 	EXP 	slider: markerPos = 3.4185185185185185
6.9409 	EXP 	slider: markerPos = 3.4185185185185185
6.9451 	EXP 	slider: markerPos = 3.4185185185185185
6.9493 	EXP 	slider: markerPos = 3.4185185185185185
6.9534 	EXP 	slider: markerPos = 3.4185185185185185
6.9576 	EXP 	slider: markerPos = 3.4185185185185185
6.9618 	EXP 	slider: markerPos = 3.4185185185185185
6.9667 	EXP 	slider: markerPos = 3.4185185185185185
6.9708 	EXP 	slider: markerPos = 3.4185185185185185
6.9750 	EXP 	slider: markerPos = 3.4185185185185185
6.9786 	DATA 	Mouse:  Left button up, pos=(1073,125)
6.9791 	EXP 	slider: markerPos = 3.4185185185185185
6.9833 	EXP 	slider: markerPos = 3.4185185185185185
6.9875 	EXP 	slider: autoDraw = False
6.9875 	EXP 	text: autoDraw = False
7.0517 	EXP 	window1: mouseVisible = True
