10.2881 	EXP 	slider: markerPos = 3.422222222222222
10.2923 	EXP 	slider: markerPos = 3.422222222222222
10.2966 	EXP 	slider: markerPos = 3.422222222222222
10.3007 	EXP 	slider: markerPos = 3.422222222222222
10.3050 	EXP 	slider: markerPos = 3.422222222222222
10.3092 	EXP 	slider: markerPos = 3.422222222222222
10.3133 	EXP 	slider: markerPos = 3.422222222222222
10.3182 	EXP 	slider: markerPos = 3.422222222222222
10.3229 	EXP 	slider: markerPos = 3.422222222222222
10.3269 	EXP 	slider: markerPos = 3.422222222222222
10.3311 	EXP 	slider: markerPos = 3.422222222222222
10.3352 	EXP 	slider: markerPos = 3.422222222222222
10.3395 	DATA 	Mouse:  Left button up, pos=(1074,124)
10.3400 	EXP 	slider: markerPos = 3.422222222222222
10.3441 	EXP 	slider: markerPos = 3.422222222222222
10.7078 	DATA 	Mouse: Left button down, pos=(783,125)
10.7125 	EXP 	slider: markerPos = 2.3444444444444446
10.7166 	EXP 	slider: markerPos = 2.3444444444444446
10.7208 	EXP 	slider: markerPos = 2.3444444444444446
10.7253 	EXP 	slider: markerPos = 2.3444444444444446
10.7295 	EXP 	slider: markerPos = 2.3444444444444446
10.7338 	EXP 	slider: markerPos = 2.3444444444444446
10.7397 	EXP 	slider: markerPos = 2.3444444444444446
10.7441 	EXP 	slider: markerPos = 2.337037037037037
10.7485 	EXP 	slider: markerPos = 2.3333333333333335
10.7528 	EXP 	slider: markerPos = 2.325925925925926
10.7570 	EXP 	slider: markerPos = 2.314814814814815
10.7612 	EXP 	slider: markerPos = 2.311111111111111
10.7654 	EXP 	slider: markerPos = 2.3
10.7706 	EXP 	slider: markerPos = 2.2925925925925927
10.7750 	EXP 	slider: markerPos = 2.2777777777777777
10.7792 	EXP 	slider: markerPos = 2.2666666666666666
10.7834 	EXP 	slider: markerPos = 2.2592592592592595
10.7881 	EXP 	slider: markerPos = 2.2444444444444445
10.7923 	EXP 	slider: markerPos = 2.2333333333333334
10.7968 	EXP 	slider: markerPos = 2.2222222222222223
10.8024 	EXP 	slider: markerPos = 2.2111111111111112
10.8071 	EXP 	slider: markerPos = 2.188888888888889
10.8119 	EXP 	slider: markerPos = 2.1703703703703705
10.8161 	EXP 	slider: markerPos = 2.1555555555555554
10.8204 	EXP 	slider: markerPos = 2.137037037037037
10.8246 	EXP 	slider: markerPos = 2.1222222222222222
10.8289 	EXP 	slider: markerPos = 2.1
10.8337 	EXP 	slider: markerPos = 2.0814814814814815
10.8384 	EXP 	slider: markerPos = 2.0592592592592593
10.8425 	EXP 	slider: markerPos = 2.037037037037037
10.8467 	EXP 	slider: markerPos = 2.022222222222222
10.8509 	EXP 	slider: markerPos = 2.011111111111111
10.8550 	EXP 	slider: markerPos = 1.9925925925925927
10.8594 	EXP 	slider: markerPos = 1.9777777777777779
10.8648 	EXP 	slider: markerPos = 1.9592592592592593
10.8691 	EXP 	slider: markerPos = 1.9481481481481482
10.8732 	EXP 	slider: markerPos = 1.9444444444444444
10.8778 	EXP 	slider: markerPos = 1.9333333333333333
10.8820 	EXP 	slider: markerPos = 1.9259259259259258
10.8862 	EXP 	slider: markerPos = 1.9259259259259258
10.8904 	EXP 	slider: markerPos = 1.9222222222222223
10.8946 	EXP 	slider: markerPos = 1.9222222222222223
10.8987 	EXP 	slider: markerPos = 1.9222222222222223
10.9029 	EXP 	slider: markerPos = 1.9222222222222223
10.9070 	EXP 	slider: markerPos = 1.9222222222222223
